STATION,NAME,DATE,DAPR,MDPR,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/1/1921,,,0,0,,,60,45,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/2/1921,,,0,0,,,54,46,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/3/1921,,,0,0,,,60,50,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/4/1921,,,0,0,,,61,47,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/5/1921,,,0.38,0,,,54,47,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/6/1921,,,0.01,0,,,51,43,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/7/1921,,,0,0,,,53,41,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/8/1921,,,0,0,,,55,39,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/9/1921,,,0,0,,,54,43,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/10/1921,,,0,0,,,54,43,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/11/1921,,,0,0,,,54,42,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/12/1921,,,0.01,0,,,48,42,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/13/1921,,,0,0,,,53,45,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/14/1921,,,0,0,,,57,43,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/15/1921,,,0,0,,,57,43,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/16/1921,,,0.35,0,,,53,45,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/17/1921,,,2.4,0,,,56,48,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/18/1921,,,0.87,0,,,51,47,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/19/1921,,,0.51,0,,,52,40,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/20/1921,,,0.04,0,,,53,42,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/21/1921,,,0,0,,,54,41,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/22/1921,,,0,0,,,52,45,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/23/1921,,,0,0,,,51,41,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/24/1921,,,0.12,0,,,54,49,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/25/1921,,,0,0,,,52,47,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/26/1921,,,0.46,0,,,58,47,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/27/1921,,,0.03,0,,,57,49,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/28/1921,,,0,0,,,55,45,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/29/1921,,,0.43,0,,,54,46,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/30/1921,,,0.69,0,,,53,47,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/31/1921,,,0,0,,,57,43,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2/1/1921,,,0,0,,,59,47,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2/2/1921,,,0,0,,,55,46,
