STATION_NAME,ELEVATION,DATE,PRCP,Measurement Flag,SNWD,Measurement Flag,Quality Flag,Source Flag,Time of Observation,SNOW,Measurement Flag,Quality Flag,Source Flag,Time of Observation,TMAX,Measurement Flag,Quality Flag,Source Flag,Time of Observation,TMIN
HAGERSTOWN MD US,170.7,18950501,0,P,-9999, , , ,9999,-9999, , , ,9999,16.7, , ,6,9999,5.6
HAGERSTOWN MD US,170.7,18950502,0,P,-9999, , , ,9999,-9999, , , ,9999,22.8, , ,6,9999,7.8
HAGERSTOWN MD US,170.7,18950503,0,P,-9999, , , ,9999,-9999, , , ,9999,27.8, , ,6,9999,12.8
HAGERSTOWN MD US,170.7,18950504,0,P,-9999, , , ,9999,-9999, , , ,9999,27.8, , ,6,9999,10.6
HAGERSTOWN MD US,170.7,18950505,0,P,-9999, , , ,9999,-9999, , , ,9999,30, , ,6,9999,12.8
HAGERSTOWN MD US,170.7,18950506,0,P,-9999, , , ,9999,-9999, , , ,9999,26.1, , ,6,9999,17.2
HAGERSTOWN MD US,170.7,18950507,0,P,-9999, , , ,9999,-9999, , , ,9999,28.3, , ,6,9999,17.2
HAGERSTOWN MD US,170.7,18950508,26.4, ,-9999, , , ,9999,-9999, , , ,9999,30, , ,6,9999,15.6
HAGERSTOWN MD US,170.7,18950509,0,P,-9999, , , ,9999,-9999, , , ,9999,26.7, , ,6,9999,15
HAGERSTOWN MD US,170.7,18950510,0,P,-9999, , , ,9999,-9999, , , ,9999,32.2, , ,6,9999,15
HAGERSTOWN MD US,170.7,18950511,2, ,-9999, , , ,9999,-9999, , , ,9999,31.1, , ,6,9999,15.6
HAGERSTOWN MD US,170.7,18950512,0,P,-9999, , , ,9999,-9999, , , ,9999,23.9, , ,6,9999,5
HAGERSTOWN MD US,170.7,18950513,0,P,-9999, , , ,9999,-9999, , , ,9999,18.3, , ,6,9999,2.2
HAGERSTOWN MD US,170.7,18950514,2.3, ,-9999, , , ,9999,-9999, , , ,9999,15, , ,6,9999,6.1
HAGERSTOWN MD US,170.7,18950515,0,P,-9999, , , ,9999,-9999, , , ,9999,13.3, , ,6,9999,7.2
HAGERSTOWN MD US,170.7,18950516,1.5, ,-9999, , , ,9999,-9999, , , ,9999,16.7, , ,6,9999,6.1
HAGERSTOWN MD US,170.7,18950517,4.6, ,-9999, , , ,9999,-9999, , , ,9999,17.8, , ,6,9999,2.2
HAGERSTOWN MD US,170.7,18950518,0,P,-9999, , , ,9999,-9999, , , ,9999,19.4, , ,6,9999,7.8
HAGERSTOWN MD US,170.7,18950519,4.1, ,-9999, , , ,9999,-9999, , , ,9999,22.2, , ,6,9999,13.3
HAGERSTOWN MD US,170.7,18950520,1.3, ,-9999, , , ,9999,-9999, , , ,9999,21.1, , ,6,9999,12.2
HAGERSTOWN MD US,170.7,18950521,14, ,-9999, , , ,9999,-9999, , , ,9999,19.4, , ,6,9999,6.7
HAGERSTOWN MD US,170.7,18950522,0,P,-9999, , , ,9999,-9999, , , ,9999,20, , ,6,9999,1.7
HAGERSTOWN MD US,170.7,18950523,0,P,-9999, , , ,9999,-9999, , , ,9999,26.7, , ,6,9999,4.4
HAGERSTOWN MD US,170.7,18950524,0,P,-9999, , , ,9999,-9999, , , ,9999,26.1, , ,6,9999,8.9
HAGERSTOWN MD US,170.7,18950525,4.6, ,-9999, , , ,9999,-9999, , , ,9999,21.1, , ,6,9999,12.2
HAGERSTOWN MD US,170.7,18950526,3.8, ,-9999, , , ,9999,-9999, , , ,9999,26.1, , ,6,9999,15
HAGERSTOWN MD US,170.7,18950527,3.8, ,-9999, , , ,9999,-9999, , , ,9999,22.8, , ,6,9999,11.1
HAGERSTOWN MD US,170.7,18950528,0,P,-9999, , , ,9999,-9999, , , ,9999,27.8, , ,6,9999,6.1
HAGERSTOWN MD US,170.7,18950529,0,P,-9999, , , ,9999,-9999, , , ,9999,33.3, , ,6,9999,10
HAGERSTOWN MD US,170.7,18950530,0,P,-9999, , , ,9999,-9999, , , ,9999,37.2, , ,6,9999,15.6
HAGERSTOWN MD US,170.7,18950531,0,P,-9999, , , ,9999,-9999, , , ,9999,35, , ,6,9999,18.9
HAGERSTOWN MD US,170.7,18950601,0,P,-9999, , , ,9999,-9999, , , ,9999,36.1, , ,6,9999,21.7
HAGERSTOWN MD US,170.7,18950602,3.3, ,-9999, , , ,9999,-9999, , , ,9999,36.7, , ,6,9999,19.4
HAGERSTOWN MD US,170.7,18950603,0,P,-9999, , , ,9999,-9999, , , ,9999,36.7, , ,6,9999,21.7
HAGERSTOWN MD US,170.7,18950604,0,P,-9999, , , ,9999,-9999, , , ,9999,36.7, , ,6,9999,17.8
HAGERSTOWN MD US,170.7,18950605,30.7, ,-9999, , , ,9999,-9999, , , ,9999,28.9, , ,6,9999,18.9
HAGERSTOWN MD US,170.7,18950606,0,P,-9999, , , ,9999,-9999, , , ,9999,26.1, , ,6,9999,14.4
HAGERSTOWN MD US,170.7,18950607,0,P,-9999, , , ,9999,-9999, , , ,9999,26.1, , ,6,9999,6.1
HAGERSTOWN MD US,170.7,18950608,0,P,-9999, , , ,9999,-9999, , , ,9999,28.3, , ,6,9999,6.7
HAGERSTOWN MD US,170.7,18950609,0,P,-9999, , , ,9999,-9999, , , ,9999,28.9, , ,6,9999,11.1
HAGERSTOWN MD US,170.7,18950610,0,P,-9999, , , ,9999,-9999, , , ,9999,27.8, , ,6,9999,13.3
HAGERSTOWN MD US,170.7,18950611,1, ,-9999, , , ,9999,-9999, , , ,9999,27.2, , ,6,9999,17.8
HAGERSTOWN MD US,170.7,18950612,0,P,-9999, , , ,9999,-9999, , , ,9999,27.8, , ,6,9999,17.2
HAGERSTOWN MD US,170.7,18950613,9.9, ,-9999, , , ,9999,-9999, , , ,9999,25.6, , ,6,9999,15.6
HAGERSTOWN MD US,170.7,18950614,0,P,-9999, , , ,9999,-9999, , , ,9999,32.2, , ,6,9999,14.4
HAGERSTOWN MD US,170.7,18950615,0,P,-9999, , , ,9999,-9999, , , ,9999,29.4, , ,6,9999,17.2
HAGERSTOWN MD US,170.7,18950616,0,P,-9999, , , ,9999,-9999, , , ,9999,27.8, , ,6,9999,15
HAGERSTOWN MD US,170.7,18950617,0,P,-9999, , , ,9999,-9999, , , ,9999,31.7, , ,6,9999,11.1
HAGERSTOWN MD US,170.7,18950618,0,P,-9999, , , ,9999,-9999, , , ,9999,32.8, , ,6,9999,13.9
HAGERSTOWN MD US,170.7,18950619,0,P,-9999, , , ,9999,-9999, , , ,9999,32.8, , ,6,9999,12.8
HAGERSTOWN MD US,170.7,18950620,0,P,-9999, , , ,9999,-9999, , , ,9999,33.3, , ,6,9999,15.6
HAGERSTOWN MD US,170.7,18950621,0,P,-9999, , , ,9999,-9999, , , ,9999,29.4, , ,6,9999,17.8
HAGERSTOWN MD US,170.7,18950622,0,P,-9999, , , ,9999,-9999, , , ,9999,31.7, , ,6,9999,17.8
HAGERSTOWN MD US,170.7,18950623,0,P,-9999, , , ,9999,-9999, , , ,9999,33.9, , ,6,9999,15.6
HAGERSTOWN MD US,170.7,18950624,5.1, ,-9999, , , ,9999,-9999, , , ,9999,31.1, , ,6,9999,13.3
HAGERSTOWN MD US,170.7,18950625,0,P,-9999, , , ,9999,-9999, , , ,9999,32.8, , ,6,9999,16.7
HAGERSTOWN MD US,170.7,18950626,46.7, ,-9999, , , ,9999,-9999, , , ,9999,33.3, , ,6,9999,18.3
HAGERSTOWN MD US,170.7,18950627,16.3, ,-9999, , , ,9999,-9999, , , ,9999,24.4, , ,6,9999,17.8
HAGERSTOWN MD US,170.7,18950628,0,P,-9999, , , ,9999,-9999, , , ,9999,30.6, , ,6,9999,15.6
HAGERSTOWN MD US,170.7,18950629,0,P,-9999, , , ,9999,-9999, , , ,9999,30.6, , ,6,9999,17.2
HAGERSTOWN MD US,170.7,18950630,1.3, ,-9999, , , ,9999,-9999, , , ,9999,31.1, , ,6,9999,18.9
HAGERSTOWN MD US,170.7,18950701,1.3, ,-9999, , , ,9999,-9999, , , ,9999,23.9, , ,6,9999,15.6
HAGERSTOWN MD US,170.7,18950702,0,P,-9999, , , ,9999,-9999, , , ,9999,26.1, , ,6,9999,13.9
HAGERSTOWN MD US,170.7,18950703,0,P,-9999, , , ,9999,-9999, , , ,9999,27.8, , ,6,9999,11.7
HAGERSTOWN MD US,170.7,18950704,17.3, ,-9999, , , ,9999,-9999, , , ,9999,25.6, , ,6,9999,13.3
HAGERSTOWN MD US,170.7,18950705,0,P,-9999, , , ,9999,-9999, , , ,9999,24.4, , ,6,9999,12.2
HAGERSTOWN MD US,170.7,18950706,0,P,-9999, , , ,9999,-9999, , , ,9999,30.6, , ,6,9999,15
HAGERSTOWN MD US,170.7,18950707,0,P,-9999, , , ,9999,-9999, , , ,9999,32.2, , ,6,9999,15.6
HAGERSTOWN MD US,170.7,18950708,4.3, ,-9999, , , ,9999,-9999, , , ,9999,31.1, , ,6,9999,17.2
HAGERSTOWN MD US,170.7,18950709,0,P,-9999, , , ,9999,-9999, , , ,9999,30, , ,6,9999,16.7
HAGERSTOWN MD US,170.7,18950710,0,P,-9999, , , ,9999,-9999, , , ,9999,27.8, , ,6,9999,11.7
HAGERSTOWN MD US,170.7,18950711,0,P,-9999, , , ,9999,-9999, , , ,9999,25, , ,6,9999,13.9
HAGERSTOWN MD US,170.7,18950712,0,P,-9999, , , ,9999,-9999, , , ,9999,26.7, , ,6,9999,11.1
HAGERSTOWN MD US,170.7,18950713,0,P,-9999, , , ,9999,-9999, , , ,9999,27.2, , ,6,9999,15
HAGERSTOWN MD US,170.7,18950714,0,P,-9999, , , ,9999,-9999, , , ,9999,25.6, , ,6,9999,10
HAGERSTOWN MD US,170.7,18950715,0,P,-9999, , , ,9999,-9999, , , ,9999,24.4, , ,6,9999,11.1
HAGERSTOWN MD US,170.7,18950716,0,P,-9999, , , ,9999,-9999, , , ,9999,30.6, , ,6,9999,17.2
HAGERSTOWN MD US,170.7,18950717,0,P,-9999, , , ,9999,-9999, , , ,9999,36.1, , ,6,9999,16.7
HAGERSTOWN MD US,170.7,18950718,0,P,-9999, , , ,9999,-9999, , , ,9999,33.9, , ,6,9999,19.4
HAGERSTOWN MD US,170.7,18950719,0,P,-9999, , , ,9999,-9999, , , ,9999,31.7, , ,6,9999,12.8
HAGERSTOWN MD US,170.7,18950720,5.6, ,-9999, , , ,9999,-9999, , , ,9999,36.7, , ,6,9999,16.7
HAGERSTOWN MD US,170.7,18950721,3.6, ,-9999, , , ,9999,-9999, , , ,9999,36.1, , ,6,9999,21.1
HAGERSTOWN MD US,170.7,18950722,0,P,-9999, , , ,9999,-9999, , , ,9999,32.2, , ,6,9999,18.9
HAGERSTOWN MD US,170.7,18950723,0,P,-9999, , , ,9999,-9999, , , ,9999,28.3, , ,6,9999,18.3
HAGERSTOWN MD US,170.7,18950724,0,P,-9999, , , ,9999,-9999, , , ,9999,24.4, , ,6,9999,15
HAGERSTOWN MD US,170.7,18950725,0,P,-9999, , , ,9999,-9999, , , ,9999,29.4, , ,6,9999,16.7
HAGERSTOWN MD US,170.7,18950726,0,P,-9999, , , ,9999,-9999, , , ,9999,31.1, , ,6,9999,11.7
HAGERSTOWN MD US,170.7,18950727,30.5, ,-9999, , , ,9999,-9999, , , ,9999,27.8, , ,6,9999,13.3
HAGERSTOWN MD US,170.7,18950728,0,P,-9999, , , ,9999,-9999, , , ,9999,25.6, , ,6,9999,13.3
HAGERSTOWN MD US,170.7,18950729,0,P,-9999, , , ,9999,-9999, , , ,9999,26.1, , ,6,9999,13.9
HAGERSTOWN MD US,170.7,18950730,0,P,-9999, , , ,9999,-9999, , , ,9999,27.8, , ,6,9999,14.4
HAGERSTOWN MD US,170.7,18950731,0,P,-9999, , , ,9999,-9999, , , ,9999,26.1, , ,6,9999,9.4
HAGERSTOWN MD US,170.7,18950801,0,P,-9999, , , ,9999,-9999, , , ,9999,22.8, , ,6,9999,10.6
HAGERSTOWN MD US,170.7,18950802,0,P,-9999, , , ,9999,-9999, , , ,9999,28.3, , ,6,9999,10
HAGERSTOWN MD US,170.7,18950803,0,P,-9999, , , ,9999,-9999, , , ,9999,30, , ,6,9999,11.7
HAGERSTOWN MD US,170.7,18950804,5.3, ,-9999, , , ,9999,-9999, , , ,9999,32.2, , ,6,9999,11.1
HAGERSTOWN MD US,170.7,18950805,0,P,-9999, , , ,9999,-9999, , , ,9999,31.7, , ,6,9999,13.9
HAGERSTOWN MD US,170.7,18950806,9.4, ,-9999, , , ,9999,-9999, , , ,9999,32.2, , ,6,9999,15.6
HAGERSTOWN MD US,170.7,18950807,0,P,-9999, , , ,9999,-9999, , , ,9999,31.7, , ,6,9999,17.2
HAGERSTOWN MD US,170.7,18950808,0,P,-9999, , , ,9999,-9999, , , ,9999,33.3, , ,6,9999,15
HAGERSTOWN MD US,170.7,18950809,0,P,-9999, , , ,9999,-9999, , , ,9999,35, , ,6,9999,16.7
HAGERSTOWN MD US,170.7,18950810,0,P,-9999, , , ,9999,-9999, , , ,9999,37.8, , ,6,9999,17.8
HAGERSTOWN MD US,170.7,18950811,0,P,-9999, , , ,9999,-9999, , , ,9999,36.7, , ,6,9999,19.4
HAGERSTOWN MD US,170.7,18950812,0,P,-9999, , , ,9999,-9999, , , ,9999,33.3, , ,6,9999,20
HAGERSTOWN MD US,170.7,18950813,0,P,-9999, , , ,9999,-9999, , , ,9999,32.8, , ,6,9999,16.7
HAGERSTOWN MD US,170.7,18950814,0,P,-9999, , , ,9999,-9999, , , ,9999,32.2, , ,6,9999,16.7
HAGERSTOWN MD US,170.7,18950815,0,P,-9999, , , ,9999,-9999, , , ,9999,33.9, , ,6,9999,17.8
HAGERSTOWN MD US,170.7,18950816,0,P,-9999, , , ,9999,-9999, , , ,9999,35.6, , ,6,9999,17.8
HAGERSTOWN MD US,170.7,18950817,0,P,-9999, , , ,9999,-9999, , , ,9999,30.6, , ,6,9999,17.8
HAGERSTOWN MD US,170.7,18950818,0,P,-9999, , , ,9999,-9999, , , ,9999,31.7, , ,6,9999,17.2
HAGERSTOWN MD US,170.7,18950819,0,P,-9999, , , ,9999,-9999, , , ,9999,32.2, , ,6,9999,16.1
