STATION,NAME,DATE,PRCP,SNOW,TMAX,TMIN
USW00053152,"SANTA BARBARA 11 W, CA US",8/15/2008,0,,22.9,16.6
USW00053152,"SANTA BARBARA 11 W, CA US",8/16/2008,0,,21.7,16.2
USW00053152,"SANTA BARBARA 11 W, CA US",8/17/2008,0,,21.4,15.6
USW00053152,"SANTA BARBARA 11 W, CA US",8/18/2008,0,,21.7,15
USW00053152,"SANTA BARBARA 11 W, CA US",8/19/2008,0,,22.1,13.6
USW00053152,"SANTA BARBARA 11 W, CA US",8/20/2008,0,,22.8,14.3
USW00053152,"SANTA BARBARA 11 W, CA US",8/21/2008,0,,23.3,15.2
USW00053152,"SANTA BARBARA 11 W, CA US",8/22/2008,0,,21.6,15.7
USW00053152,"SANTA BARBARA 11 W, CA US",8/23/2008,0,,20.6,16.6
USW00053152,"SANTA BARBARA 11 W, CA US",8/24/2008,0,,21.8,14.6
USW00053152,"SANTA BARBARA 11 W, CA US",8/25/2008,0,,21.8,16.2
USW00053152,"SANTA BARBARA 11 W, CA US",8/26/2008,0,,22.8,15
USW00053152,"SANTA BARBARA 11 W, CA US",8/27/2008,0,,20.7,15.3
USW00053152,"SANTA BARBARA 11 W, CA US",8/28/2008,0,,19.4,15.8
USW00053152,"SANTA BARBARA 11 W, CA US",8/29/2008,0,,22.4,16.6
USW00053152,"SANTA BARBARA 11 W, CA US",8/30/2008,0,,22.3,16.6
USW00053152,"SANTA BARBARA 11 W, CA US",8/31/2008,0,,22.6,15.9
USW00053152,"SANTA BARBARA 11 W, CA US",9/1/2008,0,,23.6,16.3
USW00053152,"SANTA BARBARA 11 W, CA US",9/2/2008,,,,15
USW00053152,"SANTA BARBARA 11 W, CA US",9/3/2008,0,,21.4,16.5
USW00053152,"SANTA BARBARA 11 W, CA US",9/4/2008,0,,21.3,15.9
USW00053152,"SANTA BARBARA 11 W, CA US",9/5/2008,0,,21.6,15.8
USW00053152,"SANTA BARBARA 11 W, CA US",9/6/2008,0,,20.2,15.8
USW00053152,"SANTA BARBARA 11 W, CA US",9/7/2008,0,,20,16.6
USW00053152,"SANTA BARBARA 11 W, CA US",9/8/2008,0,,20.6,16.1
USW00053152,"SANTA BARBARA 11 W, CA US",9/9/2008,0,,20.3,13.7
USW00053152,"SANTA BARBARA 11 W, CA US",9/10/2008,0,,20.1,13.1
USW00053152,"SANTA BARBARA 11 W, CA US",9/11/2008,0,,20.5,11.4
USW00053152,"SANTA BARBARA 11 W, CA US",9/12/2008,0,,20.3,16.3
USW00053152,"SANTA BARBARA 11 W, CA US",9/13/2008,0.3,,19.9,13.3
USW00053152,"SANTA BARBARA 11 W, CA US",9/14/2008,0,,20.2,12.2
USW00053152,"SANTA BARBARA 11 W, CA US",9/15/2008,0,,22.3,10.5
USW00053152,"SANTA BARBARA 11 W, CA US",9/16/2008,0,,22.3,13
USW00053152,"SANTA BARBARA 11 W, CA US",9/17/2008,0,,21.3,12.5
USW00053152,"SANTA BARBARA 11 W, CA US",9/18/2008,0,,22.4,12.1
USW00053152,"SANTA BARBARA 11 W, CA US",9/19/2008,0,,24.1,12.7
USW00053152,"SANTA BARBARA 11 W, CA US",9/20/2008,0,,22.6,12
USW00053152,"SANTA BARBARA 11 W, CA US",9/21/2008,0,,20.6,11.4
USW00053152,"SANTA BARBARA 11 W, CA US",9/22/2008,0,,21.4,11.9
USW00053152,"SANTA BARBARA 11 W, CA US",9/23/2008,0,,20.6,11.7
USW00053152,"SANTA BARBARA 11 W, CA US",9/24/2008,0,,19.3,14.1
USW00053152,"SANTA BARBARA 11 W, CA US",9/25/2008,0,,20.6,12.9
USW00053152,"SANTA BARBARA 11 W, CA US",9/26/2008,0,,22.3,13.7
USW00053152,"SANTA BARBARA 11 W, CA US",9/27/2008,0,,18.8,14.6
USW00053152,"SANTA BARBARA 11 W, CA US",9/28/2008,0,,18.5,13.3
USW00053152,"SANTA BARBARA 11 W, CA US",9/29/2008,0,,21.3,13.3
USW00053152,"SANTA BARBARA 11 W, CA US",9/30/2008,0,,23.7,11.9
USW00053152,"SANTA BARBARA 11 W, CA US",10/1/2008,0,,25.3,13.9
USW00053152,"SANTA BARBARA 11 W, CA US",10/2/2008,0,,24.7,14
USW00053152,"SANTA BARBARA 11 W, CA US",10/3/2008,0,,20.4,14.4
USW00053152,"SANTA BARBARA 11 W, CA US",10/4/2008,1.8,,19.9,14.7
USW00053152,"SANTA BARBARA 11 W, CA US",10/5/2008,0,,20,11.6
USW00053152,"SANTA BARBARA 11 W, CA US",10/6/2008,0,,21.1,10
USW00053152,"SANTA BARBARA 11 W, CA US",10/7/2008,0,,26.2,11.2
USW00053152,"SANTA BARBARA 11 W, CA US",10/8/2008,0,,25.9,11.1
USW00053152,"SANTA BARBARA 11 W, CA US",10/9/2008,0,,23.8,10.9
USW00053152,"SANTA BARBARA 11 W, CA US",10/10/2008,0,,24.8,7.8
USW00053152,"SANTA BARBARA 11 W, CA US",10/11/2008,0,,19.6,9.2
USW00053152,"SANTA BARBARA 11 W, CA US",10/12/2008,0,,19.3,6.2
USW00053152,"SANTA BARBARA 11 W, CA US",10/13/2008,0,,19.9,4.1
USW00053152,"SANTA BARBARA 11 W, CA US",10/14/2008,0,,22.8,5
USW00053152,"SANTA BARBARA 11 W, CA US",10/15/2008,0,,23.1,6.7
USW00053152,"SANTA BARBARA 11 W, CA US",10/16/2008,0,,29.4,8
USW00053152,"SANTA BARBARA 11 W, CA US",10/17/2008,0,,24.6,8
USW00053152,"SANTA BARBARA 11 W, CA US",10/18/2008,0,,18.3,10.3
USW00053152,"SANTA BARBARA 11 W, CA US",10/19/2008,0,,17.4,7.2
USW00053152,"SANTA BARBARA 11 W, CA US",10/20/2008,0,,18.1,7.3
USW00053152,"SANTA BARBARA 11 W, CA US",10/21/2008,0,,20.9,7.1
USW00053152,"SANTA BARBARA 11 W, CA US",10/22/2008,0,,27.3,9
USW00053152,"SANTA BARBARA 11 W, CA US",10/23/2008,0,,29,9.1
USW00053152,"SANTA BARBARA 11 W, CA US",10/24/2008,0,,24.9,7.3
USW00053152,"SANTA BARBARA 11 W, CA US",10/25/2008,0,,18.7,7.4
USW00053152,"SANTA BARBARA 11 W, CA US",10/26/2008,0,,16.4,9.8
USW00053152,"SANTA BARBARA 11 W, CA US",10/27/2008,0,,18.3,9.6
USW00053152,"SANTA BARBARA 11 W, CA US",10/28/2008,0,,22.4,6.4
USW00053152,"SANTA BARBARA 11 W, CA US",10/29/2008,0,,23.1,7.2
USW00053152,"SANTA BARBARA 11 W, CA US",10/30/2008,0,,21.3,13.8
USW00053152,"SANTA BARBARA 11 W, CA US",10/31/2008,0.6,,23.8,16
USW00053152,"SANTA BARBARA 11 W, CA US",11/1/2008,2,,20.6,15.1
USW00053152,"SANTA BARBARA 11 W, CA US",11/2/2008,8.6,,21,11
USW00053152,"SANTA BARBARA 11 W, CA US",11/3/2008,4.8,,19.3,8.8
USW00053152,"SANTA BARBARA 11 W, CA US",11/4/2008,4,,21.4,10.3
USW00053152,"SANTA BARBARA 11 W, CA US",11/5/2008,0,,19.8,5.8
USW00053152,"SANTA BARBARA 11 W, CA US",11/6/2008,0,,21.9,6.5
USW00053152,"SANTA BARBARA 11 W, CA US",11/7/2008,0,,23.4,8.2
USW00053152,"SANTA BARBARA 11 W, CA US",11/8/2008,0,,25.6,8.2
USW00053152,"SANTA BARBARA 11 W, CA US",11/9/2008,0,,19.3,13.3
USW00053152,"SANTA BARBARA 11 W, CA US",11/10/2008,0,,17,8
USW00053152,"SANTA BARBARA 11 W, CA US",11/11/2008,0,,20.4,6
USW00053152,"SANTA BARBARA 11 W, CA US",11/12/2008,0,,21.8,9.1
USW00053152,"SANTA BARBARA 11 W, CA US",11/13/2008,0,,24.8,8.5
USW00053152,"SANTA BARBARA 11 W, CA US",11/14/2008,0,,25.4,10.8
USW00053152,"SANTA BARBARA 11 W, CA US",11/15/2008,0,,25.1,10
USW00053152,"SANTA BARBARA 11 W, CA US",11/16/2008,0,,26.2,8.5
USW00053152,"SANTA BARBARA 11 W, CA US",11/17/2008,0,,25.6,8.7
USW00053152,"SANTA BARBARA 11 W, CA US",11/18/2008,0,,18,6.1
USW00053152,"SANTA BARBARA 11 W, CA US",11/19/2008,0,,20.1,6.2
USW00053152,"SANTA BARBARA 11 W, CA US",11/20/2008,0,,20.6,7.5
USW00053152,"SANTA BARBARA 11 W, CA US",11/21/2008,0,,21.8,7.2
USW00053152,"SANTA BARBARA 11 W, CA US",11/22/2008,0,,21.1,6.5
USW00053152,"SANTA BARBARA 11 W, CA US",11/23/2008,0,,17.8,9.8
USW00053152,"SANTA BARBARA 11 W, CA US",11/24/2008,0,,18.9,10.2
USW00053152,"SANTA BARBARA 11 W, CA US",11/25/2008,7.2,,17.8,9.8
USW00053152,"SANTA BARBARA 11 W, CA US",11/26/2008,17.6,,17.3,11.7
USW00053152,"SANTA BARBARA 11 W, CA US",11/27/2008,0,,19.3,9.8
USW00053152,"SANTA BARBARA 11 W, CA US",11/28/2008,0,,16.7,8
USW00053152,"SANTA BARBARA 11 W, CA US",11/29/2008,0,,17.1,8
USW00053152,"SANTA BARBARA 11 W, CA US",11/30/2008,0,,16.9,8.1
USW00053152,"SANTA BARBARA 11 W, CA US",12/1/2008,0,,19.3,7.5
USW00053152,"SANTA BARBARA 11 W, CA US",12/2/2008,0,,16.5,12.1
USW00053152,"SANTA BARBARA 11 W, CA US",12/3/2008,0,,15.7,10.4
USW00053152,"SANTA BARBARA 11 W, CA US",12/4/2008,0,,17.1,7.8
USW00053152,"SANTA BARBARA 11 W, CA US",12/5/2008,0,,18.3,5.5
USW00053152,"SANTA BARBARA 11 W, CA US",12/6/2008,0,,19.2,6.3
USW00053152,"SANTA BARBARA 11 W, CA US",12/7/2008,0,,18.3,9.2
USW00053152,"SANTA BARBARA 11 W, CA US",12/8/2008,0,,17.3,7
USW00053152,"SANTA BARBARA 11 W, CA US",12/9/2008,0,,17.4,5.3
USW00053152,"SANTA BARBARA 11 W, CA US",12/10/2008,0,,18.3,4.2
USW00053152,"SANTA BARBARA 11 W, CA US",12/11/2008,0,,18.5,6.1
USW00053152,"SANTA BARBARA 11 W, CA US",12/12/2008,0,,16.4,8.5
USW00053152,"SANTA BARBARA 11 W, CA US",12/13/2008,0,,15.8,8
USW00053152,"SANTA BARBARA 11 W, CA US",12/14/2008,9,,13.7,5.2
USW00053152,"SANTA BARBARA 11 W, CA US",12/15/2008,22.6,,13.9,4.5
USW00053152,"SANTA BARBARA 11 W, CA US",12/16/2008,2.1,,11.8,3.4
USW00053152,"SANTA BARBARA 11 W, CA US",12/17/2008,0.3,,12.7,7
USW00053152,"SANTA BARBARA 11 W, CA US",12/18/2008,0,,14.3,3.8
USW00053152,"SANTA BARBARA 11 W, CA US",12/19/2008,0,,15.7,3.1
USW00053152,"SANTA BARBARA 11 W, CA US",12/20/2008,0,,14.2,2.2
USW00053152,"SANTA BARBARA 11 W, CA US",12/21/2008,0,,14.6,4.1
USW00053152,"SANTA BARBARA 11 W, CA US",12/22/2008,7.3,,15.1,9.3
USW00053152,"SANTA BARBARA 11 W, CA US",12/23/2008,0,,14.4,6.1
USW00053152,"SANTA BARBARA 11 W, CA US",12/24/2008,0.9,,12.6,5.9
USW00053152,"SANTA BARBARA 11 W, CA US",12/25/2008,1.3,,14.5,8.7
USW00053152,"SANTA BARBARA 11 W, CA US",12/26/2008,0,,14.5,4.3
USW00053152,"SANTA BARBARA 11 W, CA US",12/27/2008,0,,13.4,1.7
USW00053152,"SANTA BARBARA 11 W, CA US",12/28/2008,0,,13.5,1.7
USW00053152,"SANTA BARBARA 11 W, CA US",12/29/2008,0,,15.2,3.4
USW00053152,"SANTA BARBARA 11 W, CA US",12/30/2008,0,,17.8,4.7
USW00053152,"SANTA BARBARA 11 W, CA US",12/31/2008,0,,13.2,4.1
USW00053152,"SANTA BARBARA 11 W, CA US",1/1/2009,0.2,,11.4,5.5
USW00053152,"SANTA BARBARA 11 W, CA US",1/2/2009,0,,13.5,5.5
USW00053152,"SANTA BARBARA 11 W, CA US",1/3/2009,0,,14.3,6
USW00053152,"SANTA BARBARA 11 W, CA US",1/4/2009,0,,14.4,2.9
USW00053152,"SANTA BARBARA 11 W, CA US",1/5/2009,0,,16.2,1.5
USW00053152,"SANTA BARBARA 11 W, CA US",1/6/2009,0,,14.2,4.4
USW00053152,"SANTA BARBARA 11 W, CA US",1/7/2009,0,,14.6,4.6
USW00053152,"SANTA BARBARA 11 W, CA US",1/8/2009,0.3,,11.6,6
USW00053152,"SANTA BARBARA 11 W, CA US",1/9/2009,0,,17.3,6.1
USW00053152,"SANTA BARBARA 11 W, CA US",1/10/2009,0.3,,16.6,3.3
USW00053152,"SANTA BARBARA 11 W, CA US",1/11/2009,0,,20.4,4.4
USW00053152,"SANTA BARBARA 11 W, CA US",1/12/2009,0,,21.5,5.5
USW00053152,"SANTA BARBARA 11 W, CA US",1/13/2009,0,,22.5,6.6
USW00053152,"SANTA BARBARA 11 W, CA US",1/14/2009,0,,22.5,5.7
USW00053152,"SANTA BARBARA 11 W, CA US",1/15/2009,0,,24.4,5.2
USW00053152,"SANTA BARBARA 11 W, CA US",1/16/2009,0,,23.2,5.3
USW00053152,"SANTA BARBARA 11 W, CA US",1/17/2009,0,,21.9,5.1
USW00053152,"SANTA BARBARA 11 W, CA US",1/18/2009,0,,22.8,4.5
USW00053152,"SANTA BARBARA 11 W, CA US",1/19/2009,0,,22.4,6.1
