Sample Name,Date and Time Acquired,Dilution Factor,Data File Name,Batch Name,Data Path,Operator,Instrument Name,Misc. Info or Comment,Sample Weihgt or Volume,Final Weight or Volume,Dilution Multiplier,Tune Step,Analyte,Element Full Name,Mass,ISTD Ref Mass,Concentration,Conc RSD,Min Conc,CPS Mean,CPS Rep1,CPS Rep2,CPS Rep3,Conc Rep1,Conc Rep2,Conc Rep3,CPS RSD,Units
CalBlank,10/27/2017 12:24:15 PM,1,001CALB.d,10272017_MLH-HVR3.b,D:\Agilent\ICPMH\1\DATA,admin,G3665A,,1.0,1.0,1,1,Li,lithium,6,,,,0.000,32123.21,34892.28,29500.43,31976.93,,,,8.4,
CalBlank,10/27/2017 12:24:15 PM,1,001CALB.d,10272017_MLH-HVR3.b,D:\Agilent\ICPMH\1\DATA,admin,G3665A,,1.0,1.0,1,1,Sc,scandium,45,,,,0.000,1169415.53,1287014.67,982286.08,1238945.84,,,,14.0,
CalBlank,10/27/2017 12:24:15 PM,1,001CALB.d,10272017_MLH-HVR3.b,D:\Agilent\ICPMH\1\DATA,admin,G3665A,,1.0,1.0,1,1,Cr,chromium,52,45,0.006,155.7,0.000,61632.50,61815.74,66808.77,56272.98,0.002,0.015,0.000,8.6,ppm
CalBlank,10/27/2017 12:24:15 PM,1,001CALB.d,10272017_MLH-HVR3.b,D:\Agilent\ICPMH\1\DATA,admin,G3665A,,1.0,1.0,1,1,Ge,germanium,72,,,,0.000,382998.45,417617.85,349808.04,381569.45,,,,8.9,
CalBlank,10/27/2017 12:24:15 PM,1,001CALB.d,10272017_MLH-HVR3.b,D:\Agilent\ICPMH\1\DATA,admin,G3665A,,1.0,1.0,1,1,As,arsenic,75,72,,,0.000,20849.08,21246.35,21066.04,20234.85,,,,2.6,ppm
CalBlank,10/27/2017 12:24:15 PM,1,001CALB.d,10272017_MLH-HVR3.b,D:\Agilent\ICPMH\1\DATA,admin,G3665A,,1.0,1.0,1,1,Se,selenium,78,72,-0.002,,0.000,4127.30,4030.60,4510.77,3840.54,-0.006,0.006,-0.005,8.4,ppm
CalBlank,10/27/2017 12:24:15 PM,1,001CALB.d,10272017_MLH-HVR3.b,D:\Agilent\ICPMH\1\DATA,admin,G3665A,,1.0,1.0,1,1,Rh,rhodium,103,,,,0.000,1625059.82,1882190.91,1323899.20,1669089.35,,,,17.3,
CalBlank,10/27/2017 12:24:15 PM,1,001CALB.d,10272017_MLH-HVR3.b,D:\Agilent\ICPMH\1\DATA,admin,G3665A,,1.0,1.0,1,1,Ag,silver,107,103,0.000,38.5,0.000,616.68,570.01,630.02,650.02,0.000,0.000,0.000,6.8,ppm
CalBlank,10/27/2017 12:24:15 PM,1,001CALB.d,10272017_MLH-HVR3.b,D:\Agilent\ICPMH\1\DATA,admin,G3665A,,1.0,1.0,1,1,In,indium,115,,,,0.000,2369190.74,2630510.27,2044851.84,2432210.12,,,,12.6,
CalBlank,10/27/2017 12:24:15 PM,1,001CALB.d,10272017_MLH-HVR3.b,D:\Agilent\ICPMH\1\DATA,admin,G3665A,,1.0,1.0,1,1,Ba,barium,137,115,-0.002,,0.000,3830.57,3870.58,4090.65,3530.48,-0.002,0.000,-0.002,7.4,ppm
