Sample Name,Park,Replicate,Analyte,Mass,Concentration
1,R,1,Li,6,0
1,R,1,Sc,45,0
1,R,1,Cr,52,0.02
1,R,1,Ge,72,0
1,R,1,As,75,-77.019
1,R,1,Se,78,0
1,R,1,Rh,103,0
1,R,1,Ag,107,0.001
1,R,1,In,115,0
1,R,1,Ba,137,0.264
1,R,1,Tb,159,0
1,R,1,Lu,175,0
1,R,1,Pb,206,0.007
1,R,1,Pb,207,0.006
1,R,1,Pb,208,0.014
1,R,1,Bi,209,0
2,R,2,Li,6,0
2,R,2,Sc,45,0
2,R,2,Cr,52,0.017
2,R,2,Ge,72,0
2,R,2,As,75,-75.998
2,R,2,Se,78,0
2,R,2,Rh,103,0
2,R,2,Ag,107,0.001
2,R,2,In,115,0
2,R,2,Ba,137,0.204
2,R,2,Tb,159,0
2,R,2,Lu,175,0
2,R,2,Pb,206,0.007
2,R,2,Pb,207,0.006
2,R,2,Pb,208,0.014
2,R,2,Bi,209,0
3,R,3,Li,6,0
3,R,3,Sc,45,0
3,R,3,Cr,52,0.023
3,R,3,Ge,72,0
3,R,3,As,75,-61.966
3,R,3,Se,78,0
3,R,3,Rh,103,0
3,R,3,Ag,107,0.002
3,R,3,In,115,0
3,R,3,Ba,137,0.244
3,R,3,Tb,159,0
3,R,3,Lu,175,0
3,R,3,Pb,206,0.017
3,R,3,Pb,207,0.013
3,R,3,Pb,208,0.033
3,R,3,Bi,209,0
4,B,4,Li,6,0
4,B,4,Sc,45,0
4,B,4,Cr,52,0.026
4,B,4,Ge,72,0
4,B,4,As,75,-101.285
4,B,4,Se,78,0
4,B,4,Rh,103,0
4,B,4,Ag,107,0.001
4,B,4,In,115,0
4,B,4,Ba,137,0.359
4,B,4,Tb,159,0
4,B,4,Lu,175,0
4,B,4,Pb,206,0.015
4,B,4,Pb,207,0.012
4,B,4,Pb,208,0.03
4,B,4,Bi,209,0
5,B,5,Li,6,0
5,B,5,Sc,45,0
5,B,5,Cr,52,0.022
5,B,5,Ge,72,0
5,B,5,As,75,-50.225
5,B,5,Se,78,0
5,B,5,Rh,103,0
5,B,5,Ag,107,0
5,B,5,In,115,0
5,B,5,Ba,137,0.149
5,B,5,Tb,159,0
5,B,5,Lu,175,0
5,B,5,Pb,206,0.012
5,B,5,Pb,207,0.009
5,B,5,Pb,208,0.023
5,B,5,Bi,209,0
6,P,3,Li,6,0
6,P,3,Sc,45,0
6,P,3,Cr,52,0.023
6,P,3,Ge,72,0
6,P,3,As,75,-42.905
6,P,3,Se,78,0
6,P,3,Rh,103,0
6,P,3,Ag,107,0.003
6,P,3,In,115,0
6,P,3,Ba,137,0.232
6,P,3,Tb,159,0
6,P,3,Lu,175,0
6,P,3,Pb,206,0.005
6,P,3,Pb,207,0.004
6,P,3,Pb,208,0.009
6,P,3,Bi,209,0
7,W,1,Li,6,0
7,W,1,Sc,45,0
7,W,1,Cr,52,0.025
7,W,1,Ge,72,0
7,W,1,As,75,-58.965
7,W,1,Se,78,0
7,W,1,Rh,103,0
7,W,1,Ag,107,0.001
7,W,1,In,115,0
7,W,1,Ba,137,0.184
7,W,1,Tb,159,0
7,W,1,Lu,175,0
7,W,1,Pb,206,0.018
7,W,1,Pb,207,0.014
7,W,1,Pb,208,0.036
7,W,1,Bi,209,0
8,P,5,Li,6,0
8,P,5,Sc,45,0
8,P,5,Cr,52,0.019
8,P,5,Ge,72,0
8,P,5,As,75,-28.136
8,P,5,Se,78,0
8,P,5,Rh,103,0
8,P,5,Ag,107,0.001
8,P,5,In,115,0
8,P,5,Ba,137,0.173
8,P,5,Tb,159,0
8,P,5,Lu,175,0
8,P,5,Pb,206,0.004
8,P,5,Pb,207,0.003
8,P,5,Pb,208,0.007
8,P,5,Bi,209,0
9,P,1,Li,6,0
9,P,1,Sc,45,0
9,P,1,Cr,52,0.022
9,P,1,Ge,72,0
9,P,1,As,75,-54.077
9,P,1,Se,78,0
9,P,1,Rh,103,0
9,P,1,Ag,107,0.001
9,P,1,In,115,0
9,P,1,Ba,137,0.222
9,P,1,Tb,159,0
9,P,1,Lu,175,0
9,P,1,Pb,206,0.005
9,P,1,Pb,207,0.004
9,P,1,Pb,208,0.01
9,P,1,Bi,209,0
10,P,2,Li,6,0
10,P,2,Sc,45,0
10,P,2,Cr,52,0.023
10,P,2,Ge,72,0
10,P,2,As,75,-64.357
10,P,2,Se,78,0
10,P,2,Rh,103,0
10,P,2,Ag,107,0.001
10,P,2,In,115,0
10,P,2,Ba,137,0.261
10,P,2,Tb,159,0
10,P,2,Lu,175,0
10,P,2,Pb,206,0.005
10,P,2,Pb,207,0.004
10,P,2,Pb,208,0.01
10,P,2,Bi,209,0
11,W,3,Li,6,0
11,W,3,Sc,45,0
11,W,3,Cr,52,0.021
11,W,3,Ge,72,0
11,W,3,As,75,-87.637
11,W,3,Se,78,0
11,W,3,Rh,103,0
11,W,3,Ag,107,0.002
11,W,3,In,115,0
11,W,3,Ba,137,0.231
11,W,3,Tb,159,0
11,W,3,Lu,175,0
11,W,3,Pb,206,0.009
11,W,3,Pb,207,0.008
11,W,3,Pb,208,0.018
11,W,3,Bi,209,0
12,C,3,Li,6,0
12,C,3,Sc,45,0
12,C,3,Cr,52,0.021
12,C,3,Ge,72,0
12,C,3,As,75,-27.754
12,C,3,Se,78,0
12,C,3,Rh,103,0
12,C,3,Ag,107,0.001
12,C,3,In,115,0
12,C,3,Ba,137,0.176
12,C,3,Tb,159,0
12,C,3,Lu,175,0
12,C,3,Pb,206,0.006
12,C,3,Pb,207,0.005
12,C,3,Pb,208,0.012
12,C,3,Bi,209,0
13,P,4,Li,6,0
13,P,4,Sc,45,0
13,P,4,Cr,52,0.022
13,P,4,Ge,72,0
13,P,4,As,75,-32.759
13,P,4,Se,78,0
13,P,4,Rh,103,0
13,P,4,Ag,107,0.002
13,P,4,In,115,0
13,P,4,Ba,137,0.244
13,P,4,Tb,159,0
13,P,4,Lu,175,0
13,P,4,Pb,206,0.005
13,P,4,Pb,207,0.004
13,P,4,Pb,208,0.009
13,P,4,Bi,209,0
