STATION,NAME,DATE,DAPR,MDPR,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS
USC00041779,"CLAREMONT POMONA COL, CA US",1893-02-01,,,0.5,,,,13.3,4.4,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-02-02,,,0,,,,15.6,0,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-02-03,,,0,,,,16.7,3.3,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-02-04,,,0,,,,12.8,3.3,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-02-05,,,13.2,,,,13.9,7.8,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-02-06,,,0,,,,13.3,2.2,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-02-07,,,0,,,,16.7,2.8,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-02-08,,,0,,,,16.1,8.9,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-02-09,,,18.3,,,,13.9,8.9,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-02-10,,,46,,,,18.9,8.9,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-02-11,,,0,,,,21.1,5.6,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-02-12,,,0,,,,21.1,4.4,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-02-13,,,0,,,,13.9,2.2,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-02-14,,,0,,,,13.3,0.6,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-02-15,,,0,,,,14.4,0,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-02-16,,,0,,,,15.6,1.1,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-02-17,,,0,,,,16.1,1.7,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-02-18,,,0,,,,21.7,5.6,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-02-19,,,0,,,,21.7,5.6,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-02-20,,,0,,,,22.8,4.4,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-02-21,,,0,,,,21.1,2.8,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-02-22,,,0,,,,23.3,5.6,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-02-23,,,0,,,,21.7,1.1,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-02-24,,,0,,,,21.7,4.4,
