Date,Value,,
1/1/1968,323.66,,
2/1/1968,325.07,,
3/1/1968,326.05,,
4/1/1968,326.55,,
5/1/1968,326.4,,
6/1/1968,324.06,,
7/1/1968,320.16,,
8/1/1968,318.21,,
9/1/1968,318.85,,
10/1/1968,321.02,,
11/1/1968,323.16,,
12/1/1968,324.08,,
1/1/1969,324.58,,
2/1/1969,325.55,,
3/1/1969,327.05,,
4/1/1969,327.93,,
5/1/1969,327.2,,
6/1/1969,325.14,,
7/1/1969,321.29,,
8/1/1969,318.53,,
9/1/1969,319.67,,
10/1/1969,322.34,,
11/1/1969,323.83,,
12/1/1969,325.37,,
1/1/1970,326.61,,
2/1/1970,327.35,,
3/1/1970,329.18,,
4/1/1970,330.54,,
5/1/1970,329.26,,
6/1/1970,325.85,,
7/1/1970,322,,
8/1/1970,319.54,,
9/1/1970,320.45,,
10/1/1970,324.02,,
11/1/1970,326.06,,
12/1/1970,326.37,,
1/1/1971,327.38,,
2/1/1971,328.83,,
3/1/1971,329.71,,
4/1/1971,330.18,,
5/1/1971,329.21,,
6/1/1971,324.82,,
7/1/1971,320.87,,
8/1/1971,319.76,,
9/1/1971,320.26,,
10/1/1971,322.89,,
11/1/1971,325.69,,
12/1/1971,326.31,,
1/1/1972,327.36,,
2/1/1972,328.77,,
3/1/1972,329.3,,
4/1/1972,330.32,,
5/1/1972,329.01,,
6/1/1972,323.97,,
7/1/1972,320.72,,
8/1/1972,320.38,,
9/1/1972,321.98,,
10/1/1972,325.53,,
11/1/1972,328.68,,
12/1/1972,329.8,,
1/1/1973,330.75,,
2/1/1973,331.85,,
3/1/1973,332.53,,
4/1/1973,333.21,,
5/1/1973,333.57,,
6/1/1973,331.47,,
7/1/1973,327.29,,
8/1/1973,325.43,,
9/1/1973,326.46,,
10/1/1973,328.33,,
11/1/1973,330.6,,
12/1/1973,331.82,,
1/1/1974,332.52,,
2/1/1974,333.67,,
3/1/1974,335.05,,
4/1/1974,335.98,,
5/1/1974,334.81,,
6/1/1974,332.26,,
1/1/1976,332.84,,
2/1/1976,334.18,,
3/1/1976,334.65,,
4/1/1976,335.06,,
5/1/1976,334.63,,
6/1/1976,332.27,,
7/1/1976,330.18,,
8/1/1976,328.1,,
9/1/1976,327.82,,
10/1/1976,330.01,,
11/1/1976,332.1,,
12/1/1976,333.57,,
1/1/1977,334.67,,
2/1/1977,335.64,,
3/1/1977,336.52,,
4/1/1977,337.27,,
5/1/1977,337.22,,
6/1/1977,334.93,,
7/1/1977,332.69,,
8/1/1977,331.52,,
9/1/1977,331.17,,
10/1/1977,332.47,,
11/1/1977,334.95,,
12/1/1977,336.52,,
1/1/1978,337.35,,
2/1/1978,338.12,,
3/1/1978,338.46,,
4/1/1978,338.5,,
5/1/1978,338.68,,
6/1/1978,337.44,,
7/1/1978,334.33,,
8/1/1978,331.07,,
9/1/1978,330.8,,
10/1/1978,333.41,,
11/1/1978,335.14,,
12/1/1978,336.63,,
1/1/1979,338.09,,
2/1/1979,338.86,,
3/1/1979,339.92,,
4/1/1979,340.5,,
5/1/1979,340.45,,
6/1/1979,338.14,,
7/1/1979,334.43,,
8/1/1979,332.61,,
9/1/1979,332.53,,
10/1/1979,334.05,,
11/1/1979,335.87,,
12/1/1979,336.68,,
1/1/1980,338.28,,
2/1/1980,339.92,,
3/1/1980,340.67,,
4/1/1980,340.98,,
5/1/1980,338.79,,
6/1/1980,335.47,,
7/1/1980,333.45,,
8/1/1980,333.33,,
9/1/1980,334.18,,
10/1/1980,335.76,,
11/1/1980,337.83,,
12/1/1980,339.59,,
1/1/1981,341.21,,
2/1/1981,342.93,,
3/1/1981,343.58,,
4/1/1981,343.17,,
5/1/1981,341.99,,
6/1/1981,339.61,,
7/1/1981,337.08,,
8/1/1981,335.54,,
9/1/1981,335.57,,
10/1/1981,338.12,,
11/1/1981,340.88,,
12/1/1981,341.97,,
1/1/1982,342.41,,
2/1/1982,343.66,,
3/1/1982,344.94,,
4/1/1982,345.33,,
5/1/1982,344.07,,
6/1/1982,340.52,,
7/1/1982,336.67,,
8/1/1982,334.97,,
9/1/1982,336.89,,
10/1/1982,339.7,,
