STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,1/1/1948,0,0,3,,43,-5,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,1/2/1948,0,0,2,,47,19,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,1/3/1948,0,0,0,,56,26,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,1/4/1948,0,0,0,,57,23,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,1/5/1948,0,0,0,,53,28,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,1/6/1948,0,0,0,,56,26,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,1/7/1948,0,0,0,,60,34,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,1/8/1948,0,0,0,,61,29,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,1/9/1948,0,0,0,,45,28,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,1/10/1948,0,0,0,,60,22,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,1/11/1948,0,0,0,,56,23,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,1/12/1948,0.05,0.5,0,,30,7,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,1/13/1948,0,0,0,,34,4,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,1/14/1948,0,0,0,,56,15,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,1/15/1948,0.08,1.9,0,,44,18,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,1/16/1948,0.03,0.7,2,,22,1,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,1/17/1948,0,0,2,,31,-1,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,1/18/1948,0.06,1.6,4,,24,-3,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,1/19/1948,0,0,3,,41,-7,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,1/20/1948,0,0,2,,41,12,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,1/21/1948,0,0,0,,50,31,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,1/22/1948,0.2,3.8,4,,47,24,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,1/23/1948,0.15,2,2,,37,19,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,1/24/1948,0.45,6.6,5,,29,18,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,1/25/1948,0.19,3,10,,20,9,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,1/26/1948,0.23,3.6,11,,10,-2,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,1/27/1948,0,0,10,,6,-20,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,1/28/1948,0,0,8,,32,-16,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,1/29/1948,0,0,7,,37,5,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,1/30/1948,0,0,6,,38,7,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,1/31/1948,0,0,6,,30,6,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,2/1/1948,0,0,6,,33,2,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,2/2/1948,0.01,0.1,6,,26,6,
