"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"RSM00031510","BLAGOVESCENSK, RS","1881-01-01",,,"-9",,
"RSM00031510","BLAGOVESCENSK, RS","1881-01-02",,,"-3",,
"RSM00031510","BLAGOVESCENSK, RS","1881-01-03",,,"-6",,
"RSM00031510","BLAGOVESCENSK, RS","1881-01-04",,,"-12",,
"RSM00031510","BLAGOVESCENSK, RS","1881-01-05",,,"-10",,
"RSM00031510","BLAGOVESCENSK, RS","1881-01-06",,,"-19",,
"RSM00031510","BLAGOVESCENSK, RS","1881-01-07",,,"-18",,
"RSM00031510","BLAGOVESCENSK, RS","1881-01-08",,,"-25",,
"RSM00031510","BLAGOVESCENSK, RS","1881-01-09",,,"-8",,
"RSM00031510","BLAGOVESCENSK, RS","1881-01-10",,,"-1",,
"RSM00031510","BLAGOVESCENSK, RS","1881-01-11",,,"5",,
"RSM00031510","BLAGOVESCENSK, RS","1881-01-12",,,"6",,
"RSM00031510","BLAGOVESCENSK, RS","1881-01-13",,,"1",,
"RSM00031510","BLAGOVESCENSK, RS","1881-01-14",,,"6",,
"RSM00031510","BLAGOVESCENSK, RS","1881-01-15",,,"-5",,
"RSM00031510","BLAGOVESCENSK, RS","1881-01-16",,,"-10",,
"RSM00031510","BLAGOVESCENSK, RS","1881-01-17",,,"-14",,
"RSM00031510","BLAGOVESCENSK, RS","1881-01-18",,,"-17",,
"RSM00031510","BLAGOVESCENSK, RS","1881-01-19",,,"-18",,
"RSM00031510","BLAGOVESCENSK, RS","1881-01-20",,,"-12",,
"RSM00031510","BLAGOVESCENSK, RS","1881-01-21",,,"-12",,
"RSM00031510","BLAGOVESCENSK, RS","1881-01-22",,,"-11",,
"RSM00031510","BLAGOVESCENSK, RS","1881-01-24",,,"-20",,
"RSM00031510","BLAGOVESCENSK, RS","1881-01-25",,,"-21",,
"RSM00031510","BLAGOVESCENSK, RS","1881-01-26",,,"-12",,
"RSM00031510","BLAGOVESCENSK, RS","1881-01-27",,,"-11",,
"RSM00031510","BLAGOVESCENSK, RS","1881-01-28",,,"-15",,
"RSM00031510","BLAGOVESCENSK, RS","1881-01-29",,,"-17",,
"RSM00031510","BLAGOVESCENSK, RS","1881-01-30",,,"-15",,
"RSM00031510","BLAGOVESCENSK, RS","1881-01-31",,,"-15",,
"RSM00031510","BLAGOVESCENSK, RS","1881-02-01","0.00",,"-12",,
"RSM00031510","BLAGOVESCENSK, RS","1881-02-02","0.00",,"-12",,
"RSM00031510","BLAGOVESCENSK, RS","1881-02-03","0.00",,"-14",,
"RSM00031510","BLAGOVESCENSK, RS","1881-02-04","0.00",,"-19",,
"RSM00031510","BLAGOVESCENSK, RS","1881-02-05","0.00",,"-13",,
"RSM00031510","BLAGOVESCENSK, RS","1881-02-06","0.00",,"-4",,
"RSM00031510","BLAGOVESCENSK, RS","1881-02-07","0.00",,"0",,
"RSM00031510","BLAGOVESCENSK, RS","1881-02-08","0.00",,"1",,
"RSM00031510","BLAGOVESCENSK, RS","1881-02-09","0.08",,"5",,
"RSM00031510","BLAGOVESCENSK, RS","1881-02-10","0.00",,"1",,
"RSM00031510","BLAGOVESCENSK, RS","1881-02-11","0.00",,"-2",,
"RSM00031510","BLAGOVESCENSK, RS","1881-02-12","0.00",,"-6",,
"RSM00031510","BLAGOVESCENSK, RS","1881-02-13","0.00",,"-5",,
"RSM00031510","BLAGOVESCENSK, RS","1881-02-14","0.00",,"-16",,
"RSM00031510","BLAGOVESCENSK, RS","1881-02-15","0.00",,"-19",,
"RSM00031510","BLAGOVESCENSK, RS","1881-02-16","0.00",,"-16",,
"RSM00031510","BLAGOVESCENSK, RS","1881-02-17","0.00",,"-7",,
"RSM00031510","BLAGOVESCENSK, RS","1881-02-18","0.00",,"8",,
"RSM00031510","BLAGOVESCENSK, RS","1881-02-19","0.00",,"6",,
"RSM00031510","BLAGOVESCENSK, RS","1881-02-20","0.00",,"-2",,
"RSM00031510","BLAGOVESCENSK, RS","1881-02-21","0.00",,"-9",,
"RSM00031510","BLAGOVESCENSK, RS","1881-02-22","0.11",,"6",,
"RSM00031510","BLAGOVESCENSK, RS","1881-02-23","0.00",,"4",,
"RSM00031510","BLAGOVESCENSK, RS","1881-02-24","0.00",,"-10",,
"RSM00031510","BLAGOVESCENSK, RS","1881-02-25","0.00",,"-14",,
"RSM00031510","BLAGOVESCENSK, RS","1881-02-26","0.00",,"-2",,
"RSM00031510","BLAGOVESCENSK, RS","1881-02-27","0.00",,"4",,
"RSM00031510","BLAGOVESCENSK, RS","1881-02-28","0.00",,"-1",,
"RSM00031510","BLAGOVESCENSK, RS","1881-03-01","0.00",,"-4",,
"RSM00031510","BLAGOVESCENSK, RS","1881-03-02","0.00",,"0",,
"RSM00031510","BLAGOVESCENSK, RS","1881-03-03","0.00",,"-2",,
"RSM00031510","BLAGOVESCENSK, RS","1881-03-04","0.00",,"-4",,
"RSM00031510","BLAGOVESCENSK, RS","1881-03-05","0.00",,"3",,
"RSM00031510","BLAGOVESCENSK, RS","1881-03-06","0.00",,"6",,
"RSM00031510","BLAGOVESCENSK, RS","1881-03-07","0.00",,"-1",,
"RSM00031510","BLAGOVESCENSK, RS","1881-03-08","0.00",,"0",,
"RSM00031510","BLAGOVESCENSK, RS","1881-03-09","0.00",,"9",,
"RSM00031510","BLAGOVESCENSK, RS","1881-03-10","0.00",,"9",,
"RSM00031510","BLAGOVESCENSK, RS","1881-03-11","0.00",,"5",,
"RSM00031510","BLAGOVESCENSK, RS","1881-03-12","0.00",,"6",,
"RSM00031510","BLAGOVESCENSK, RS","1881-03-13","0.00",,"6",,
"RSM00031510","BLAGOVESCENSK, RS","1881-03-14","0.00",,"9",,
"RSM00031510","BLAGOVESCENSK, RS","1881-03-15","0.00",,"15",,
"RSM00031510","BLAGOVESCENSK, RS","1881-03-16","0.00",,"13",,
"RSM00031510","BLAGOVESCENSK, RS","1881-03-17","0.00",,"13",,
"RSM00031510","BLAGOVESCENSK, RS","1881-03-18","0.00",,"15",,
"RSM00031510","BLAGOVESCENSK, RS","1881-03-19","0.00",,"22",,
"RSM00031510","BLAGOVESCENSK, RS","1881-03-20","0.00",,"25",,
"RSM00031510","BLAGOVESCENSK, RS","1881-03-21","0.00",,"27",,
"RSM00031510","BLAGOVESCENSK, RS","1881-03-22","0.00",,"26",,
"RSM00031510","BLAGOVESCENSK, RS","1881-03-23","0.00",,"23",,
"RSM00031510","BLAGOVESCENSK, RS","1881-03-24","0.00",,"27",,
"RSM00031510","BLAGOVESCENSK, RS","1881-03-25","0.43",,"29",,
"RSM00031510","BLAGOVESCENSK, RS","1881-03-26","0.00",,"23",,
"RSM00031510","BLAGOVESCENSK, RS","1881-03-27","0.00",,"28",,
"RSM00031510","BLAGOVESCENSK, RS","1881-03-28","0.00",,"30",,
"RSM00031510","BLAGOVESCENSK, RS","1881-03-29","0.00",,"28",,
"RSM00031510","BLAGOVESCENSK, RS","1881-03-30","0.00",,"33",,
"RSM00031510","BLAGOVESCENSK, RS","1881-03-31","0.00",,"34",,
"RSM00031510","BLAGOVESCENSK, RS","1881-04-01","0.00",,"34",,
"RSM00031510","BLAGOVESCENSK, RS","1881-04-02","0.00",,"34",,
"RSM00031510","BLAGOVESCENSK, RS","1881-04-03","0.00",,"30",,
"RSM00031510","BLAGOVESCENSK, RS","1881-04-04","0.00",,"36",,
"RSM00031510","BLAGOVESCENSK, RS","1881-04-05","0.00",,"40",,
"RSM00031510","BLAGOVESCENSK, RS","1881-04-06","0.00",,"37",,
