STATION,NAME,DATE,PRCP,SNWD,TAVG,TMAX,TMIN
SZ000003700,"ZUERICH FLUNTERN, SZ",1/1/1901,1,,,4,0.5
SZ000003700,"ZUERICH FLUNTERN, SZ",1/2/1901,0,,,1,-3
SZ000003700,"ZUERICH FLUNTERN, SZ",1/3/1901,0,,,2,-8.5
SZ000003700,"ZUERICH FLUNTERN, SZ",1/4/1901,0,,,-4.5,-11
SZ000003700,"ZUERICH FLUNTERN, SZ",1/5/1901,0,,,-5,-12.5
SZ000003700,"ZUERICH FLUNTERN, SZ",1/6/1901,0,,,-8,-13.5
SZ000003700,"ZUERICH FLUNTERN, SZ",1/7/1901,0,,,-7,-12
SZ000003700,"ZUERICH FLUNTERN, SZ",1/8/1901,0,,,-2.5,-11.5
SZ000003700,"ZUERICH FLUNTERN, SZ",1/9/1901,0,,,3.5,-9.5
SZ000003700,"ZUERICH FLUNTERN, SZ",1/10/1901,0,,,5,-6
SZ000003700,"ZUERICH FLUNTERN, SZ",1/11/1901,0.1,,,4,-2
SZ000003700,"ZUERICH FLUNTERN, SZ",1/12/1901,0,,,7.5,0
SZ000003700,"ZUERICH FLUNTERN, SZ",1/13/1901,0,,,2.5,-3.5
SZ000003700,"ZUERICH FLUNTERN, SZ",1/14/1901,0,,,-0.5,-5
SZ000003700,"ZUERICH FLUNTERN, SZ",1/15/1901,0,,,-1.5,-5.5
SZ000003700,"ZUERICH FLUNTERN, SZ",1/16/1901,0,,,-1.5,-7
SZ000003700,"ZUERICH FLUNTERN, SZ",1/17/1901,0,,,-5.5,-9
SZ000003700,"ZUERICH FLUNTERN, SZ",1/18/1901,0,,,-2,-7
SZ000003700,"ZUERICH FLUNTERN, SZ",1/19/1901,0,,,-1.5,-9.5
SZ000003700,"ZUERICH FLUNTERN, SZ",1/20/1901,3.7,,,7.5,-5.5
SZ000003700,"ZUERICH FLUNTERN, SZ",1/21/1901,0.8,,,5,1.5
SZ000003700,"ZUERICH FLUNTERN, SZ",1/22/1901,0.2,,,7,1
SZ000003700,"ZUERICH FLUNTERN, SZ",1/23/1901,0.1,,,3.5,0.5
SZ000003700,"ZUERICH FLUNTERN, SZ",1/24/1901,0,,,5,-0.5
SZ000003700,"ZUERICH FLUNTERN, SZ",1/25/1901,0,,,9.5,0.5
SZ000003700,"ZUERICH FLUNTERN, SZ",1/26/1901,8.7,,,6.5,0.5
SZ000003700,"ZUERICH FLUNTERN, SZ",1/27/1901,13.1,,,7.5,1
SZ000003700,"ZUERICH FLUNTERN, SZ",1/28/1901,7,,,8,1
SZ000003700,"ZUERICH FLUNTERN, SZ",1/29/1901,4.1,,,6,-4
SZ000003700,"ZUERICH FLUNTERN, SZ",1/30/1901,0,,,3.5,-4
SZ000003700,"ZUERICH FLUNTERN, SZ",1/31/1901,0,,,4.5,-5
SZ000003700,"ZUERICH FLUNTERN, SZ",2/1/1901,2.4,,,1.5,-4.5
SZ000003700,"ZUERICH FLUNTERN, SZ",2/2/1901,6.5,,,0.5,-4.5
SZ000003700,"ZUERICH FLUNTERN, SZ",2/3/1901,0,,,3,-9
SZ000003700,"ZUERICH FLUNTERN, SZ",2/4/1901,0,,,5,-7
SZ000003700,"ZUERICH FLUNTERN, SZ",2/5/1901,2.9,,,6.5,-1.5
SZ000003700,"ZUERICH FLUNTERN, SZ",2/6/1901,0.1,,,5,-4
SZ000003700,"ZUERICH FLUNTERN, SZ",2/7/1901,1.5,,,-0.5,-3.5
SZ000003700,"ZUERICH FLUNTERN, SZ",2/8/1901,0.8,,,-1,-3.5
SZ000003700,"ZUERICH FLUNTERN, SZ",2/9/1901,0,,,2.5,-5.5
SZ000003700,"ZUERICH FLUNTERN, SZ",2/10/1901,0,,,-0.5,-8
SZ000003700,"ZUERICH FLUNTERN, SZ",2/11/1901,2.2,,,1,-5.5
SZ000003700,"ZUERICH FLUNTERN, SZ",2/12/1901,0.2,,,-1,-13
SZ000003700,"ZUERICH FLUNTERN, SZ",2/13/1901,0.5,,,-1.5,-9
SZ000003700,"ZUERICH FLUNTERN, SZ",2/14/1901,0,,,-5.5,-13
SZ000003700,"ZUERICH FLUNTERN, SZ",2/15/1901,0,,,-5.5,-17
SZ000003700,"ZUERICH FLUNTERN, SZ",2/16/1901,4.7,,,-6.2,-17
SZ000003700,"ZUERICH FLUNTERN, SZ",2/17/1901,5.7,,,-1.5,-7
SZ000003700,"ZUERICH FLUNTERN, SZ",2/18/1901,0.7,,,-1.5,-9.5
SZ000003700,"ZUERICH FLUNTERN, SZ",2/19/1901,0.5,,,-2.5,-14
SZ000003700,"ZUERICH FLUNTERN, SZ",2/20/1901,0,,,-1.5,-11.5
SZ000003700,"ZUERICH FLUNTERN, SZ",2/21/1901,0.1,,,-4,-14
SZ000003700,"ZUERICH FLUNTERN, SZ",2/22/1901,0,,,-2,-15.5
SZ000003700,"ZUERICH FLUNTERN, SZ",2/23/1901,0,,,-1,-14.5
SZ000003700,"ZUERICH FLUNTERN, SZ",2/24/1901,0,,,4.5,-7.5
SZ000003700,"ZUERICH FLUNTERN, SZ",2/25/1901,0,,,4.5,-4
SZ000003700,"ZUERICH FLUNTERN, SZ",2/26/1901,0,,,6.5,-7
SZ000003700,"ZUERICH FLUNTERN, SZ",2/27/1901,0,,,11,-5.5
SZ000003700,"ZUERICH FLUNTERN, SZ",2/28/1901,1,,,12,1.5
SZ000003700,"ZUERICH FLUNTERN, SZ",3/1/1901,5.4,,,9,1.5
SZ000003700,"ZUERICH FLUNTERN, SZ",3/2/1901,8.7,,,12.5,2
SZ000003700,"ZUERICH FLUNTERN, SZ",3/3/1901,4.8,,,9,2.5
SZ000003700,"ZUERICH FLUNTERN, SZ",3/4/1901,2.6,,,6.5,0.5
SZ000003700,"ZUERICH FLUNTERN, SZ",3/5/1901,3.5,,,7.1,1
SZ000003700,"ZUERICH FLUNTERN, SZ",3/6/1901,1.5,,,9.5,1
SZ000003700,"ZUERICH FLUNTERN, SZ",3/7/1901,0.4,,,6.2,-0.5
SZ000003700,"ZUERICH FLUNTERN, SZ",3/8/1901,0,,,9.5,-2.5
SZ000003700,"ZUERICH FLUNTERN, SZ",3/9/1901,0,,,3.5,-0.5
SZ000003700,"ZUERICH FLUNTERN, SZ",3/10/1901,0,,,3.5,1
SZ000003700,"ZUERICH FLUNTERN, SZ",3/11/1901,0,,,5,1
SZ000003700,"ZUERICH FLUNTERN, SZ",3/12/1901,3,,,2.5,0
SZ000003700,"ZUERICH FLUNTERN, SZ",3/13/1901,0,,,6.5,0
SZ000003700,"ZUERICH FLUNTERN, SZ",3/14/1901,0,,,12,-0.5
SZ000003700,"ZUERICH FLUNTERN, SZ",3/15/1901,0,,,11,0.5
SZ000003700,"ZUERICH FLUNTERN, SZ",3/16/1901,0,,,10.5,3
SZ000003700,"ZUERICH FLUNTERN, SZ",3/17/1901,0,,,11.5,1
SZ000003700,"ZUERICH FLUNTERN, SZ",3/18/1901,0,,,15.5,2.5
SZ000003700,"ZUERICH FLUNTERN, SZ",3/19/1901,0,,,18,2.5
SZ000003700,"ZUERICH FLUNTERN, SZ",3/20/1901,26.6,,,12,5.5
SZ000003700,"ZUERICH FLUNTERN, SZ",3/21/1901,3.4,,,6.3,-0.5
SZ000003700,"ZUERICH FLUNTERN, SZ",3/22/1901,0.1,,,-0.4,-3.5
SZ000003700,"ZUERICH FLUNTERN, SZ",3/23/1901,2,,,0,-4
SZ000003700,"ZUERICH FLUNTERN, SZ",3/24/1901,0.1,,,0.5,-4
SZ000003700,"ZUERICH FLUNTERN, SZ",3/25/1901,0.7,,,6.5,-3.5
SZ000003700,"ZUERICH FLUNTERN, SZ",3/26/1901,4.9,,,3.5,-3
SZ000003700,"ZUERICH FLUNTERN, SZ",3/27/1901,0.1,,,2.5,-7
SZ000003700,"ZUERICH FLUNTERN, SZ",3/28/1901,3.2,,,1.5,-4.5
SZ000003700,"ZUERICH FLUNTERN, SZ",3/29/1901,0,,,2,-5.5
SZ000003700,"ZUERICH FLUNTERN, SZ",3/30/1901,0,,,10.5,-6
SZ000003700,"ZUERICH FLUNTERN, SZ",3/31/1901,0,,,18,1.5
SZ000003700,"ZUERICH FLUNTERN, SZ",4/1/1901,3.3,,,14,5.5
SZ000003700,"ZUERICH FLUNTERN, SZ",4/2/1901,0,,,17.5,5.5
SZ000003700,"ZUERICH FLUNTERN, SZ",4/3/1901,0,,,16.5,3.5
SZ000003700,"ZUERICH FLUNTERN, SZ",4/4/1901,1.2,,,15,6
SZ000003700,"ZUERICH FLUNTERN, SZ",4/5/1901,46.8,,,13,5
SZ000003700,"ZUERICH FLUNTERN, SZ",4/6/1901,4.9,,,13,3
SZ000003700,"ZUERICH FLUNTERN, SZ",4/7/1901,27,,,15.5,8.5
SZ000003700,"ZUERICH FLUNTERN, SZ",4/8/1901,4,,,20.5,8
SZ000003700,"ZUERICH FLUNTERN, SZ",4/9/1901,24.6,,,17,6.5
SZ000003700,"ZUERICH FLUNTERN, SZ",4/10/1901,15.1,,,9.5,4.5
SZ000003700,"ZUERICH FLUNTERN, SZ",4/11/1901,3.1,,,15,4
SZ000003700,"ZUERICH FLUNTERN, SZ",4/12/1901,21.3,,,11.8,3.5
