Identification,Latitude,Longitude,Time of Observation,Sea Surface Temperature
ATGM1,44.4,291.8,2015-01-01T00:00:00,5.2
ATGM1,44.4,291.8,2015-01-01T00:06:00,5.3
ATGM1,44.4,291.8,2015-01-01T00:12:00,5.2
ATGM1,44.4,291.8,2015-01-01T00:18:00,5.1
ATGM1,44.4,291.8,2015-01-01T00:24:00,4.3
ATGM1,44.4,291.8,2015-01-01T00:30:00, 
ATGM1,44.4,291.8,2015-01-01T00:36:00,4.1
ATGM1,44.4,291.8,2015-01-01T00:42:00,4.1
ATGM1,44.4,291.8,2015-01-01T00:48:00, 
ATGM1,44.4,291.8,2015-01-01T00:54:00,4.1
ATGM1,44.4,291.8,2015-01-01T01:00:00,4.1
ATGM1,44.4,291.8,2015-01-01T01:06:00,4.1
ATGM1,44.4,291.8,2015-01-01T01:12:00,4.1
ATGM1,44.4,291.8,2015-01-01T01:18:00,4.2
ATGM1,44.4,291.8,2015-01-01T01:24:00,4.2
ATGM1,44.4,291.8,2015-01-01T01:30:00,4.3
ATGM1,44.4,291.8,2015-01-01T01:36:00,4.3
ATGM1,44.4,291.8,2015-01-01T01:42:00,4.2
ATGM1,44.4,291.8,2015-01-01T01:48:00,4.2
ATGM1,44.4,291.8,2015-01-01T01:54:00,4.2
ATGM1,44.4,291.8,2015-01-01T02:00:00,4.1
ATGM1,44.4,291.8,2015-01-01T02:06:00,4.1
ATGM1,44.4,291.8,2015-01-01T02:12:00,4
ATGM1,44.4,291.8,2015-01-01T02:18:00,4
ATGM1,44.4,291.8,2015-01-01T02:24:00,4
ATGM1,44.4,291.8,2015-01-01T02:30:00,4
ATGM1,44.4,291.8,2015-01-01T02:36:00,4.1
ATGM1,44.4,291.8,2015-01-01T02:42:00,4.2
ATGM1,44.4,291.8,2015-01-01T02:48:00,4.2
ATGM1,44.4,291.8,2015-01-01T02:54:00,4.2
ATGM1,44.4,291.8,2015-01-01T03:00:00,4.1
ATGM1,44.4,291.8,2015-01-01T03:06:00,4.4
ATGM1,44.4,291.8,2015-01-01T03:12:00,4.2
ATGM1,44.4,291.8,2015-01-01T03:18:00,4.1
ATGM1,44.4,291.8,2015-01-01T03:24:00,4
ATGM1,44.4,291.8,2015-01-01T03:30:00,4.2
ATGM1,44.4,291.8,2015-01-01T03:36:00,4.3
ATGM1,44.4,291.8,2015-01-01T03:42:00,4.2
ATGM1,44.4,291.8,2015-01-01T03:48:00,4.3
ATGM1,44.4,291.8,2015-01-01T03:54:00,4.1
ATGM1,44.4,291.8,2015-01-01T04:00:00,4.1
ATGM1,44.4,291.8,2015-01-01T04:06:00,4.1
ATGM1,44.4,291.8,2015-01-01T04:12:00,4.1
ATGM1,44.4,291.8,2015-01-01T04:18:00,4.2
ATGM1,44.4,291.8,2015-01-01T04:24:00,4.2
ATGM1,44.4,291.8,2015-01-01T04:30:00,4.3
ATGM1,44.4,291.8,2015-01-01T04:36:00,4.3
ATGM1,44.4,291.8,2015-01-01T04:42:00,4.3
ATGM1,44.4,291.8,2015-01-01T04:48:00,4.3
ATGM1,44.4,291.8,2015-01-01T04:54:00,4.3
ATGM1,44.4,291.8,2015-01-01T05:00:00,4.4
ATGM1,44.4,291.8,2015-01-01T05:06:00,4.3
ATGM1,44.4,291.8,2015-01-01T05:12:00,4.4
ATGM1,44.4,291.8,2015-01-01T05:24:00,4.4
ATGM1,44.4,291.8,2015-01-01T05:30:00,4.4
