Trend Year, Trend in mm, Upper95%, Lower95%, Linear Trend
1880,2.640,3.180,2.090,2.850,
1885,2.610,3.090,2.140,2.850,
1890,2.570,3.020,2.130,2.850,
1895,2.600,3.080,2.130,2.850,
1900,2.530,3.040,2.010,2.850,
1905,,,,2.850,
1910,,,,2.850,
1915,,,,2.850,
1920,2.410,2.800,2.030,2.850,
1925,2.930,3.320,2.540,2.850,
1930,3.370,3.730,3.000,2.850,
1935,3.410,3.780,3.030,2.850,
1940,3.360,3.740,2.980,2.850,
1945,3.550,3.930,3.180,2.850,
1950,3.860,4.230,3.500,2.850,
1955,3.230,3.650,2.820,2.850,
1960,2.720,3.150,2.290,2.850,
1965,2.330,2.770,1.900,2.850,
1970,2.180,2.620,1.750,2.850,
1975,2.670,3.150,2.200,2.850,
1980,2.570,3.040,2.090,2.850,
1985,2.860,3.360,2.360,2.850,
1990,3.380,3.900,2.860,2.850,
1995,,,,2.850,
2000,,,,2.850,
