name,treatment,Init/Final tag,replicate,count,,,,,,,,,,,,,,,,,,,,,
Chlorella,0,initial,1,y1,,,,,,,,,,,,,,,,,,,,,c4
,0,initial,2,y2,,,,,,,,,,,,,,,,,,,,,0
1yE,0,initial,3,y3,,,,,,,,,,,,,,,,,,,,,0
,0,initial,4,y4,,,,,,,,,,,,,,,,,,,,,0
,0,initial,5,y5,,,,,,,,,,,,,,,,,,,,,0
2yE,6,finial,1,y1,,,,,,,,,,,,,,,,,,,,,2
,1,finial,2,y2,,,,,,,,,,,,,,,,,,,,,
,0,finial,3,y3,,,,,,,,,,,,,,,,,,,,,
,0,finial,4,y4,,,,,,,,,,,,,,,,,,,,,
,0,finial,5,y5,,,,,,,,,,,,,,,,,,,,,
2yB,1,finial,1,y1,,,,,,,,,,,,,,,,,,,,,
,0,finial,2,y2,,,,,,,,,,,,,,,,,,,,,
,1,finial,3,y3,,,,,,,,,,,,,,,,,,,,,
,1,finial,4,y4,,,,,,,,,,,,,,,,,,,,,
,0,finial,5,y5,,,,,,,,,,,,,,,,,,,,,
1ya,0,initial,1,y1,,,,,,,,,,,,,,,,,,,,,
,0,initial,2,y2,,,,,,,,,,,,,,,,,,,,,
,0,initial,3,y3,,,,,,,,,,,,,,,,,,,,,
,0,initial,4,y4,,,,,,,,,,,,,,,,,,,,,
,0,initial,5,y5,,,,,,,,,,,,,,,,,,,,,
1yd,1,initial,1,y1,,,,,,,,,,,,,,,,,,,,,
,1,initial,2,y2,,,,,,,,,,,,,,,,,,,,,
,1,initial,3,y3,,,,,,,,,,,,,,,,,,,,,
,0,initial,4,y4,,,,,,,,,,,,,,,,,,,,,
,0,initial,5,y5,,,,,,,,,,,,,,,,,,,,,
2yD,0,initial,1,y1,,,,,,,,,,,,,,,,,,,,,
,1,initial,2,y2,,,,,,,,,,,,,,,,,,,,,
,0,initial,3,y3,,,,,,,,,,,,,,,,,,,,,
,0,initial,4,y4,,,,,,,,,,,,,,,,,,,,,
,0,initial,5,y5,,,,,,,,,,,,,,,,,,,,,
2yc,0,finial,1,y1,,,,,,,,,,,,,,,,,,,,,
