STATION,NAME,DATE,PRCP,TMAX,TMIN
USW00003122,"TORRANCE AIRPORT, CA US",1/1/1932,0.03,56,44
USW00003122,"TORRANCE AIRPORT, CA US",1/2/1932,0.31,52,42
USW00003122,"TORRANCE AIRPORT, CA US",1/3/1932,0,55,33
USW00003122,"TORRANCE AIRPORT, CA US",1/4/1932,0,59,29
USW00003122,"TORRANCE AIRPORT, CA US",1/5/1932,0,58,34
USW00003122,"TORRANCE AIRPORT, CA US",1/6/1932,0,56,36
USW00003122,"TORRANCE AIRPORT, CA US",1/7/1932,0,56,37
USW00003122,"TORRANCE AIRPORT, CA US",1/8/1932,0,58,34
USW00003122,"TORRANCE AIRPORT, CA US",1/9/1932,0,61,37
USW00003122,"TORRANCE AIRPORT, CA US",1/10/1932,0,61,44
USW00003122,"TORRANCE AIRPORT, CA US",1/11/1932,0,63,40
USW00003122,"TORRANCE AIRPORT, CA US",1/12/1932,0,54,46
USW00003122,"TORRANCE AIRPORT, CA US",1/13/1932,0.33,48,36
USW00003122,"TORRANCE AIRPORT, CA US",1/14/1932,0,46,28
USW00003122,"TORRANCE AIRPORT, CA US",1/15/1932,0.65,46,34
USW00003122,"TORRANCE AIRPORT, CA US",1/16/1932,0,52,32
USW00003122,"TORRANCE AIRPORT, CA US",1/17/1932,0,60,32
USW00003122,"TORRANCE AIRPORT, CA US",1/18/1932,0,68,37
USW00003122,"TORRANCE AIRPORT, CA US",1/19/1932,0,56,36
USW00003122,"TORRANCE AIRPORT, CA US",1/20/1932,0,53,35
USW00003122,"TORRANCE AIRPORT, CA US",1/21/1932,0,55,31
USW00003122,"TORRANCE AIRPORT, CA US",1/22/1932,0,53,30
USW00003122,"TORRANCE AIRPORT, CA US",1/23/1932,0,56,31
USW00003122,"TORRANCE AIRPORT, CA US",1/24/1932,0,55,26
USW00003122,"TORRANCE AIRPORT, CA US",1/25/1932,0,50,30
USW00003122,"TORRANCE AIRPORT, CA US",1/26/1932,0,53,37
USW00003122,"TORRANCE AIRPORT, CA US",1/27/1932,0.06,53,37
USW00003122,"TORRANCE AIRPORT, CA US",1/28/1932,0,53,37
USW00003122,"TORRANCE AIRPORT, CA US",1/29/1932,0,52,32
USW00003122,"TORRANCE AIRPORT, CA US",1/30/1932,0,52,39
USW00003122,"TORRANCE AIRPORT, CA US",1/31/1932,0.42,53,42
USW00003122,"TORRANCE AIRPORT, CA US",2/1/1932,0.5,54,44
USW00003122,"TORRANCE AIRPORT, CA US",2/2/1932,0.23,48,40
USW00003122,"TORRANCE AIRPORT, CA US",2/3/1932,,54,28
USW00003122,"TORRANCE AIRPORT, CA US",2/4/1932,,58,36
USW00003122,"TORRANCE AIRPORT, CA US",2/5/1932,,61,37
USW00003122,"TORRANCE AIRPORT, CA US",2/6/1932,0.01,61,48
USW00003122,"TORRANCE AIRPORT, CA US",2/7/1932,0.12,54,48
USW00003122,"TORRANCE AIRPORT, CA US",2/8/1932,1.45,52,51
USW00003122,"TORRANCE AIRPORT, CA US",2/9/1932,0.29,58,50
USW00003122,"TORRANCE AIRPORT, CA US",2/10/1932,0,62,42
USW00003122,"TORRANCE AIRPORT, CA US",2/11/1932,,60,41
USW00003122,"TORRANCE AIRPORT, CA US",2/12/1932,,65,35
USW00003122,"TORRANCE AIRPORT, CA US",2/13/1932,0.05,54,42
USW00003122,"TORRANCE AIRPORT, CA US",2/14/1932,0.07,49,37
USW00003122,"TORRANCE AIRPORT, CA US",2/15/1932,0.44,53,35
USW00003122,"TORRANCE AIRPORT, CA US",2/16/1932,0.5,50,39
USW00003122,"TORRANCE AIRPORT, CA US",2/17/1932,0.45,56,40
USW00003122,"TORRANCE AIRPORT, CA US",2/18/1932,0.17,52,34
USW00003122,"TORRANCE AIRPORT, CA US",2/19/1932,0.01,57,34
USW00003122,"TORRANCE AIRPORT, CA US",2/20/1932,,61,43
USW00003122,"TORRANCE AIRPORT, CA US",2/21/1932,,59,42
USW00003122,"TORRANCE AIRPORT, CA US",2/22/1932,,64,42
USW00003122,"TORRANCE AIRPORT, CA US",2/23/1932,,72,38
USW00003122,"TORRANCE AIRPORT, CA US",2/24/1932,,76,43
USW00003122,"TORRANCE AIRPORT, CA US",2/25/1932,,82,40
USW00003122,"TORRANCE AIRPORT, CA US",2/26/1932,,86,42
USW00003122,"TORRANCE AIRPORT, CA US",2/27/1932,,72,44
USW00003122,"TORRANCE AIRPORT, CA US",2/28/1932,,72,44
USW00003122,"TORRANCE AIRPORT, CA US",2/29/1932,,57,52
USW00003122,"TORRANCE AIRPORT, CA US",3/1/1932,0,65,45
USW00003122,"TORRANCE AIRPORT, CA US",3/2/1932,0,66,42
USW00003122,"TORRANCE AIRPORT, CA US",3/3/1932,0,63,45
USW00003122,"TORRANCE AIRPORT, CA US",3/4/1932,0,66,31
USW00003122,"TORRANCE AIRPORT, CA US",3/5/1932,0,67,38
USW00003122,"TORRANCE AIRPORT, CA US",3/6/1932,0,68,37
USW00003122,"TORRANCE AIRPORT, CA US",3/7/1932,0,65,44
USW00003122,"TORRANCE AIRPORT, CA US",3/8/1932,0,63,49
