"","Month","2","3","R^2","5","6","R^2","8","9","Slope TMIN","Slope TMAX","TMAX_Start","TMAX_End","TMIN_Start","TMIN_End","Longitude","Latitude"
"1","January","0.0498",0,"0.341","-0.0051",0.4226,"0.009","NS","***","0.0498 ***","-0.0051 NS",1943,2017,1943,2017,18.783,98.983
"2","February","0.0387",0,"0.385","-1e-04",0.991,"0","NS","***","0.0387 ***","-1e-04 NS",1943,2017,1943,2017,18.783,98.983
"3","March","0.0409",0,"0.567","-0.002",0.7453,"0.001","NS","***","0.0409 ***","-0.002 NS",1943,2017,1943,2017,18.783,98.983
"4","April","0.04",0,"0.551","0.0097",0.11,"0.035","NS","***","0.04 ***","0.0097 NS",1943,2017,1943,2017,18.783,98.983
"5","May","0.031",0,"0.48","0.0088",0.2115,"0.021","NS","***","0.031 ***","0.0088 NS",1943,2017,1943,2017,18.783,98.983
"6","June","0.0259",0,"0.448","0.0129",0.015,"0.078","*","***","0.0259 ***","0.0129 *",1943,2017,1943,2017,18.783,98.983
"7","July","0.028",0,"0.493","0.0157",2e-04,"0.173","***","***","0.028 ***","0.0157 ***",1943,2017,1943,2017,18.783,98.983
"8","August","0.0245",0,"0.395","0.0194",0,"0.245","***","***","0.0245 ***","0.0194 ***",1943,2017,1943,2017,18.783,98.983
"9","September","0.015",0,"0.279","0.0217",0,"0.257","***","***","0.015 ***","0.0217 ***",1943,2017,1943,2017,18.783,98.983
"10","October","0.01",0.0101,"0.093","0.02",2e-04,"0.174","***","*","0.01 *","0.02 ***",1943,2017,1943,2017,18.783,98.983
"11","November","0.0158",0.0312,"0.067","0.0253",3e-04,"0.169","***","*","0.0158 *","0.0253 ***",1943,2017,1943,2017,18.783,98.983
"12","December","0.0322",3e-04,"0.178","0.0119",0.1168,"0.034","NS","***","0.0322 ***","0.0119 NS",1943,2017,1943,2017,18.783,98.983
