"Plot Title: 10998543"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 10998543, SEN S/N: 10998543, LBL: Sontag Shade)","Coupler Attached (LGR S/N: 10998543, SEN S/N: 10998543)","Host Connected (LGR S/N: 10998543, SEN S/N: 10998543)","Stopped (LGR S/N: 10998543, SEN S/N: 10998543)","End Of File (LGR S/N: 10998543, SEN S/N: 10998543)"
1,11/19/19 12:00:00 AM,64.139,,,,
2,11/19/19 12:30:00 AM,63.282,,,,
3,11/19/19 01:00:00 AM,62.083,,,,
4,11/19/19 01:30:00 AM,60.883,,,,
5,11/19/19 02:00:00 AM,60.195,,,,
6,11/19/19 02:30:00 AM,60.195,,,,
7,11/19/19 03:00:00 AM,59.508,,,,
8,11/19/19 03:30:00 AM,58.647,,,,
9,11/19/19 04:00:00 AM,57.958,,,,
10,11/19/19 04:30:00 AM,59.851,,,,
11,11/19/19 05:00:00 AM,60.883,,,,
12,11/19/19 05:30:00 AM,62.083,,,,
13,11/19/19 06:00:00 AM,61.398,,,,
14,11/19/19 06:30:00 AM,62.083,,,,
15,11/19/19 07:00:00 AM,61.569,,,,
16,11/19/19 07:30:00 AM,63.968,,,,
17,11/19/19 08:00:00 AM,66.193,,,,
18,11/19/19 08:30:00 AM,68.077,,,,
19,11/19/19 09:00:00 AM,70.480,,,,
20,11/19/19 09:30:00 AM,73.062,,,,
21,11/19/19 10:00:00 AM,76.528,,,,
22,11/19/19 10:30:00 AM,81.266,,,,
23,11/19/19 11:00:00 AM,85.014,,,,
24,11/19/19 11:30:00 AM,89.569,,,,
25,11/19/19 12:00:00 PM,92.363,,,,
26,11/19/19 12:30:00 PM,93.682,,,,
27,11/19/19 01:00:00 PM,97.720,,,,
28,11/19/19 01:30:00 PM,82.864,,,,
29,11/19/19 02:00:00 PM,81.621,,,,
30,11/19/19 02:30:00 PM,81.975,,,,
31,11/19/19 03:00:00 PM,79.151,,,,
32,11/19/19 03:30:00 PM,81.090,,,,
33,11/19/19 04:00:00 PM,74.964,,,,
34,11/19/19 04:30:00 PM,72.199,,,,
35,11/19/19 05:00:00 PM,71.339,,,,
36,11/19/19 05:30:00 PM,70.137,,,,
37,11/19/19 06:00:00 PM,69.278,,,,
38,11/19/19 06:30:00 PM,68.592,,,,
39,11/19/19 07:00:00 PM,67.564,,,,
40,11/19/19 07:30:00 PM,66.193,,,,
41,11/19/19 08:00:00 PM,65.167,,,,
42,11/19/19 08:30:00 PM,63.797,,,,
43,11/19/19 09:00:00 PM,62.598,,,,
44,11/19/19 09:30:00 PM,62.425,,,,
45,11/19/19 10:00:00 PM,61.912,,,,
46,11/19/19 10:30:00 PM,61.569,,,,
47,11/19/19 11:00:00 PM,60.883,,,,
48,11/19/19 11:30:00 PM,59.680,,,,
49,11/20/19 12:00:00 AM,60.368,,,,
50,11/20/19 12:30:00 AM,60.539,,,,
51,11/20/19 01:00:00 AM,60.368,,,,
52,11/20/19 01:30:00 AM,59.680,,,,
53,11/20/19 02:00:00 AM,59.164,,,,
54,11/20/19 02:30:00 AM,58.131,,,,
55,11/20/19 03:00:00 AM,57.441,,,,
56,11/20/19 03:30:00 AM,57.096,,,,
57,11/20/19 04:00:00 AM,56.230,,,,
58,11/20/19 04:30:00 AM,55.364,,,,
59,11/20/19 05:00:00 AM,55.711,,,,
60,11/20/19 05:30:00 AM,53.100,,,,
61,11/20/19 06:00:00 AM,52.401,,,,
62,11/20/19 06:30:00 AM,51.874,,,,
63,11/20/19 07:00:00 AM,48.517,,,,
64,11/20/19 07:30:00 AM,50.290,,,,
65,11/20/19 08:00:00 AM,51.172,,,,
66,11/20/19 08:30:00 AM,52.401,,,,
67,11/20/19 09:00:00 AM,54.147,,,,
68,11/20/19 09:30:00 AM,52.401,,,,
69,11/20/19 10:00:00 AM,50.113,,,,
70,11/20/19 10:30:00 AM,51.874,,,,
71,11/20/19 11:00:00 AM,51.523,,,,
72,11/20/19 11:30:00 AM,54.322,,,,
73,11/20/19 12:00:00 PM,53.623,,,,
74,11/20/19 12:30:00 PM,52.050,,,,
75,11/20/19 01:00:00 PM,47.446,,,,
76,11/20/19 01:30:00 PM,48.339,,,,
77,11/20/19 02:00:00 PM,47.624,,,,
78,11/20/19 02:30:00 PM,48.160,,,,
79,11/20/19 03:00:00 PM,49.759,,,,
80,11/20/19 03:30:00 PM,49.937,,,,
81,11/20/19 04:00:00 PM,49.050,,,,
82,11/20/19 04:30:00 PM,49.050,,,,
83,11/20/19 05:00:00 PM,49.050,,,,
84,11/20/19 05:30:00 PM,49.050,,,,
