"Plot Title: 20724106"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 20724106, SEN S/N: 20724106, LBL: Gandalf (Walker Beach))","Coupler Attached (LGR S/N: 20724106, SEN S/N: 20724106)","Host Connected (LGR S/N: 20724106, SEN S/N: 20724106)","Stopped (LGR S/N: 20724106, SEN S/N: 20724106)","End Of File (LGR S/N: 20724106, SEN S/N: 20724106)"
1,11/20/19 12:00:00 AM,59.680,,,,
2,11/20/19 12:15:00 AM,59.851,,,,
3,11/20/19 12:30:00 AM,59.851,,,,
4,11/20/19 12:45:00 AM,60.024,,,,
5,11/20/19 01:00:00 AM,59.851,,,,
6,11/20/19 01:15:00 AM,59.680,,,,
7,11/20/19 01:30:00 AM,59.508,,,,
8,11/20/19 01:45:00 AM,59.337,,,,
9,11/20/19 02:00:00 AM,58.993,,,,
10,11/20/19 02:15:00 AM,58.647,,,,
11,11/20/19 02:30:00 AM,58.303,,,,
12,11/20/19 02:45:00 AM,58.131,,,,
13,11/20/19 03:00:00 AM,57.441,,,,
14,11/20/19 03:15:00 AM,56.923,,,,
15,11/20/19 03:30:00 AM,56.923,,,,
16,11/20/19 03:45:00 AM,56.923,,,,
17,11/20/19 04:00:00 AM,56.577,,,,
18,11/20/19 04:15:00 AM,56.230,,,,
19,11/20/19 04:30:00 AM,55.711,,,,
20,11/20/19 04:45:00 AM,55.537,,,,
21,11/20/19 05:00:00 AM,55.711,,,,
22,11/20/19 05:15:00 AM,55.537,,,,
23,11/20/19 05:30:00 AM,54.322,,,,
24,11/20/19 05:45:00 AM,53.798,,,,
25,11/20/19 06:00:00 AM,53.449,,,,
26,11/20/19 06:15:00 AM,53.449,,,,
27,11/20/19 06:30:00 AM,53.100,,,,
28,11/20/19 06:45:00 AM,53.274,,,,
29,11/20/19 07:00:00 AM,49.937,,,,
30,11/20/19 07:15:00 AM,49.937,,,,
31,11/20/19 07:30:00 AM,50.643,,,,
32,11/20/19 07:45:00 AM,51.699,,,,
33,11/20/19 08:00:00 AM,51.523,,,,
34,11/20/19 08:15:00 AM,52.401,,,,
35,11/20/19 08:30:00 AM,54.669,,,,
36,11/20/19 08:45:00 AM,56.750,,,,
37,11/20/19 09:00:00 AM,59.164,,,,
38,11/20/19 09:15:00 AM,55.884,,,,
39,11/20/19 09:30:00 AM,54.669,,,,
40,11/20/19 09:45:00 AM,53.973,,,,
41,11/20/19 10:00:00 AM,51.346,,,,
42,11/20/19 10:15:00 AM,53.623,,,,
43,11/20/19 10:30:00 AM,52.576,,,,
44,11/20/19 10:45:00 AM,53.100,,,,
45,11/20/19 11:00:00 AM,52.401,,,,
46,11/20/19 11:15:00 AM,52.225,,,,
47,11/20/19 11:30:00 AM,52.750,,,,
48,11/20/19 11:45:00 AM,53.449,,,,
49,11/20/19 12:00:00 PM,52.750,,,,
50,11/20/19 12:15:00 PM,51.172,,,,
51,11/20/19 12:30:00 PM,51.172,,,,
52,11/20/19 12:45:00 PM,46.908,,,,
53,11/20/19 01:00:00 PM,45.466,,,,
54,11/20/19 01:15:00 PM,45.828,,,,
55,11/20/19 01:30:00 PM,46.548,,,,
56,11/20/19 01:45:00 PM,46.908,,,,
57,11/20/19 02:00:00 PM,46.548,,,,
58,11/20/19 02:15:00 PM,46.188,,,,
59,11/20/19 02:30:00 PM,46.188,,,,
60,11/20/19 02:45:00 PM,46.908,,,,
61,11/20/19 03:00:00 PM,47.624,,,,
62,11/20/19 03:15:00 PM,48.160,,,,
63,11/20/19 03:30:00 PM,48.339,,,,
64,11/20/19 03:45:00 PM,48.160,,,,
65,11/20/19 04:00:00 PM,48.339,,,,
66,11/20/19 04:15:00 PM,48.517,,,,
67,11/20/19 04:30:00 PM,48.695,,,,
68,11/20/19 04:45:00 PM,48.871,,,,
69,11/20/19 05:00:00 PM,49.050,,,,
70,11/20/19 05:15:00 PM,49.228,,,,
71,11/20/19 05:30:00 PM,49.050,,,,
72,11/20/19 05:45:00 PM,48.871,,,,
