"Plot Title: 20724107"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 20724107, SEN S/N: 20724107, LBL: Gertrude (Tranquada Lot))","Coupler Attached (LGR S/N: 20724107, SEN S/N: 20724107)","Host Connected (LGR S/N: 20724107, SEN S/N: 20724107)","Stopped (LGR S/N: 20724107, SEN S/N: 20724107)","End Of File (LGR S/N: 20724107, SEN S/N: 20724107)"
1,11/20/19 12:00:00 AM,58.647,,,,
2,11/20/19 12:15:00 AM,58.993,,,,
3,11/20/19 12:30:00 AM,59.164,,,,
4,11/20/19 12:45:00 AM,59.337,,,,
5,11/20/19 01:00:00 AM,59.164,,,,
6,11/20/19 01:15:00 AM,59.164,,,,
7,11/20/19 01:30:00 AM,58.993,,,,
8,11/20/19 01:45:00 AM,58.647,,,,
9,11/20/19 02:00:00 AM,58.476,,,,
10,11/20/19 02:15:00 AM,57.958,,,,
11,11/20/19 02:30:00 AM,57.785,,,,
12,11/20/19 02:45:00 AM,57.441,,,,
13,11/20/19 03:00:00 AM,56.750,,,,
14,11/20/19 03:15:00 AM,56.404,,,,
15,11/20/19 03:30:00 AM,56.404,,,,
16,11/20/19 03:45:00 AM,56.404,,,,
17,11/20/19 04:00:00 AM,56.057,,,,
18,11/20/19 04:15:00 AM,55.711,,,,
19,11/20/19 04:30:00 AM,55.189,,,,
20,11/20/19 04:45:00 AM,54.842,,,,
21,11/20/19 05:00:00 AM,55.189,,,,
22,11/20/19 05:15:00 AM,54.669,,,,
23,11/20/19 05:30:00 AM,53.274,,,,
24,11/20/19 05:45:00 AM,52.925,,,,
25,11/20/19 06:00:00 AM,52.576,,,,
26,11/20/19 06:15:00 AM,52.401,,,,
27,11/20/19 06:30:00 AM,52.225,,,,
28,11/20/19 06:45:00 AM,52.576,,,,
29,11/20/19 07:00:00 AM,49.759,,,,
30,11/20/19 07:15:00 AM,49.582,,,,
31,11/20/19 07:30:00 AM,50.290,,,,
32,11/20/19 07:45:00 AM,51.172,,,,
33,11/20/19 08:00:00 AM,51.172,,,,
34,11/20/19 08:15:00 AM,51.874,,,,
35,11/20/19 08:30:00 AM,52.925,,,,
36,11/20/19 08:45:00 AM,53.100,,,,
37,11/20/19 09:00:00 AM,54.842,,,,
38,11/20/19 09:15:00 AM,53.973,,,,
39,11/20/19 09:30:00 AM,53.449,,,,
40,11/20/19 09:45:00 AM,53.274,,,,
41,11/20/19 10:00:00 AM,50.995,,,,
42,11/20/19 10:15:00 AM,51.874,,,,
43,11/20/19 10:30:00 AM,52.050,,,,
44,11/20/19 10:45:00 AM,53.274,,,,
45,11/20/19 11:00:00 AM,51.874,,,,
46,11/20/19 11:15:00 AM,51.874,,,,
47,11/20/19 11:30:00 AM,52.401,,,,
48,11/20/19 11:45:00 AM,52.925,,,,
49,11/20/19 12:00:00 PM,52.050,,,,
50,11/20/19 12:15:00 PM,51.172,,,,
51,11/20/19 12:30:00 PM,51.172,,,,
52,11/20/19 12:45:00 PM,46.548,,,,
53,11/20/19 01:00:00 PM,45.286,,,,
54,11/20/19 01:15:00 PM,45.648,,,,
55,11/20/19 01:30:00 PM,46.728,,,,
56,11/20/19 01:45:00 PM,46.728,,,,
57,11/20/19 02:00:00 PM,46.008,,,,
58,11/20/19 02:15:00 PM,45.828,,,,
59,11/20/19 02:30:00 PM,45.828,,,,
60,11/20/19 02:45:00 PM,47.266,,,,
61,11/20/19 03:00:00 PM,47.624,,,,
62,11/20/19 03:15:00 PM,47.982,,,,
63,11/20/19 03:30:00 PM,48.160,,,,
64,11/20/19 03:45:00 PM,47.982,,,,
65,11/20/19 04:00:00 PM,47.802,,,,
66,11/20/19 04:15:00 PM,48.160,,,,
67,11/20/19 04:30:00 PM,48.339,,,,
68,11/20/19 04:45:00 PM,48.339,,,,
69,11/20/19 05:00:00 PM,48.517,,,,
70,11/20/19 05:15:00 PM,48.517,,,,
71,11/20/19 05:30:00 PM,48.695,,,,
72,11/20/19 05:45:00 PM,48.339,,,,
73,11/20/19 06:00:00 PM,48.339,,,,
74,11/20/19 06:15:00 PM,48.339,,,,
75,11/20/19 06:30:00 PM,48.339,,,,
76,11/20/19 06:45:00 PM,48.160,,,,
77,11/20/19 07:00:00 PM,48.160,,,,
78,11/20/19 07:15:00 PM,48.160,,,,
79,11/20/19 07:30:00 PM,48.160,,,,
80,11/20/19 07:45:00 PM,48.160,,,,
81,11/20/19 08:00:00 PM,48.339,,,,
82,11/20/19 08:15:00 PM,47.982,,,,
83,11/20/19 08:30:00 PM,47.982,,,,
84,11/20/19 08:45:00 PM,47.982,,,,
85,11/20/19 09:00:00 PM,48.160,,,,
86,11/20/19 09:15:00 PM,47.802,,,,
87,11/20/19 09:30:00 PM,47.982,,,,
88,11/20/19 09:45:00 PM,47.802,,,,
89,11/20/19 10:00:00 PM,47.624,,,,
90,11/20/19 10:15:00 PM,47.624,,,,
91,11/20/19 10:30:00 PM,47.802,,,,
92,11/20/19 10:45:00 PM,47.982,,,,
93,11/20/19 11:00:00 PM,48.160,,,,
94,11/20/19 11:15:00 PM,47.982,,,,
95,11/20/19 11:30:00 PM,47.802,,,,
96,11/20/19 11:45:00 PM,47.802,,,,
97,11/21/19 12:00:00 AM,47.802,,,,
98,11/21/19 12:15:00 AM,47.624,,,,
99,11/21/19 12:30:00 AM,47.802,,,,
100,11/21/19 12:45:00 AM,48.160,,,,
101,11/21/19 01:00:00 AM,48.339,,,,
102,11/21/19 01:15:00 AM,48.339,,,,
103,11/21/19 01:30:00 AM,48.339,,,,
104,11/21/19 01:45:00 AM,48.339,,,,
105,11/21/19 02:00:00 AM,48.517,,,,
106,11/21/19 02:15:00 AM,48.871,,,,
107,11/21/19 02:30:00 AM,49.050,,,,
108,11/21/19 02:45:00 AM,49.050,,,,
109,11/21/19 03:00:00 AM,49.404,,,,
110,11/21/19 03:15:00 AM,49.759,,,,
111,11/21/19 03:30:00 AM,49.759,,,,
112,11/21/19 03:45:00 AM,49.759,,,,
113,11/21/19 04:00:00 AM,49.759,,,,
114,11/21/19 04:15:00 AM,49.582,,,,
115,11/21/19 04:30:00 AM,49.937,,,,
116,11/21/19 04:45:00 AM,49.937,,,,
117,11/21/19 05:00:00 AM,49.937,,,,
118,11/21/19 05:15:00 AM,49.759,,,,
119,11/21/19 05:30:00 AM,49.759,,,,
120,11/21/19 05:45:00 AM,49.404,,,,
121,11/21/19 06:00:00 AM,48.695,,,,
122,11/21/19 06:15:00 AM,47.802,,,,
123,11/21/19 06:30:00 AM,47.446,,,,
124,11/21/19 06:45:00 AM,47.446,,,,
125,11/21/19 07:00:00 AM,47.446,,,,
126,11/21/19 07:15:00 AM,48.160,,,,
127,11/21/19 07:30:00 AM,48.695,,,,
128,11/21/19 07:45:00 AM,49.582,,,,
129,11/21/19 08:00:00 AM,50.819,,,,
130,11/21/19 08:15:00 AM,51.874,,,,
131,11/21/19 08:30:00 AM,53.100,,,,
132,11/21/19 08:45:00 AM,53.973,,,,
133,11/21/19 09:00:00 AM,55.364,,,,
134,11/21/19 09:15:00 AM,55.884,,,,
135,11/21/19 09:30:00 AM,56.577,,,,
136,11/21/19 09:45:00 AM,56.923,,,,
137,11/21/19 10:00:00 AM,57.268,,,,
138,11/21/19 10:15:00 AM,58.131,,,,
139,11/21/19 10:30:00 AM,59.851,,,,
140,11/21/19 10:45:00 AM,61.569,,,,
141,11/21/19 11:00:00 AM,62.083,,,,
142,11/21/19 11:15:00 AM,62.254,,,,
143,11/21/19 11:30:00 AM,60.368,,,,
144,11/21/19 11:45:00 AM,59.851,,,,
145,11/21/19 12:00:00 PM,60.195,,,,
146,11/21/19 12:15:00 PM,60.883,,,,
147,11/21/19 12:30:00 PM,61.741,,,,
148,11/21/19 12:45:00 PM,62.769,,,,
149,11/21/19 01:00:00 PM,62.940,,,,
150,11/21/19 01:15:00 PM,63.282,,,,
151,11/21/19 01:30:00 PM,62.598,,,,
152,11/21/19 01:45:00 PM,62.769,,,,
153,11/21/19 02:00:00 PM,63.282,,,,
154,11/21/19 02:15:00 PM,63.797,,,,
155,11/21/19 02:30:00 PM,63.455,,,,
156,11/21/19 02:45:00 PM,63.797,,,,
157,11/21/19 03:00:00 PM,63.626,,,,
158,11/21/19 03:15:00 PM,63.797,,,,
159,11/21/19 03:30:00 PM,63.282,,,,
160,11/21/19 03:45:00 PM,62.940,,,,
161,11/21/19 04:00:00 PM,61.227,,,,
162,11/21/19 04:15:00 PM,60.024,,,,
163,11/21/19 04:30:00 PM,58.820,,,,
164,11/21/19 04:45:00 PM,57.785,,,,
165,11/21/19 05:00:00 PM,57.268,,,,
166,11/21/19 05:15:00 PM,55.884,,,,
167,11/21/19 05:30:00 PM,54.842,,,,
168,11/21/19 05:45:00 PM,54.669,,,,
169,11/21/19 06:00:00 PM,55.537,,,,
170,11/21/19 06:15:00 PM,55.711,,,,
171,11/21/19 06:30:00 PM,54.842,,,,
172,11/21/19 06:45:00 PM,53.973,,,,
173,11/21/19 07:00:00 PM,53.798,,,,
174,11/21/19 07:15:00 PM,53.449,,,,
175,11/21/19 07:30:00 PM,52.925,,,,
176,11/21/19 07:45:00 PM,52.401,,,,
177,11/21/19 08:00:00 PM,52.050,,,,
178,11/21/19 08:15:00 PM,51.523,,,,
179,11/21/19 08:30:00 PM,51.346,,,,
180,11/21/19 08:45:00 PM,51.172,,,,
181,11/21/19 09:00:00 PM,50.819,,,,
182,11/21/19 09:15:00 PM,50.466,,,,
183,11/21/19 09:30:00 PM,49.937,,,,
184,11/21/19 09:45:00 PM,49.937,,,,
185,11/21/19 10:00:00 PM,49.582,,,,
186,11/21/19 10:15:00 PM,49.937,,,,
187,11/21/19 10:30:00 PM,50.466,,,,
188,11/21/19 10:45:00 PM,51.346,,,,
189,11/21/19 11:00:00 PM,51.874,,,,
190,11/21/19 11:15:00 PM,52.050,,,,
191,11/21/19 11:30:00 PM,51.874,,,,
192,11/21/19 11:45:00 PM,52.050,,,,
193,11/22/19 12:00:00 AM,52.050,,,,
194,11/22/19 12:15:00 AM,51.699,,,,
195,11/22/19 12:30:00 AM,51.523,,,,
196,11/22/19 12:45:00 AM,51.699,,,,
197,11/22/19 01:00:00 AM,51.172,,,,
198,11/22/19 01:15:00 AM,50.466,,,,
199,11/22/19 01:30:00 AM,50.290,,,,
200,11/22/19 01:45:00 AM,50.643,,,,
201,11/22/19 02:00:00 AM,50.466,,,,
202,11/22/19 02:15:00 AM,49.937,,,,
203,11/22/19 02:30:00 AM,49.582,,,,
204,11/22/19 02:45:00 AM,49.228,,,,
205,11/22/19 03:00:00 AM,48.517,,,,
206,11/22/19 03:15:00 AM,47.802,,,,
207,11/22/19 03:30:00 AM,47.624,,,,
208,11/22/19 03:45:00 AM,47.446,,,,
209,11/22/19 04:00:00 AM,47.446,,,,
210,11/22/19 04:15:00 AM,46.728,,,,
211,11/22/19 04:30:00 AM,46.728,,,,
212,11/22/19 04:45:00 AM,45.828,,,,
213,11/22/19 05:00:00 AM,46.008,,,,
214,11/22/19 05:15:00 AM,46.188,,,,
215,11/22/19 05:30:00 AM,46.369,,,,
216,11/22/19 05:45:00 AM,46.008,,,,
217,11/22/19 06:00:00 AM,46.188,,,,
218,11/22/19 06:15:00 AM,45.648,,,,
219,11/22/19 06:30:00 AM,45.648,,,,
220,11/22/19 06:45:00 AM,46.008,,,,
221,11/22/19 07:00:00 AM,46.188,,,,
222,11/22/19 07:15:00 AM,47.266,,,,
223,11/22/19 07:30:00 AM,48.871,,,,
224,11/22/19 07:45:00 AM,50.819,,,,
225,11/22/19 08:00:00 AM,52.225,,,,
226,11/22/19 08:15:00 AM,53.100,,,,
227,11/22/19 08:30:00 AM,54.322,,,,
228,11/22/19 08:45:00 AM,55.537,,,,
229,11/22/19 09:00:00 AM,56.577,,,,
230,11/22/19 09:15:00 AM,57.441,,,,
231,11/22/19 09:30:00 AM,57.785,,,,
232,11/22/19 09:45:00 AM,58.303,,,,
233,11/22/19 10:00:00 AM,58.647,,,,
234,11/22/19 10:15:00 AM,58.993,,,,
235,11/22/19 10:30:00 AM,59.508,,,,
236,11/22/19 10:45:00 AM,60.539,,,,
237,11/22/19 11:00:00 AM,60.539,,,,
238,11/22/19 11:15:00 AM,61.912,,,,
239,11/22/19 11:30:00 AM,62.769,,,,
240,11/22/19 11:45:00 AM,62.598,,,,
241,11/22/19 12:00:00 PM,63.111,,,,
242,11/22/19 12:15:00 PM,63.455,,,,
243,11/22/19 12:30:00 PM,63.968,,,,
244,11/22/19 12:45:00 PM,63.626,,,,
245,11/22/19 01:00:00 PM,64.652,,,,
246,11/22/19 01:15:00 PM,63.968,,,,
247,11/22/19 01:30:00 PM,64.310,,,,
248,11/22/19 01:45:00 PM,64.652,,,,
249,11/22/19 02:00:00 PM,64.825,,,,
250,11/22/19 02:15:00 PM,64.481,,,,
251,11/22/19 02:30:00 PM,64.481,,,,
252,11/22/19 02:45:00 PM,64.310,,,,
253,11/22/19 03:00:00 PM,64.310,,,,
254,11/22/19 03:15:00 PM,64.481,,,,
255,11/22/19 03:30:00 PM,64.310,,,,
256,11/22/19 03:45:00 PM,64.310,,,,
257,11/22/19 04:00:00 PM,63.455,,,,
258,11/22/19 04:15:00 PM,62.769,,,,
259,11/22/19 04:30:00 PM,61.569,,,,
260,11/22/19 04:45:00 PM,59.337,,,,
261,11/22/19 05:00:00 PM,58.647,,,,
262,11/22/19 05:15:00 PM,57.958,,,,
263,11/22/19 05:30:00 PM,57.441,,,,
264,11/22/19 05:45:00 PM,57.785,,,,
265,11/22/19 06:00:00 PM,57.785,,,,
266,11/22/19 06:15:00 PM,56.404,,,,
267,11/22/19 06:30:00 PM,55.017,,,,
268,11/22/19 06:45:00 PM,53.973,,,,
269,11/22/19 07:00:00 PM,53.798,,,,
270,11/22/19 07:15:00 PM,53.274,,,,
271,11/22/19 07:30:00 PM,52.576,,,,
272,11/22/19 07:45:00 PM,52.925,,,,
273,11/22/19 08:00:00 PM,52.401,,,,
274,11/22/19 08:15:00 PM,52.401,,,,
275,11/22/19 08:30:00 PM,52.225,,,,
276,11/22/19 08:45:00 PM,51.874,,,,
277,11/22/19 09:00:00 PM,51.346,,,,
278,11/22/19 09:15:00 PM,51.874,,,,
279,11/22/19 09:30:00 PM,51.523,,,,
280,11/22/19 09:45:00 PM,52.225,,,,
281,11/22/19 10:00:00 PM,52.750,,,,
282,11/22/19 10:15:00 PM,52.401,,,,
283,11/22/19 10:30:00 PM,52.925,,,,
284,11/22/19 10:45:00 PM,52.750,,,,
285,11/22/19 11:00:00 PM,51.874,,,,
