"Plot Title: 20724109"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 20724109, SEN S/N: 20724109, LBL: KravisSun)","End Of File (LGR S/N: 20724109, SEN S/N: 20724109)"
1,11/19/19 12:00:00 AM,58.647,
2,11/19/19 12:30:00 AM,57.785,
3,11/19/19 01:00:00 AM,56.923,
4,11/19/19 01:30:00 AM,55.884,
5,11/19/19 02:00:00 AM,55.364,
6,11/19/19 02:30:00 AM,54.669,
7,11/19/19 03:00:00 AM,54.147,
8,11/19/19 03:30:00 AM,53.449,
9,11/19/19 04:00:00 AM,53.798,
10,11/19/19 04:30:00 AM,56.750,
11,11/19/19 05:00:00 AM,57.785,
12,11/19/19 05:30:00 AM,58.131,
13,11/19/19 06:00:00 AM,57.785,
14,11/19/19 06:30:00 AM,58.993,
15,11/19/19 07:00:00 AM,58.303,
16,11/19/19 07:30:00 AM,61.054,
17,11/19/19 08:00:00 AM,62.598,
18,11/19/19 08:30:00 AM,63.282,
19,11/19/19 09:00:00 AM,62.940,
20,11/19/19 09:30:00 AM,65.509,
21,11/19/19 10:00:00 AM,68.421,
22,11/19/19 10:30:00 AM,72.891,
23,11/19/19 11:00:00 AM,77.923,
24,11/19/19 11:30:00 AM,95.207,
25,11/19/19 12:00:00 PM,92.363,
26,11/19/19 12:30:00 PM,89.017,
27,11/19/19 01:00:00 PM,94.253,
28,11/19/19 01:30:00 PM,77.050,
29,11/19/19 02:00:00 PM,74.964,
30,11/19/19 02:30:00 PM,77.400,
31,11/19/19 03:00:00 PM,74.098,
32,11/19/19 03:30:00 PM,72.028,
33,11/19/19 04:00:00 PM,67.221,
34,11/19/19 04:30:00 PM,65.680,
35,11/19/19 05:00:00 PM,64.996,
36,11/19/19 05:30:00 PM,64.825,
37,11/19/19 06:00:00 PM,64.825,
38,11/19/19 06:30:00 PM,64.310,
39,11/19/19 07:00:00 PM,62.940,
40,11/19/19 07:30:00 PM,62.425,
41,11/19/19 08:00:00 PM,60.368,
42,11/19/19 08:30:00 PM,58.993,
43,11/19/19 09:00:00 PM,58.303,
44,11/19/19 09:30:00 PM,59.508,
45,11/19/19 10:00:00 PM,58.476,
46,11/19/19 10:30:00 PM,58.131,
47,11/19/19 11:00:00 PM,58.131,
48,11/19/19 11:30:00 PM,56.923,
49,11/20/19 12:00:00 AM,58.647,
50,11/20/19 12:30:00 AM,59.164,
51,11/20/19 01:00:00 AM,59.337,
52,11/20/19 01:30:00 AM,58.820,
53,11/20/19 02:00:00 AM,58.131,
54,11/20/19 02:30:00 AM,57.268,
55,11/20/19 03:00:00 AM,57.268,
56,11/20/19 03:30:00 AM,57.096,
57,11/20/19 04:00:00 AM,56.230,
58,11/20/19 04:30:00 AM,54.495,
59,11/20/19 05:00:00 AM,55.017,
60,11/20/19 05:30:00 AM,53.973,
61,11/20/19 06:00:00 AM,53.449,
62,11/20/19 06:30:00 AM,52.050,
63,11/20/19 07:00:00 AM,48.517,
64,11/20/19 07:30:00 AM,51.172,
65,11/20/19 08:00:00 AM,53.623,
66,11/20/19 08:30:00 AM,56.404,
67,11/20/19 09:00:00 AM,57.096,
68,11/20/19 09:30:00 AM,55.364,
69,11/20/19 10:00:00 AM,51.699,
70,11/20/19 10:30:00 AM,55.537,
71,11/20/19 11:00:00 AM,54.322,
72,11/20/19 11:30:00 AM,59.508,
73,11/20/19 12:00:00 PM,55.884,
74,11/20/19 12:30:00 PM,53.623,
75,11/20/19 01:00:00 PM,48.871,
76,11/20/19 01:30:00 PM,50.995,
77,11/20/19 02:00:00 PM,49.937,
78,11/20/19 02:30:00 PM,50.466,
79,11/20/19 03:00:00 PM,52.576,
80,11/20/19 03:30:00 PM,52.225,
81,11/20/19 04:00:00 PM,50.466,
82,11/20/19 04:30:00 PM,50.290,
83,11/20/19 05:00:00 PM,50.290,
84,11/20/19 05:30:00 PM,49.582,
85,11/20/19 06:00:00 PM,49.582,
86,11/20/19 06:30:00 PM,49.582,
87,11/20/19 07:00:00 PM,49.228,
88,11/20/19 07:30:00 PM,49.050,
89,11/20/19 08:00:00 PM,49.404,
90,11/20/19 08:30:00 PM,49.228,
91,11/20/19 09:00:00 PM,49.228,
92,11/20/19 09:30:00 PM,49.228,
93,11/20/19 10:00:00 PM,49.228,
94,11/20/19 10:30:00 PM,49.404,
95,11/20/19 11:00:00 PM,49.228,
96,11/20/19 11:30:00 PM,49.050,
97,11/21/19 12:00:00 AM,49.228,
98,11/21/19 12:30:00 AM,49.404,
99,11/21/19 01:00:00 AM,49.404,
100,11/21/19 01:30:00 AM,49.582,
101,11/21/19 02:00:00 AM,49.582,
102,11/21/19 02:30:00 AM,49.582,
103,11/21/19 03:00:00 AM,49.582,
104,11/21/19 03:30:00 AM,49.937,
105,11/21/19 04:00:00 AM,49.937,
106,11/21/19 04:30:00 AM,50.290,
107,11/21/19 05:00:00 AM,50.290,
108,11/21/19 05:30:00 AM,49.404,
