"Plot Title: 20724110"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 20724110, SEN S/N: 20724110, LBL: Gwen (SCC Parking Lot))","Host Connected (LGR S/N: 20724110, SEN S/N: 20724110)","Coupler Attached (LGR S/N: 20724110, SEN S/N: 20724110)","Stopped (LGR S/N: 20724110, SEN S/N: 20724110)","End Of File (LGR S/N: 20724110, SEN S/N: 20724110)"
1,11/20/19 12:00:00 AM,59.851,,,,
2,11/20/19 12:15:00 AM,59.851,,,,
3,11/20/19 12:30:00 AM,59.851,,,,
4,11/20/19 12:45:00 AM,59.851,,,,
5,11/20/19 01:00:00 AM,59.851,,,,
6,11/20/19 01:15:00 AM,59.680,,,,
7,11/20/19 01:30:00 AM,59.337,,,,
8,11/20/19 01:45:00 AM,58.993,,,,
9,11/20/19 02:00:00 AM,58.993,,,,
10,11/20/19 02:15:00 AM,58.476,,,,
11,11/20/19 02:30:00 AM,58.131,,,,
12,11/20/19 02:45:00 AM,57.785,,,,
13,11/20/19 03:00:00 AM,57.096,,,,
14,11/20/19 03:15:00 AM,56.577,,,,
15,11/20/19 03:30:00 AM,56.923,,,,
16,11/20/19 03:45:00 AM,56.750,,,,
17,11/20/19 04:00:00 AM,56.230,,,,
18,11/20/19 04:15:00 AM,55.884,,,,
19,11/20/19 04:30:00 AM,55.537,,,,
20,11/20/19 04:45:00 AM,55.364,,,,
21,11/20/19 05:00:00 AM,55.537,,,,
22,11/20/19 05:15:00 AM,55.017,,,,
23,11/20/19 05:30:00 AM,53.449,,,,
24,11/20/19 05:45:00 AM,53.449,,,,
25,11/20/19 06:00:00 AM,53.100,,,,
26,11/20/19 06:15:00 AM,53.274,,,,
27,11/20/19 06:30:00 AM,52.925,,,,
28,11/20/19 06:45:00 AM,53.274,,,,
29,11/20/19 07:00:00 AM,49.937,,,,
30,11/20/19 07:15:00 AM,49.937,,,,
31,11/20/19 07:30:00 AM,50.643,,,,
32,11/20/19 07:45:00 AM,51.346,,,,
33,11/20/19 08:00:00 AM,51.523,,,,
34,11/20/19 08:15:00 AM,52.401,,,,
35,11/20/19 08:30:00 AM,52.925,,,,
36,11/20/19 08:45:00 AM,52.925,,,,
37,11/20/19 09:00:00 AM,54.322,,,,
38,11/20/19 09:15:00 AM,53.798,,,,
39,11/20/19 09:30:00 AM,53.449,,,,
40,11/20/19 09:45:00 AM,53.100,,,,
41,11/20/19 10:00:00 AM,50.643,,,,
42,11/20/19 10:15:00 AM,51.874,,,,
43,11/20/19 10:30:00 AM,52.401,,,,
44,11/20/19 10:45:00 AM,53.274,,,,
45,11/20/19 11:00:00 AM,52.750,,,,
46,11/20/19 11:15:00 AM,52.925,,,,
47,11/20/19 11:30:00 AM,54.147,,,,
48,11/20/19 11:45:00 AM,54.842,,,,
49,11/20/19 12:00:00 PM,53.100,,,,
50,11/20/19 12:15:00 PM,52.225,,,,
51,11/20/19 12:30:00 PM,52.050,,,,
52,11/20/19 12:45:00 PM,47.446,,,,
53,11/20/19 01:00:00 PM,46.369,,,,
54,11/20/19 01:15:00 PM,46.908,,,,
55,11/20/19 01:30:00 PM,47.802,,,,
56,11/20/19 01:45:00 PM,48.160,,,,
57,11/20/19 02:00:00 PM,48.160,,,,
58,11/20/19 02:15:00 PM,47.802,,,,
59,11/20/19 02:30:00 PM,47.446,,,,
60,11/20/19 02:45:00 PM,48.517,,,,
61,11/20/19 03:00:00 PM,49.228,,,,
62,11/20/19 03:15:00 PM,50.466,,,,
63,11/20/19 03:30:00 PM,49.937,,,,
64,11/20/19 03:45:00 PM,49.582,,,,
65,11/20/19 04:00:00 PM,49.582,,,,
66,11/20/19 04:15:00 PM,49.759,,,,
67,11/20/19 04:30:00 PM,49.937,,,,
68,11/20/19 04:45:00 PM,49.937,,,,
69,11/20/19 05:00:00 PM,50.290,,,,
70,11/20/19 05:15:00 PM,50.113,,,,
71,11/20/19 05:30:00 PM,49.937,,,,
72,11/20/19 05:45:00 PM,49.759,,,,
73,11/20/19 06:00:00 PM,49.759,,,,
74,11/20/19 06:15:00 PM,49.759,,,,
75,11/20/19 06:30:00 PM,49.759,,,,
76,11/20/19 06:45:00 PM,49.759,,,,
77,11/20/19 07:00:00 PM,49.582,,,,
78,11/20/19 07:15:00 PM,49.937,,,,
79,11/20/19 07:30:00 PM,49.937,,,,
80,11/20/19 07:45:00 PM,49.759,,,,
81,11/20/19 08:00:00 PM,49.582,,,,
82,11/20/19 08:15:00 PM,49.582,,,,
83,11/20/19 08:30:00 PM,49.404,,,,
84,11/20/19 08:45:00 PM,49.582,,,,
85,11/20/19 09:00:00 PM,49.582,,,,
86,11/20/19 09:15:00 PM,49.404,,,,
87,11/20/19 09:30:00 PM,49.228,,,,
88,11/20/19 09:45:00 PM,49.228,,,,
89,11/20/19 10:00:00 PM,49.050,,,,
90,11/20/19 10:15:00 PM,49.050,,,,
91,11/20/19 10:30:00 PM,49.228,,,,
92,11/20/19 10:45:00 PM,49.404,,,,
93,11/20/19 11:00:00 PM,49.404,,,,
94,11/20/19 11:15:00 PM,49.404,,,,
95,11/20/19 11:30:00 PM,49.050,,,,
96,11/20/19 11:45:00 PM,49.228,,,,
97,11/21/19 12:00:00 AM,49.228,,,,
98,11/21/19 12:15:00 AM,49.050,,,,
99,11/21/19 12:30:00 AM,49.050,,,,
100,11/21/19 12:45:00 AM,49.050,,,,
101,11/21/19 01:00:00 AM,49.050,,,,
102,11/21/19 01:15:00 AM,49.050,,,,
103,11/21/19 01:30:00 AM,49.228,,,,
104,11/21/19 01:45:00 AM,49.582,,,,
105,11/21/19 02:00:00 AM,49.582,,,,
106,11/21/19 02:15:00 AM,49.759,,,,
107,11/21/19 02:30:00 AM,49.937,,,,
108,11/21/19 02:45:00 AM,49.937,,,,
109,11/21/19 03:00:00 AM,50.290,,,,
110,11/21/19 03:15:00 AM,50.290,,,,
111,11/21/19 03:30:00 AM,50.466,,,,
112,11/21/19 03:45:00 AM,50.466,,,,
113,11/21/19 04:00:00 AM,50.113,,,,
114,11/21/19 04:15:00 AM,50.113,,,,
115,11/21/19 04:30:00 AM,50.290,,,,
116,11/21/19 04:45:00 AM,50.466,,,,
117,11/21/19 05:00:00 AM,50.290,,,,
118,11/21/19 05:15:00 AM,50.113,,,,
119,11/21/19 05:30:00 AM,50.290,,,,
120,11/21/19 05:45:00 AM,49.937,,,,
121,11/21/19 06:00:00 AM,49.228,,,,
122,11/21/19 06:15:00 AM,48.695,,,,
123,11/21/19 06:30:00 AM,48.160,,,,
124,11/21/19 06:45:00 AM,48.160,,,,
125,11/21/19 07:00:00 AM,48.160,,,,
126,11/21/19 07:15:00 AM,48.871,,,,
127,11/21/19 07:30:00 AM,49.404,,,,
128,11/21/19 07:45:00 AM,50.643,,,,
129,11/21/19 08:00:00 AM,51.523,,,,
130,11/21/19 08:15:00 AM,52.750,,,,
131,11/21/19 08:30:00 AM,53.449,,,,
132,11/21/19 08:45:00 AM,53.798,,,,
133,11/21/19 09:00:00 AM,54.147,,,,
134,11/21/19 09:15:00 AM,55.017,,,,
135,11/21/19 09:30:00 AM,55.711,,,,
136,11/21/19 09:45:00 AM,56.057,,,,
137,11/21/19 10:00:00 AM,57.614,,,,
138,11/21/19 10:15:00 AM,58.476,,,,
139,11/21/19 10:30:00 AM,59.851,,,,
140,11/21/19 10:45:00 AM,61.227,,,,
141,11/21/19 11:00:00 AM,62.769,,,,
142,11/21/19 11:15:00 AM,62.769,,,,
143,11/21/19 11:30:00 AM,59.680,,,,
144,11/21/19 11:45:00 AM,59.508,,,,
145,11/21/19 12:00:00 PM,60.024,,,,
146,11/21/19 12:15:00 PM,60.024,,,,
147,11/21/19 12:30:00 PM,60.539,,,,
148,11/21/19 12:45:00 PM,62.769,,,,
149,11/21/19 01:00:00 PM,67.221,,,,
150,11/21/19 01:15:00 PM,64.652,,,,
151,11/21/19 01:30:00 PM,67.735,,,,
152,11/21/19 01:45:00 PM,66.366,,,,
153,11/21/19 02:00:00 PM,70.480,,,,
154,11/21/19 02:15:00 PM,68.248,,,,
155,11/21/19 02:30:00 PM,63.626,,,,
156,11/21/19 02:45:00 PM,64.310,,,,
157,11/21/19 03:00:00 PM,64.481,,,,
158,11/21/19 03:15:00 PM,64.481,,,,
159,11/21/19 03:30:00 PM,64.139,,,,
160,11/21/19 03:45:00 PM,62.940,,,,
161,11/21/19 04:00:00 PM,61.227,,,,
162,11/21/19 04:15:00 PM,60.195,,,,
163,11/21/19 04:30:00 PM,58.993,,,,
164,11/21/19 04:45:00 PM,58.476,,,,
165,11/21/19 05:00:00 PM,57.614,,,,
166,11/21/19 05:15:00 PM,57.096,,,,
167,11/21/19 05:30:00 PM,56.750,,,,
168,11/21/19 05:45:00 PM,56.404,,,,
169,11/21/19 06:00:00 PM,56.750,,,,
170,11/21/19 06:15:00 PM,56.577,,,,
171,11/21/19 06:30:00 PM,55.711,,,,
172,11/21/19 06:45:00 PM,55.017,,,,
173,11/21/19 07:00:00 PM,54.495,,,,
174,11/21/19 07:15:00 PM,54.322,,,,
175,11/21/19 07:30:00 PM,53.798,,,,
176,11/21/19 07:45:00 PM,53.449,,,,
177,11/21/19 08:00:00 PM,53.100,,,,
178,11/21/19 08:15:00 PM,52.750,,,,
179,11/21/19 08:30:00 PM,52.401,,,,
180,11/21/19 08:45:00 PM,52.225,,,,
181,11/21/19 09:00:00 PM,52.225,,,,
182,11/21/19 09:15:00 PM,51.874,,,,
183,11/21/19 09:30:00 PM,51.346,,,,
184,11/21/19 09:45:00 PM,50.995,,,,
185,11/21/19 10:00:00 PM,51.172,,,,
186,11/21/19 10:15:00 PM,51.172,,,,
187,11/21/19 10:30:00 PM,51.699,,,,
188,11/21/19 10:45:00 PM,52.225,,,,
189,11/21/19 11:00:00 PM,52.576,,,,
190,11/21/19 11:15:00 PM,52.750,,,,
191,11/21/19 11:30:00 PM,52.576,,,,
192,11/21/19 11:45:00 PM,52.750,,,,
193,11/22/19 12:00:00 AM,52.750,,,,
194,11/22/19 12:15:00 AM,52.401,,,,
195,11/22/19 12:30:00 AM,52.225,,,,
196,11/22/19 12:45:00 AM,52.225,,,,
197,11/22/19 01:00:00 AM,51.874,,,,
198,11/22/19 01:15:00 AM,51.523,,,,
199,11/22/19 01:30:00 AM,51.523,,,,
200,11/22/19 01:45:00 AM,51.523,,,,
201,11/22/19 02:00:00 AM,51.346,,,,
202,11/22/19 02:15:00 AM,50.995,,,,
203,11/22/19 02:30:00 AM,50.819,,,,
204,11/22/19 02:45:00 AM,50.466,,,,
205,11/22/19 03:00:00 AM,49.937,,,,
206,11/22/19 03:15:00 AM,49.404,,,,
207,11/22/19 03:30:00 AM,48.871,,,,
208,11/22/19 03:45:00 AM,48.871,,,,
209,11/22/19 04:00:00 AM,48.695,,,,
210,11/22/19 04:15:00 AM,48.517,,,,
211,11/22/19 04:30:00 AM,47.982,,,,
212,11/22/19 04:45:00 AM,47.446,,,,
213,11/22/19 05:00:00 AM,47.266,,,,
214,11/22/19 05:15:00 AM,47.624,,,,
215,11/22/19 05:30:00 AM,48.160,,,,
216,11/22/19 05:45:00 AM,47.802,,,,
217,11/22/19 06:00:00 AM,47.446,,,,
218,11/22/19 06:15:00 AM,47.266,,,,
219,11/22/19 06:30:00 AM,47.088,,,,
220,11/22/19 06:45:00 AM,47.446,,,,
221,11/22/19 07:00:00 AM,47.624,,,,
222,11/22/19 07:15:00 AM,48.695,,,,
223,11/22/19 07:30:00 AM,50.290,,,,
224,11/22/19 07:45:00 AM,51.874,,,,
225,11/22/19 08:00:00 AM,52.576,,,,
226,11/22/19 08:15:00 AM,53.274,,,,
227,11/22/19 08:30:00 AM,53.973,,,,
228,11/22/19 08:45:00 AM,55.017,,,,
229,11/22/19 09:00:00 AM,55.884,,,,
230,11/22/19 09:15:00 AM,56.750,,,,
231,11/22/19 09:30:00 AM,57.096,,,,
232,11/22/19 09:45:00 AM,57.614,,,,
233,11/22/19 10:00:00 AM,60.712,,,,
234,11/22/19 10:15:00 AM,59.164,,,,
235,11/22/19 10:30:00 AM,60.712,,,,
236,11/22/19 10:45:00 AM,61.912,,,,
237,11/22/19 11:00:00 AM,64.139,,,,
238,11/22/19 11:15:00 AM,63.626,,,,
239,11/22/19 11:30:00 AM,72.372,,,,
240,11/22/19 11:45:00 AM,81.442,,,,
241,11/22/19 12:00:00 PM,84.115,,,,
242,11/22/19 12:15:00 PM,77.574,,,,
243,11/22/19 12:30:00 PM,89.384,,,,
244,11/22/19 12:45:00 PM,85.554,,,,
