STATION,NAME,DATE,WT01,WT03,WT04,WT05,WT06,WT07,WT08,WT11,WT14
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-10-01,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-10-02,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-10-03,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-10-04,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-10-05,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-10-06,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-10-07,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-10-08,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-10-09,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-10-10,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-10-11,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-10-12,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-10-13,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-10-14,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-10-15,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-10-16,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-10-17,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-10-18,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-10-19,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-10-20,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-10-21,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-10-22,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-10-23,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-10-24,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-10-25,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-10-26,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-10-27,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-10-28,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-10-29,,,,,,,,,
