STATION,NAME,DATE,DAPR,DASF,MDPR,MDSF,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-10-01,,,,,,,,20.6,7.8,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-10-02,,,,,,,,26.7,13.9,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-10-03,,,,,,,,26.1,16.1,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-10-04,,,,,7.6,,,22.8,11.1,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-10-05,,,,,,,,13.9,6.7,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-10-06,,,,,,,,14.4,5,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-10-07,,,,,4.1,,,10.6,5.6,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-10-08,,,,,,,,13.9,3.3,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-10-09,,,,,,,,15,3.9,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-10-10,,,,,,,,16.7,5,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-10-11,,,,,,,,11.7,3.9,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-10-12,,,,,,,,12.8,2.8,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-10-13,,,,,,,,14.4,1.7,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-10-14,,,,,6.4,,,13.9,6.1,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-10-15,,,,,3.3,,,8.9,3.9,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-10-16,,,,,,,,11.1,2.2,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-10-17,,,,,,,,15,1.7,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-10-18,,,,,,,,12.2,8.3,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-10-19,,,,,19.6,,,7.8,3.3,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-10-20,,,,,,,,8.9,3.9,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-10-21,,,,,,,,10,3.3,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-10-22,,,,,,,,6.1,-0.6,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-10-23,,,,,,,,8.9,-2.2,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-10-24,,,,,,,,13.3,1.1,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-10-25,,,,,1.3,,,17.2,3.3,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-10-26,,,,,,,,15.6,4.4,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-10-27,,,,,,,,5.6,0,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-10-28,,,,,,,,7.8,-3.3,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-10-29,,,,,,,,15,0.6,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-10-30,,,,,5.6,,,18.3,6.7,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-10-31,,,,,,,,16.1,5.6,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-11-01,,,,,0,0,,7.8,1.1,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-11-02,,,,,0,0,,2.8,-4.4,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-11-03,,,,,0,0,,4.4,-6.1,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-11-04,,,,,0,0,,5,-3.9,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-11-05,,,,,0,0,,7.8,1.1,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-11-06,,,,,0,0,,8.3,-0.6,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-11-07,,,,,0,0,,12.2,1.7,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-11-08,,,,,8.1,0,,13.9,2.2,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-11-09,,,,,45.2,0,,15,10.6,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-11-10,,,,,0,0,,13.9,1.1,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-11-11,,,,,0.3,0,,10,2.2,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-11-12,,,,,0.5,0,,5.6,1.1,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-11-13,,,,,0,0,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-11-14,,,,,0,0,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-11-15,,,,,6.1,0,,5,-2.2,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-11-16,,,,,16.5,0,,11.7,1.1,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-11-17,,,,,0.5,0,,1.1,-11.7,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-11-18,,,,,0,0,,-3.3,-8.3,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-11-19,,,,,0,0,,2.2,-9.4,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-11-20,,,,,0,0,,7.8,0,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-11-21,,,,,10.7,0,,11.1,1.7,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-11-22,,,,,17,0,,11.1,6.7,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-11-23,,,,,7.1,0,,7.2,2.2,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-11-24,,,,,0,0,,2.8,-3.3,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-11-25,,,,,0,0,,-1.1,-6.1,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-11-26,,,,,0,0,,6.1,-5,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-11-27,,,,,14,15,,-1.1,-5.6,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-11-28,,,,,0,0,,-5,-10,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-11-29,,,,,0,0,,-6.7,-13.9,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-11-30,,,,,0,0,,-4.4,-12.8,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-12-01,,,,,,,,2.2,-9.4,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-12-02,,,,,,,,4.4,1.1,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-12-03,,,,,,,,9.4,2.2,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-12-04,,,,,,,,12.2,1.1,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-12-05,,,,,,,,8.3,1.1,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-12-06,,,,,,,,1.7,-4.4,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-12-07,,,,,,,,-0.6,-10.6,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-12-08,,,,,,,,3.3,-10.6,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-12-09,,,,,,,,4.4,0.6,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-12-10,,,,,,,,6.7,-0.6,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-12-11,,,,,,,,5.6,-1.1,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-12-12,,,,,,,,4.4,-1.7,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-12-13,,,,,,,,9.4,-1.7,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-12-14,,,,,,,,5,1.7,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-12-15,,,,,,,,13.3,2.2,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-12-16,,,,,,,,2.8,1.1,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-12-17,,,,,,,,-3.3,-8.3,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-12-18,,,,,,,,-1.1,-10,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-12-19,,,,,,,,2.2,-6.1,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-12-20,,,,,,,,5,3.3,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-12-21,,,,,,,,8.9,5.6,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-12-22,,,,,,,,14.4,2.2,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-12-23,,,,,,,,2.8,0.6,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-12-24,,,,,,,,5,-0.6,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-12-25,,,,,,,,10,2.2,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-12-26,,,,,,,,10,-7.8,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-12-27,,,,,,,,-2.2,-7.8,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-12-28,,,,,,,,5,-6.1,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-12-29,,,,,,,,5,-6.1,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-12-30,,,,,,,,0.6,-3.9,
