Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
SURVEY,2020,WEEK #21,5/24/2020,STATE,MICHIGAN,26,,,,,,,0,,CORN,"CORN - CONDITION, MEASURED IN PCT POOR",TOTAL,NOT SPECIFIED,6,
SURVEY,2020,WEEK #22,5/31/2020,STATE,MICHIGAN,26,,,,,,,0,,CORN,"CORN - CONDITION, MEASURED IN PCT POOR",TOTAL,NOT SPECIFIED,6,
SURVEY,2020,WEEK #23,6/7/2020,STATE,MICHIGAN,26,,,,,,,0,,CORN,"CORN - CONDITION, MEASURED IN PCT POOR",TOTAL,NOT SPECIFIED,5,
SURVEY,2020,WEEK #24,6/14/2020,STATE,MICHIGAN,26,,,,,,,0,,CORN,"CORN - CONDITION, MEASURED IN PCT POOR",TOTAL,NOT SPECIFIED,6,
SURVEY,2020,WEEK #25,6/21/2020,STATE,MICHIGAN,26,,,,,,,0,,CORN,"CORN - CONDITION, MEASURED IN PCT POOR",TOTAL,NOT SPECIFIED,7,
SURVEY,2020,WEEK #26,6/28/2020,STATE,MICHIGAN,26,,,,,,,0,,CORN,"CORN - CONDITION, MEASURED IN PCT POOR",TOTAL,NOT SPECIFIED,6,
SURVEY,2020,WEEK #27,7/5/2020,STATE,MICHIGAN,26,,,,,,,0,,CORN,"CORN - CONDITION, MEASURED IN PCT POOR",TOTAL,NOT SPECIFIED,11,
SURVEY,2020,WEEK #28,7/12/2020,STATE,MICHIGAN,26,,,,,,,0,,CORN,"CORN - CONDITION, MEASURED IN PCT POOR",TOTAL,NOT SPECIFIED,14,
SURVEY,2020,WEEK #29,7/19/2020,STATE,MICHIGAN,26,,,,,,,0,,CORN,"CORN - CONDITION, MEASURED IN PCT POOR",TOTAL,NOT SPECIFIED,11,
SURVEY,2020,WEEK #30,7/26/2020,STATE,MICHIGAN,26,,,,,,,0,,CORN,"CORN - CONDITION, MEASURED IN PCT POOR",TOTAL,NOT SPECIFIED,8,
SURVEY,2020,WEEK #31,8/2/2020,STATE,MICHIGAN,26,,,,,,,0,,CORN,"CORN - CONDITION, MEASURED IN PCT POOR",TOTAL,NOT SPECIFIED,8,
SURVEY,2020,WEEK #32,8/9/2020,STATE,MICHIGAN,26,,,,,,,0,,CORN,"CORN - CONDITION, MEASURED IN PCT POOR",TOTAL,NOT SPECIFIED,8,
SURVEY,2020,WEEK #33,8/16/2020,STATE,MICHIGAN,26,,,,,,,0,,CORN,"CORN - CONDITION, MEASURED IN PCT POOR",TOTAL,NOT SPECIFIED,9,
SURVEY,2020,WEEK #34,8/23/2020,STATE,MICHIGAN,26,,,,,,,0,,CORN,"CORN - CONDITION, MEASURED IN PCT POOR",TOTAL,NOT SPECIFIED,13,
SURVEY,2020,WEEK #35,8/30/2020,STATE,MICHIGAN,26,,,,,,,0,,CORN,"CORN - CONDITION, MEASURED IN PCT POOR",TOTAL,NOT SPECIFIED,13,
SURVEY,2020,WEEK #36,9/6/2020,STATE,MICHIGAN,26,,,,,,,0,,CORN,"CORN - CONDITION, MEASURED IN PCT POOR",TOTAL,NOT SPECIFIED,11,
SURVEY,2020,WEEK #37,9/13/2020,STATE,MICHIGAN,26,,,,,,,0,,CORN,"CORN - CONDITION, MEASURED IN PCT POOR",TOTAL,NOT SPECIFIED,9,
SURVEY,2020,WEEK #38,9/20/2020,STATE,MICHIGAN,26,,,,,,,0,,CORN,"CORN - CONDITION, MEASURED IN PCT POOR",TOTAL,NOT SPECIFIED,8,
SURVEY,2020,WEEK #39,9/27/2020,STATE,MICHIGAN,26,,,,,,,0,,CORN,"CORN - CONDITION, MEASURED IN PCT POOR",TOTAL,NOT SPECIFIED,9,
SURVEY,2020,WEEK #40,10/4/2020,STATE,MICHIGAN,26,,,,,,,0,,CORN,"CORN - CONDITION, MEASURED IN PCT POOR",TOTAL,NOT SPECIFIED,8,
SURVEY,2019,WEEK #23,6/9/2019,STATE,MICHIGAN,26,,,,,,,0,,CORN,"CORN - CONDITION, MEASURED IN PCT POOR",TOTAL,NOT SPECIFIED,9,
SURVEY,2019,WEEK #24,6/16/2019,STATE,MICHIGAN,26,,,,,,,0,,CORN,"CORN - CONDITION, MEASURED IN PCT POOR",TOTAL,NOT SPECIFIED,13,
SURVEY,2019,WEEK #25,6/23/2019,STATE,MICHIGAN,26,,,,,,,0,,CORN,"CORN - CONDITION, MEASURED IN PCT POOR",TOTAL,NOT SPECIFIED,20,
SURVEY,2019,WEEK #26,6/30/2019,STATE,MICHIGAN,26,,,,,,,0,,CORN,"CORN - CONDITION, MEASURED IN PCT POOR",TOTAL,NOT SPECIFIED,20,
SURVEY,2019,WEEK #27,7/7/2019,STATE,MICHIGAN,26,,,,,,,0,,CORN,"CORN - CONDITION, MEASURED IN PCT POOR",TOTAL,NOT SPECIFIED,15,
SURVEY,2019,WEEK #28,7/14/2019,STATE,MICHIGAN,26,,,,,,,0,,CORN,"CORN - CONDITION, MEASURED IN PCT POOR",TOTAL,NOT SPECIFIED,14,
SURVEY,2019,WEEK #29,7/21/2019,STATE,MICHIGAN,26,,,,,,,0,,CORN,"CORN - CONDITION, MEASURED IN PCT POOR",TOTAL,NOT SPECIFIED,17,
SURVEY,2019,WEEK #30,7/28/2019,STATE,MICHIGAN,26,,,,,,,0,,CORN,"CORN - CONDITION, MEASURED IN PCT POOR",TOTAL,NOT SPECIFIED,18,
SURVEY,2019,WEEK #31,8/4/2019,STATE,MICHIGAN,26,,,,,,,0,,CORN,"CORN - CONDITION, MEASURED IN PCT POOR",TOTAL,NOT SPECIFIED,19,
SURVEY,2019,WEEK #32,8/11/2019,STATE,MICHIGAN,26,,,,,,,0,,CORN,"CORN - CONDITION, MEASURED IN PCT POOR",TOTAL,NOT SPECIFIED,17,
SURVEY,2019,WEEK #33,8/18/2019,STATE,MICHIGAN,26,,,,,,,0,,CORN,"CORN - CONDITION, MEASURED IN PCT POOR",TOTAL,NOT SPECIFIED,17,
SURVEY,2019,WEEK #34,8/25/2019,STATE,MICHIGAN,26,,,,,,,0,,CORN,"CORN - CONDITION, MEASURED IN PCT POOR",TOTAL,NOT SPECIFIED,17,
SURVEY,2019,WEEK #35,9/1/2019,STATE,MICHIGAN,26,,,,,,,0,,CORN,"CORN - CONDITION, MEASURED IN PCT POOR",TOTAL,NOT SPECIFIED,16,
SURVEY,2019,WEEK #36,9/8/2019,STATE,MICHIGAN,26,,,,,,,0,,CORN,"CORN - CONDITION, MEASURED IN PCT POOR",TOTAL,NOT SPECIFIED,15,
SURVEY,2019,WEEK #37,9/15/2019,STATE,MICHIGAN,26,,,,,,,0,,CORN,"CORN - CONDITION, MEASURED IN PCT POOR",TOTAL,NOT SPECIFIED,14,
SURVEY,2019,WEEK #38,9/22/2019,STATE,MICHIGAN,26,,,,,,,0,,CORN,"CORN - CONDITION, MEASURED IN PCT POOR",TOTAL,NOT SPECIFIED,14,
SURVEY,2019,WEEK #39,9/29/2019,STATE,MICHIGAN,26,,,,,,,0,,CORN,"CORN - CONDITION, MEASURED IN PCT POOR",TOTAL,NOT SPECIFIED,14,
SURVEY,2019,WEEK #40,10/6/2019,STATE,MICHIGAN,26,,,,,,,0,,CORN,"CORN - CONDITION, MEASURED IN PCT POOR",TOTAL,NOT SPECIFIED,16,
SURVEY,2019,WEEK #41,10/13/2019,STATE,MICHIGAN,26,,,,,,,0,,CORN,"CORN - CONDITION, MEASURED IN PCT POOR",TOTAL,NOT SPECIFIED,15,
SURVEY,2019,WEEK #42,10/20/2019,STATE,MICHIGAN,26,,,,,,,0,,CORN,"CORN - CONDITION, MEASURED IN PCT POOR",TOTAL,NOT SPECIFIED,14,
SURVEY,2019,WEEK #43,10/27/2019,STATE,MICHIGAN,26,,,,,,,0,,CORN,"CORN - CONDITION, MEASURED IN PCT POOR",TOTAL,NOT SPECIFIED,14,
SURVEY,2019,WEEK #44,11/3/2019,STATE,MICHIGAN,26,,,,,,,0,,CORN,"CORN - CONDITION, MEASURED IN PCT POOR",TOTAL,NOT SPECIFIED,14,
SURVEY,2019,WEEK #45,11/10/2019,STATE,MICHIGAN,26,,,,,,,0,,CORN,"CORN - CONDITION, MEASURED IN PCT POOR",TOTAL,NOT SPECIFIED,14,
SURVEY,2019,WEEK #46,11/17/2019,STATE,MICHIGAN,26,,,,,,,0,,CORN,"CORN - CONDITION, MEASURED IN PCT POOR",TOTAL,NOT SPECIFIED,14,
SURVEY,2019,WEEK #47,11/24/2019,STATE,MICHIGAN,26,,,,,,,0,,CORN,"CORN - CONDITION, MEASURED IN PCT POOR",TOTAL,NOT SPECIFIED,14,
SURVEY,2018,WEEK #21,5/27/2018,STATE,MICHIGAN,26,,,,,,,0,,CORN,"CORN - CONDITION, MEASURED IN PCT POOR",TOTAL,NOT SPECIFIED,2,
SURVEY,2018,WEEK #22,6/3/2018,STATE,MICHIGAN,26,,,,,,,0,,CORN,"CORN - CONDITION, MEASURED IN PCT POOR",TOTAL,NOT SPECIFIED,3,
SURVEY,2018,WEEK #23,6/10/2018,STATE,MICHIGAN,26,,,,,,,0,,CORN,"CORN - CONDITION, MEASURED IN PCT POOR",TOTAL,NOT SPECIFIED,4,
SURVEY,2018,WEEK #24,6/17/2018,STATE,MICHIGAN,26,,,,,,,0,,CORN,"CORN - CONDITION, MEASURED IN PCT POOR",TOTAL,NOT SPECIFIED,4,
SURVEY,2018,WEEK #25,6/24/2018,STATE,MICHIGAN,26,,,,,,,0,,CORN,"CORN - CONDITION, MEASURED IN PCT POOR",TOTAL,NOT SPECIFIED,3,
SURVEY,2018,WEEK #26,7/1/2018,STATE,MICHIGAN,26,,,,,,,0,,CORN,"CORN - CONDITION, MEASURED IN PCT POOR",TOTAL,NOT SPECIFIED,5,
