STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TAVG,TMAX,TMIN,TOBS
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060401,-9999,-9999,-9999,-9999,61,48,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060402,-9999,-9999,-9999,-9999,65,44,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060403,-9999,-9999,-9999,-9999,66,47,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060404,0.30,-9999,-9999,-9999,64,52,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060405,0.60,-9999,-9999,-9999,66,50,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060406,-9999,-9999,-9999,-9999,60,50,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060407,-9999,-9999,-9999,-9999,62,54,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060408,-9999,-9999,-9999,-9999,67,56,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060409,-9999,-9999,-9999,-9999,64,55,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060410,-9999,-9999,-9999,-9999,62,55,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060411,-9999,-9999,-9999,-9999,65,50,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060412,-9999,-9999,-9999,-9999,72,58,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060413,-9999,-9999,-9999,-9999,77,60,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060414,-9999,-9999,-9999,-9999,71,58,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060415,-9999,-9999,-9999,-9999,73,60,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060416,-9999,-9999,-9999,-9999,70,55,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060417,-9999,-9999,-9999,-9999,60,56,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060418,-9999,-9999,-9999,-9999,71,60,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060419,-9999,-9999,-9999,-9999,82,68,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060420,-9999,-9999,-9999,-9999,90,70,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060421,-9999,-9999,-9999,-9999,86,65,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060422,-9999,-9999,-9999,-9999,75,60,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060423,0.05,-9999,-9999,-9999,66,55,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060424,-9999,-9999,-9999,-9999,69,55,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060425,-9999,-9999,-9999,-9999,70,58,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060426,-9999,-9999,-9999,-9999,70,58,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060427,0.25,-9999,-9999,-9999,61,50,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060428,-9999,-9999,-9999,-9999,62,50,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060429,-9999,-9999,-9999,-9999,64,55,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060430,-9999,-9999,-9999,-9999,72,55,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060501,-9999,-9999,-9999,-9999,74,58,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060502,-9999,-9999,-9999,-9999,79,55,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060503,-9999,-9999,-9999,-9999,72,58,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060504,-9999,-9999,-9999,-9999,68,58,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060505,-9999,-9999,-9999,-9999,62,55,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060506,-9999,-9999,-9999,-9999,63,58,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060507,-9999,-9999,-9999,-9999,62,58,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060508,-9999,-9999,-9999,-9999,70,57,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060509,-9999,-9999,-9999,-9999,72,58,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060510,-9999,-9999,-9999,-9999,71,57,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060511,-9999,-9999,-9999,-9999,68,55,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060512,-9999,-9999,-9999,-9999,71,58,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060513,-9999,-9999,-9999,-9999,70,55,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060514,-9999,-9999,-9999,-9999,72,59,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060515,-9999,-9999,-9999,-9999,72,60,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060516,-9999,-9999,-9999,-9999,73,60,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060517,-9999,-9999,-9999,-9999,73,60,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060518,-9999,-9999,-9999,-9999,72,60,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060519,-9999,-9999,-9999,-9999,71,60,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060520,-9999,-9999,-9999,-9999,72,60,-9999
