STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,MDPR,DAPR,PRCP,SNWD,SNOW,TMAX,TMIN,TOBS
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240201,-9999,-9999,0.14,-9999,-9999,80,71,76
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240202,-9999,-9999,0,-9999,-9999,71,55,65
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240203,-9999,-9999,0,-9999,-9999,70,42,65
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240204,-9999,-9999,0,-9999,-9999,74,53,72
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240205,-9999,-9999,0,-9999,-9999,78,66,69
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240206,-9999,-9999,0,-9999,-9999,74,58,64
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240207,-9999,-9999,0,-9999,-9999,68,57,67
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240208,-9999,-9999,0,-9999,-9999,71,42,69
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240209,-9999,-9999,0,-9999,-9999,73,44,64
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240210,-9999,-9999,0,-9999,-9999,76,41,71
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240211,-9999,-9999,0,-9999,-9999,76,48,69
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240212,-9999,-9999,0,-9999,-9999,76,49,67
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240213,-9999,-9999,0,-9999,-9999,73,42,68
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240214,-9999,-9999,0,-9999,-9999,76,43,73
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240215,-9999,-9999,0,-9999,-9999,79,43,79
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240216,-9999,-9999,0,-9999,-9999,81,58,74
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240217,-9999,-9999,0,-9999,-9999,83,51,76
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240218,-9999,-9999,0.24,-9999,-9999,80,63,72
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240219,-9999,-9999,0,-9999,-9999,80,52,70
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240220,-9999,-9999,0,-9999,-9999,73,47,71
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240221,-9999,-9999,0,-9999,-9999,74,55,74
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240222,-9999,-9999,0,-9999,-9999,76,50,74
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240223,-9999,-9999,0,-9999,-9999,78,53,74
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240224,-9999,-9999,0,-9999,-9999,78,56,68
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240225,-9999,-9999,0,-9999,-9999,80,57,78
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240226,-9999,-9999,0.22,-9999,-9999,80,56,70
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240227,-9999,-9999,0,-9999,-9999,72,65,69
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240228,-9999,-9999,0,-9999,-9999,70,58,64
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240229,-9999,-9999,0,-9999,-9999,71,45,66
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240301,-9999,-9999,0,-9999,-9999,73,49,-9999
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240302,-9999,-9999,0,-9999,-9999,76,55,-9999
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240303,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240304,-9999,-9999,0,-9999,-9999,77,46,-9999
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240305,-9999,-9999,0,-9999,-9999,78,45,-9999
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240306,-9999,-9999,0,-9999,-9999,78,66,-9999
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240307,-9999,-9999,0,-9999,-9999,81,66,-9999
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240308,-9999,-9999,0,-9999,-9999,77,58,-9999
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240309,-9999,-9999,0,-9999,-9999,77,58,-9999
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240310,-9999,-9999,0,-9999,-9999,77,58,-9999
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240311,-9999,-9999,0,-9999,-9999,72,52,-9999
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240312,-9999,-9999,0,-9999,-9999,68,42,-9999
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240313,-9999,-9999,0,-9999,-9999,67,41,-9999
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240314,-9999,-9999,0.24,-9999,-9999,71,42,-9999
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240315,-9999,-9999,0,-9999,-9999,68,43,-9999
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240316,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240317,-9999,-9999,0,-9999,-9999,75,43,-9999
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240318,-9999,-9999,0,-9999,-9999,76,44,-9999
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240319,-9999,-9999,0,-9999,-9999,79,60,-9999
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240320,-9999,-9999,0.17,-9999,-9999,79,71,-9999
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240321,-9999,-9999,0,-9999,-9999,73,59,-9999
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240322,-9999,-9999,0,-9999,-9999,69,48,-9999
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240323,-9999,-9999,0,-9999,-9999,76,49,-9999
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240324,-9999,-9999,0,-9999,-9999,79,54,-9999
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240325,-9999,-9999,0,-9999,-9999,78,49,-9999
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240326,-9999,-9999,0,-9999,-9999,89,68,-9999
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240327,-9999,-9999,0,-9999,-9999,86,59,-9999
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240328,-9999,-9999,0,-9999,-9999,87,60,-9999
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240329,-9999,-9999,0,-9999,-9999,84,65,-9999
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240330,-9999,-9999,0,-9999,-9999,86,68,-9999
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240331,-9999,-9999,0,-9999,-9999,86,70,-9999
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240401,-9999,-9999,0,-9999,-9999,86,69,79
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240402,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240403,-9999,-9999,0,-9999,-9999,90,58,85
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240404,-9999,-9999,0,-9999,-9999,86,60,79
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240405,-9999,-9999,0,-9999,-9999,86,66,85
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240406,-9999,-9999,0,-9999,-9999,83,67,79
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240407,-9999,-9999,0,-9999,-9999,94,60,87
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240408,-9999,-9999,0,-9999,-9999,90,62,88
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240409,-9999,-9999,0,-9999,-9999,95,60,90
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240410,-9999,-9999,0,-9999,-9999,94,64,77
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240411,-9999,-9999,0,-9999,-9999,95,66,84
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240412,-9999,-9999,0,-9999,-9999,96,70,86
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240413,-9999,-9999,0,-9999,-9999,94,70,90
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240414,-9999,-9999,0,-9999,-9999,92,70,84
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240415,-9999,-9999,0.15,-9999,-9999,86,65,77
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240416,-9999,-9999,0,-9999,-9999,85,63,75
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240417,-9999,-9999,0,-9999,-9999,94,65,94
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240418,-9999,-9999,0,-9999,-9999,96,71,84
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240419,-9999,-9999,0,-9999,-9999,93,68,81
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240420,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240421,-9999,-9999,0.35,-9999,-9999,90,60,86
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240422,-9999,-9999,0,-9999,-9999,92,68,82
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240423,-9999,-9999,0.24,-9999,-9999,92,65,74
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240424,-9999,-9999,0,-9999,-9999,94,65,77
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240425,-9999,-9999,0,-9999,-9999,92,65,85
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240426,-9999,-9999,0,-9999,-9999,93,60,91
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240427,-9999,-9999,0,-9999,-9999,92,60,76
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240428,-9999,-9999,0,-9999,-9999,90,62,80
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240429,-9999,-9999,0,-9999,-9999,92,62,82
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240430,-9999,-9999,0,-9999,-9999,91,65,84
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240501,-9999,-9999,0,-9999,-9999,-9999,63,84
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240502,-9999,-9999,0,-9999,-9999,-9999,67,87
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240503,-9999,-9999,0,-9999,-9999,-9999,62,86
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240504,-9999,-9999,0,-9999,-9999,-9999,64,87
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240505,-9999,-9999,0.9,-9999,-9999,-9999,60,65
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240506,-9999,-9999,0,-9999,-9999,-9999,64,86
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240507,-9999,-9999,0.9,-9999,-9999,-9999,68,88
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240508,-9999,-9999,0,-9999,-9999,-9999,72,84
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240509,-9999,-9999,0,-9999,-9999,-9999,66,78
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240510,-9999,-9999,0,-9999,-9999,-9999,65,89
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240511,-9999,-9999,0,-9999,-9999,-9999,63,87
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240512,-9999,-9999,0,-9999,-9999,-9999,70,85
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240513,-9999,-9999,0,-9999,-9999,-9999,62,85
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240514,-9999,-9999,0,-9999,-9999,-9999,62,90
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240515,-9999,-9999,0,-9999,-9999,-9999,63,87
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240516,-9999,-9999,0.02,-9999,-9999,-9999,71,83
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240517,-9999,-9999,0,-9999,-9999,-9999,70,80
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240518,-9999,-9999,0.9,-9999,-9999,-9999,65,70
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240519,-9999,-9999,0,-9999,-9999,-9999,71,90
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240520,-9999,-9999,0,-9999,-9999,-9999,68,90
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240521,-9999,-9999,0,-9999,-9999,-9999,70,83
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240522,-9999,-9999,0,-9999,-9999,-9999,71,84
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240523,-9999,-9999,0,-9999,-9999,-9999,71,85
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240524,-9999,-9999,0,-9999,-9999,-9999,70,88
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240525,-9999,-9999,0,-9999,-9999,-9999,69,86
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240526,-9999,-9999,0,-9999,-9999,-9999,67,92
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240527,-9999,-9999,0,-9999,-9999,-9999,73,90
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240528,-9999,-9999,0.1,-9999,-9999,-9999,74,90
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240529,-9999,-9999,0.9,-9999,-9999,-9999,72,90
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240530,-9999,-9999,0,-9999,-9999,-9999,72,92
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240531,-9999,-9999,0,-9999,-9999,-9999,74,89
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240601,-9999,-9999,0,-9999,-9999,-9999,72,80
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240602,-9999,-9999,0,-9999,-9999,-9999,80,90
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240603,-9999,-9999,0,-9999,-9999,-9999,72,81
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240604,-9999,-9999,0,-9999,-9999,-9999,75,91
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240605,-9999,-9999,0,-9999,-9999,-9999,73,84
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240606,-9999,-9999,0.09,-9999,-9999,-9999,74,82
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240607,-9999,-9999,1.7,-9999,-9999,-9999,70,81
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240608,-9999,-9999,0.5,-9999,-9999,-9999,70,80
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240609,-9999,-9999,0.18,-9999,-9999,-9999,70,79
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240610,-9999,-9999,0,-9999,-9999,-9999,68,82
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240611,-9999,-9999,0.06,-9999,-9999,-9999,76,85
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240612,-9999,-9999,1.1,-9999,-9999,-9999,72,79
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240613,-9999,-9999,0.03,-9999,-9999,-9999,71,79
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240614,-9999,-9999,0.1,-9999,-9999,-9999,77,82
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240615,-9999,-9999,0.2,-9999,-9999,-9999,77,81
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240616,-9999,-9999,0,-9999,-9999,-9999,76,82
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240617,-9999,-9999,0,-9999,-9999,-9999,80,83
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240618,-9999,-9999,0.11,-9999,-9999,-9999,65,78
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240619,-9999,-9999,0.1,-9999,-9999,-9999,64,81
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240620,-9999,-9999,0,-9999,-9999,-9999,67,79
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240621,-9999,-9999,0,-9999,-9999,-9999,68,79
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240622,-9999,-9999,0,-9999,-9999,-9999,69,80
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240623,-9999,-9999,0.04,-9999,-9999,-9999,67,80
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240624,-9999,-9999,0.4,-9999,-9999,-9999,68,78
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240625,-9999,-9999,1.46,-9999,-9999,-9999,69,82
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240626,-9999,-9999,1,-9999,-9999,-9999,65,77
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240627,-9999,-9999,0.01,-9999,-9999,-9999,63,76
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240628,-9999,-9999,0.01,-9999,-9999,-9999,70,78
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240629,-9999,-9999,0.01,-9999,-9999,-9999,66,77
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19240630,-9999,-9999,0.04,-9999,-9999,-9999,68,78
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19261101,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19261102,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19261103,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19261104,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19261105,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19261106,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19261107,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19261108,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999
GHCND:USC00082850,EVERGLADES FL US,unknown,unknown,unknown,19261109,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999
GHCND:USC00082850,EVERGLADES FL US,1.8,25.85,-81.383333,19261110,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999
GHCND:USC00082850,EVERGLADES FL US,1.8,25.85,-81.383333,19261111,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999
GHCND:USC00082850,EVERGLADES FL US,1.8,25.85,-81.383333,19261112,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999
