STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN
GHCND:USC00046263,NORTHRIDGE CAL STATE CA US,20100101,0.00,0.0,0.0,72,48
GHCND:USC00046263,NORTHRIDGE CAL STATE CA US,20100102,0.00,0.0,0.0,74,54
GHCND:USC00046263,NORTHRIDGE CAL STATE CA US,20100103,0.00,0.0,0.0,76,50
GHCND:USC00046263,NORTHRIDGE CAL STATE CA US,20100104,0.00,0.0,0.0,71,48
GHCND:USC00046263,NORTHRIDGE CAL STATE CA US,20100105,0.00,0.0,0.0,77,48
GHCND:USC00046263,NORTHRIDGE CAL STATE CA US,20100106,0.00,0.0,0.0,78,50
GHCND:USC00046263,NORTHRIDGE CAL STATE CA US,20100107,0.00,0.0,0.0,80,45
GHCND:USC00046263,NORTHRIDGE CAL STATE CA US,20100108,0.00,0.0,0.0,75,52
GHCND:USC00046263,NORTHRIDGE CAL STATE CA US,20100109,0.00,0.0,0.0,72,53
GHCND:USC00046263,NORTHRIDGE CAL STATE CA US,20100110,0.00,0.0,0.0,79,51
GHCND:USC00046263,NORTHRIDGE CAL STATE CA US,20100111,0.00,0.0,0.0,79,55
GHCND:USC00046263,NORTHRIDGE CAL STATE CA US,20100112,0.00,0.0,0.0,74,51
GHCND:USC00046263,NORTHRIDGE CAL STATE CA US,20100113,0.13,0.0,0.0,63,50
GHCND:USC00046263,NORTHRIDGE CAL STATE CA US,20100114,0.00,0.0,0.0,70,52
GHCND:USC00046263,NORTHRIDGE CAL STATE CA US,20100115,0.00,0.0,0.0,73,54
GHCND:USC00046263,NORTHRIDGE CAL STATE CA US,20100116,0.00,0.0,0.0,68,50
GHCND:USC00046263,NORTHRIDGE CAL STATE CA US,20100117,0.53,0.0,0.0,60,47
GHCND:USC00046263,NORTHRIDGE CAL STATE CA US,20100118,1.50,0.0,0.0,59,49
GHCND:USC00046263,NORTHRIDGE CAL STATE CA US,20100119,0.69,0.0,0.0,53,46
GHCND:USC00046263,NORTHRIDGE CAL STATE CA US,20100120,2.00,0.0,0.0,51,47
GHCND:USC00046263,NORTHRIDGE CAL STATE CA US,20100121,0.85,0.0,0.0,53,45
GHCND:USC00046263,NORTHRIDGE CAL STATE CA US,20100122,0.30,0.0,0.0,48,42
GHCND:USC00046263,NORTHRIDGE CAL STATE CA US,20100123,0.01,0.0,0.0,58,35
GHCND:USC00046263,NORTHRIDGE CAL STATE CA US,20100124,0.00,0.0,0.0,63,36
GHCND:USC00046263,NORTHRIDGE CAL STATE CA US,20100125,0.00,0.0,0.0,63,40
GHCND:USC00046263,NORTHRIDGE CAL STATE CA US,20100126,0.03,0.0,0.0,57,42
GHCND:USC00046263,NORTHRIDGE CAL STATE CA US,20100127,0.01,0.0,0.0,66,51
GHCND:USC00046263,NORTHRIDGE CAL STATE CA US,20100128,0.00,0.0,0.0,68,50
GHCND:USC00046263,NORTHRIDGE CAL STATE CA US,20100129,0.00,0.0,0.0,67,43
GHCND:USC00046263,NORTHRIDGE CAL STATE CA US,20100130,0.00,0.0,0.0,66,41
GHCND:USC00046263,NORTHRIDGE CAL STATE CA US,20100131,0.00,0.0,0.0,67,41
GHCND:USC00046263,NORTHRIDGE CAL STATE CA US,20100201,0.00,0.0,0.0,67,42
GHCND:USC00046263,NORTHRIDGE CAL STATE CA US,20100202,0.00,0.0,0.0,66,46
GHCND:USC00046263,NORTHRIDGE CAL STATE CA US,20100203,0.00,0.0,0.0,71,44
GHCND:USC00046263,NORTHRIDGE CAL STATE CA US,20100204,0.00,0.0,0.0,63,52
GHCND:USC00046263,NORTHRIDGE CAL STATE CA US,20100205,0.57,0.0,0.0,53,50
GHCND:USC00046263,NORTHRIDGE CAL STATE CA US,20100206,1.13,0.0,0.0,57,47
GHCND:USC00046263,NORTHRIDGE CAL STATE CA US,20100207,0.00,0.0,0.0,62,40
GHCND:USC00046263,NORTHRIDGE CAL STATE CA US,20100208,0.00,0.0,0.0,63,40
GHCND:USC00046263,NORTHRIDGE CAL STATE CA US,20100209,0.20,0.0,0.0,54,41
GHCND:USC00046263,NORTHRIDGE CAL STATE CA US,20100210,0.00,0.0,0.0,65,40
GHCND:USC00046263,NORTHRIDGE CAL STATE CA US,20100211,0.00,0.0,0.0,64,42
GHCND:USC00046263,NORTHRIDGE CAL STATE CA US,20100212,0.00,0.0,0.0,72,43
GHCND:USC00046263,NORTHRIDGE CAL STATE CA US,20100213,0.00,0.0,0.0,78,47
GHCND:USC00046263,NORTHRIDGE CAL STATE CA US,20100214,0.00,0.0,0.0,80,53
GHCND:USC00046263,NORTHRIDGE CAL STATE CA US,20100215,0.00,0.0,0.0,80,54
GHCND:USC00046263,NORTHRIDGE CAL STATE CA US,20100216,0.00,0.0,0.0,82,51
GHCND:USC00046263,NORTHRIDGE CAL STATE CA US,20100217,0.00,0.0,0.0,79,50
GHCND:USC00046263,NORTHRIDGE CAL STATE CA US,20100218,0.00,0.0,0.0,71,48
GHCND:USC00046263,NORTHRIDGE CAL STATE CA US,20100219,0.23,0.0,0.0,60,49
GHCND:USC00046263,NORTHRIDGE CAL STATE CA US,20100220,0.03,0.0,0.0,61,47
GHCND:USC00046263,NORTHRIDGE CAL STATE CA US,20100221,0.00,0.0,0.0,61,48
GHCND:USC00046263,NORTHRIDGE CAL STATE CA US,20100222,0.00,0.0,0.0,65,47
GHCND:USC00046263,NORTHRIDGE CAL STATE CA US,20100223,0.00,0.0,0.0,66,44
GHCND:USC00046263,NORTHRIDGE CAL STATE CA US,20100224,0.03,0.0,0.0,59,49
GHCND:USC00046263,NORTHRIDGE CAL STATE CA US,20100225,0.01,0.0,0.0,74,49
GHCND:USC00046263,NORTHRIDGE CAL STATE CA US,20100226,0.00,0.0,0.0,72,50
GHCND:USC00046263,NORTHRIDGE CAL STATE CA US,20100227,1.23,0.0,0.0,59,45
GHCND:USC00046263,NORTHRIDGE CAL STATE CA US,20100228,0.01,0.0,0.0,68,45
GHCND:USC00046263,NORTHRIDGE CAL STATE CA US,20100301,0.00,-9999,-9999,72,46
GHCND:USC00046263,NORTHRIDGE CAL STATE CA US,20100302,0.00,-9999,-9999,63,52
GHCND:USC00046263,NORTHRIDGE CAL STATE CA US,20100303,0.00,-9999,-9999,63,51
GHCND:USC00046263,NORTHRIDGE CAL STATE CA US,20100304,0.09,-9999,-9999,64,44
GHCND:USC00046263,NORTHRIDGE CAL STATE CA US,20100305,0.00,-9999,-9999,67,41
