STATION,NAME,DATE,PRCP,SNOW,TMAX,TMIN
USC00450008,"ABERDEEN, WA US",1891-07-01,,,26.1,8.3
USC00450008,"ABERDEEN, WA US",1891-07-02,,,28.9,11.1
USC00450008,"ABERDEEN, WA US",1891-07-03,,,20.6,12.2
USC00450008,"ABERDEEN, WA US",1891-07-04,26.9,,22.8,8.3
USC00450008,"ABERDEEN, WA US",1891-07-05,,,23.9,6.7
USC00450008,"ABERDEEN, WA US",1891-07-06,,,29.4,7.8
USC00450008,"ABERDEEN, WA US",1891-07-07,,,23.3,7.8
USC00450008,"ABERDEEN, WA US",1891-07-08,,,26.7,6.1
USC00450008,"ABERDEEN, WA US",1891-07-09,1.3,,27.2,11.7
USC00450008,"ABERDEEN, WA US",1891-07-10,,,24.4,12.2
USC00450008,"ABERDEEN, WA US",1891-07-11,,,17.2,12.2
USC00450008,"ABERDEEN, WA US",1891-07-12,,,26.1,8.3
USC00450008,"ABERDEEN, WA US",1891-07-13,,,25.6,11.7
USC00450008,"ABERDEEN, WA US",1891-07-14,,,26.1,13.3
USC00450008,"ABERDEEN, WA US",1891-07-15,,,26.1,13.3
USC00450008,"ABERDEEN, WA US",1891-07-16,,,23.3,13.3
USC00450008,"ABERDEEN, WA US",1891-07-17,2.5,,25.6,13.9
USC00450008,"ABERDEEN, WA US",1891-07-18,,,27.8,10.6
USC00450008,"ABERDEEN, WA US",1891-07-19,,,26.1,10
USC00450008,"ABERDEEN, WA US",1891-07-20,,,28.3,8.9
USC00450008,"ABERDEEN, WA US",1891-07-21,,,31.7,11.7
USC00450008,"ABERDEEN, WA US",1891-07-22,,,36.1,15
USC00450008,"ABERDEEN, WA US",1891-07-23,,,40.6,16.7
USC00450008,"ABERDEEN, WA US",1891-07-24,,,23.9,15
USC00450008,"ABERDEEN, WA US",1891-07-25,,,21.7,13.3
USC00450008,"ABERDEEN, WA US",1891-07-26,,,24.4,10
USC00450008,"ABERDEEN, WA US",1891-07-27,,,22.2,13.9
USC00450008,"ABERDEEN, WA US",1891-07-28,,,18.3,12.8
USC00450008,"ABERDEEN, WA US",1891-07-29,,,20.6,13.9
USC00450008,"ABERDEEN, WA US",1891-07-30,,,21.7,10
USC00450008,"ABERDEEN, WA US",1891-07-31,,,27.8,10
USC00450008,"ABERDEEN, WA US",1891-10-01,0.5,,17.2,6.1
USC00450008,"ABERDEEN, WA US",1891-10-02,3.6,,29.4,11.7
USC00450008,"ABERDEEN, WA US",1891-10-03,0,,21.1,10.6
USC00450008,"ABERDEEN, WA US",1891-10-04,0,,22.8,8.9
USC00450008,"ABERDEEN, WA US",1891-10-05,0,,23.3,9.4
USC00450008,"ABERDEEN, WA US",1891-10-06,0,,23.9,10.6
USC00450008,"ABERDEEN, WA US",1891-10-07,0,,25.6,10.6
USC00450008,"ABERDEEN, WA US",1891-10-08,0,,15.6,11.7
USC00450008,"ABERDEEN, WA US",1891-10-09,6.6,,16.1,8.9
USC00450008,"ABERDEEN, WA US",1891-10-10,8.6,,15.6,7.8
USC00450008,"ABERDEEN, WA US",1891-10-11,0.5,,19.4,6.7
USC00450008,"ABERDEEN, WA US",1891-10-12,0,,18.9,6.1
USC00450008,"ABERDEEN, WA US",1891-10-13,4.3,,20,10
USC00450008,"ABERDEEN, WA US",1891-10-14,33.3,,16.7,9.4
USC00450008,"ABERDEEN, WA US",1891-10-15,3.6,,16.1,5
USC00450008,"ABERDEEN, WA US",1891-10-16,0,,17.8,10
USC00450008,"ABERDEEN, WA US",1891-10-17,0,,20.6,10
USC00450008,"ABERDEEN, WA US",1891-10-18,1,,20.6,11.7
USC00450008,"ABERDEEN, WA US",1891-10-19,0,,18.3,8.9
USC00450008,"ABERDEEN, WA US",1891-10-20,0,,21.1,10.6
USC00450008,"ABERDEEN, WA US",1891-10-21,5.3,,15,11.7
USC00450008,"ABERDEEN, WA US",1891-10-22,19.8,,20.6,12.8
USC00450008,"ABERDEEN, WA US",1891-10-23,17.5,,16.1,12.2
USC00450008,"ABERDEEN, WA US",1891-10-24,0.5,,16.1,10.6
USC00450008,"ABERDEEN, WA US",1891-10-25,10.2,,13.9,11.7
USC00450008,"ABERDEEN, WA US",1891-10-26,6.9,,14.4,10.6
USC00450008,"ABERDEEN, WA US",1891-10-27,11.9,,17.2,10.6
USC00450008,"ABERDEEN, WA US",1891-10-28,19.8,,13.9,8.3
USC00450008,"ABERDEEN, WA US",1891-10-29,8.4,,15,8.9
USC00450008,"ABERDEEN, WA US",1891-10-30,0.3,,13.3,7.8
