STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,9/17/2011,10.7,",,N",,,,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,9/18/2011,4.8,",,N",,,,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,9/19/2011,0,",,N",0,",,N",,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,9/20/2011,0,",,N",0,",,N",,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,9/21/2011,0,",,N",0,",,N",,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,9/22/2011,0,",,N",0,",,N",,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,9/23/2011,0,",,N",0,",,N",,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,9/24/2011,0,",,N",0,",,N",,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,9/25/2011,3.6,",,N",,,,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,9/26/2011,17.5,",,N",,,,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,9/27/2011,15,",,N",,,,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,9/28/2011,0,",,N",0,",,N",,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,9/29/2011,0,",,N",0,",,N",,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,9/30/2011,0,",,N",0,",,N",,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,10/1/2011,0.8,",,N",,,,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,10/2/2011,0,",,N",0,",,N",,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,10/3/2011,6.9,",,N",,,,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,10/4/2011,7.9,",,N",,,,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,10/5/2011,9.1,",,N",,,,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,10/6/2011,8.6,",,N",,,,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,10/7/2011,1.5,",,N",,,,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,10/8/2011,0.8,",,N",,,,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,10/9/2011,2.5,",,N",,,,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,10/10/2011,2.8,",,N",,,,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,10/11/2011,26.4,",,N",,,,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,10/13/2011,2.5,",,N",,,,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,10/14/2011,0,",,N",0,",,N",,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,10/15/2011,0,",,N",0,",,N",,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,10/16/2011,0,",,N",0,",,N",,,,,,,,
