STATION,STATION_NAME,DATE,PRCP,TAVG,TMAX,TMIN
GHCND:TH000048456,DON MUANG TH,19430101,-9999,27.6,33.9,-9999
GHCND:TH000048456,DON MUANG TH,19430102,-9999,26.8,31.7,21.7
GHCND:TH000048456,DON MUANG TH,19430103,-9999,27.2,32.8,21.1
GHCND:TH000048456,DON MUANG TH,19430104,-9999,27.3,33.3,21.1
GHCND:TH000048456,DON MUANG TH,19430105,-9999,27.8,32.2,21.1
GHCND:TH000048456,DON MUANG TH,19430106,-9999,27.1,32.8,21.1
GHCND:TH000048456,DON MUANG TH,19430107,-9999,27.3,32.8,20.6
GHCND:TH000048456,DON MUANG TH,19430108,-9999,26.8,32.8,20.6
GHCND:TH000048456,DON MUANG TH,19430109,-9999,25.2,31.1,18.9
GHCND:TH000048456,DON MUANG TH,19430110,-9999,25.7,31.1,18.3
GHCND:TH000048456,DON MUANG TH,19430111,-9999,25.3,31.1,18.9
GHCND:TH000048456,DON MUANG TH,19430112,-9999,21.7,28.3,16.1
GHCND:TH000048456,DON MUANG TH,19430113,-9999,21.7,28.3,14.4
GHCND:TH000048456,DON MUANG TH,19430114,-9999,24.1,30.6,14.4
GHCND:TH000048456,DON MUANG TH,19430115,-9999,24.6,31.7,16.1
GHCND:TH000048456,DON MUANG TH,19430116,-9999,24.6,31.7,16.7
GHCND:TH000048456,DON MUANG TH,19430117,-9999,24.9,31.7,16.7
GHCND:TH000048456,DON MUANG TH,19430118,-9999,24.3,30.6,17.8
GHCND:TH000048456,DON MUANG TH,19430119,-9999,25.6,31.1,17.8
GHCND:TH000048456,DON MUANG TH,19430120,-9999,25.7,32.8,17.2
GHCND:TH000048456,DON MUANG TH,19430121,-9999,25.8,32.8,17.8
GHCND:TH000048456,DON MUANG TH,19430122,-9999,25.2,32.2,17.8
GHCND:TH000048456,DON MUANG TH,19430123,-9999,23.6,31.1,-9999
GHCND:TH000048456,DON MUANG TH,19430124,-9999,25.2,32.8,16.1
