"","ID","YEAR","MONTH","ELEMENT","Day","Temperature","DECADE","Date"
"1","AGM00060515",1984,3,"TMAX",NA,NA,1980,NA
"2","AGM00060515",1984,4,"TMAX",NA,19,1980,NA
"3","AGM00060515",1984,5,"TMAX",NA,NA,1980,NA
"4","AGM00060515",1984,6,"TMAX",NA,NA,1980,NA
"5","AGM00060515",1984,7,"TMAX",NA,43,1980,NA
"6","AGM00060515",1984,8,"TMAX",NA,NA,1980,NA
"7","AGM00060515",1984,9,"TMAX",NA,NA,1980,NA
"8","AGM00060515",1984,10,"TMAX",NA,27.4,1980,NA
"9","AGM00060515",1984,11,"TMAX",NA,NA,1980,NA
"10","AGM00060515",1985,2,"TMAX",NA,NA,1980,NA
"11","AGM00060515",1985,3,"TMAX",NA,NA,1980,NA
"12","AGM00060515",1985,4,"TMAX",NA,NA,1980,NA
"13","AGM00060515",1985,5,"TMAX",NA,NA,1980,NA
"14","AGM00060515",1985,6,"TMAX",NA,NA,1980,NA
"15","AGM00060515",1985,7,"TMAX",NA,NA,1980,NA
"16","AGM00060515",1985,8,"TMAX",NA,43.4,1980,NA
"17","AGM00060515",1985,9,"TMAX",NA,NA,1980,NA
"18","AGM00060515",1985,10,"TMAX",NA,NA,1980,NA
"19","AGM00060515",1985,11,"TMAX",NA,NA,1980,NA
"20","AGM00060515",1985,12,"TMAX",NA,NA,1980,NA
"21","AGM00060515",1986,1,"TMAX",NA,NA,1990,NA
"22","AGM00060515",1986,2,"TMAX",NA,NA,1990,NA
"23","AGM00060515",1986,3,"TMAX",NA,NA,1990,NA
"24","AGM00060515",1986,4,"TMAX",NA,NA,1990,NA
"25","AGM00060515",1986,5,"TMAX",NA,NA,1990,NA
"26","AGM00060515",1986,6,"TMAX",NA,27.8,1990,NA
"27","AGM00060515",1986,7,"TMAX",NA,NA,1990,NA
"28","AGM00060515",1986,8,"TMAX",NA,NA,1990,NA
"29","AGM00060515",1986,10,"TMAX",NA,NA,1990,NA
"30","AGM00060515",1986,11,"TMAX",NA,NA,1990,NA
"31","AGM00060515",1986,12,"TMAX",NA,12.6,1990,NA
"32","AGM00060515",1987,1,"TMAX",NA,NA,1990,NA
"33","AGM00060515",1987,2,"TMAX",NA,NA,1990,NA
"34","AGM00060515",1987,3,"TMAX",NA,20.6,1990,NA
"35","AGM00060515",1987,4,"TMAX",NA,NA,1990,NA
"36","AGM00060515",1987,5,"TMAX",NA,NA,1990,NA
"37","AGM00060515",1987,6,"TMAX",NA,NA,1990,NA
"38","AGM00060515",1987,7,"TMAX",NA,34.4,1990,NA
"39","AGM00060515",1987,9,"TMAX",NA,NA,1990,NA
"40","AGM00060515",1987,10,"TMAX",NA,NA,1990,NA
"41","AGM00060515",1987,11,"TMAX",NA,NA,1990,NA
"42","AGM00060515",1987,12,"TMAX",NA,13.2,1990,NA
"43","AGM00060515",1988,1,"TMAX",NA,12.9,1990,NA
"44","AGM00060515",1988,2,"TMAX",NA,NA,1990,NA
"45","AGM00060515",1988,3,"TMAX",NA,15.2,1990,NA
"46","AGM00060515",1988,4,"TMAX",NA,21.1,1990,NA
"47","AGM00060515",1988,5,"TMAX",NA,NA,1990,NA
