STATION,STATION_NAME,DATE,MDPR,MDSF,DAPR,DASF,PRCP,SNWD,SNOW,TMAX,TMIN,TOBS
GHCND:USC00052557,EDGEWATER CO US,19080601,-9999,-9999,-9999,-9999,0.00,-9999,0.0,68,42,59
GHCND:USC00052557,EDGEWATER CO US,19080602,-9999,-9999,-9999,-9999,0.00,-9999,0.0,75,43,65
GHCND:USC00052557,EDGEWATER CO US,19080603,-9999,-9999,-9999,-9999,0.00,-9999,0.0,83,41,72
GHCND:USC00052557,EDGEWATER CO US,19080604,-9999,-9999,-9999,-9999,0.00,-9999,0.0,74,46,64
GHCND:USC00052557,EDGEWATER CO US,19080605,-9999,-9999,-9999,-9999,0.00,-9999,0.0,82,42,66
GHCND:USC00052557,EDGEWATER CO US,19080606,-9999,-9999,-9999,-9999,0.00,-9999,0.0,77,44,60
GHCND:USC00052557,EDGEWATER CO US,19080607,-9999,-9999,-9999,-9999,0.00,-9999,0.0,70,40,62
GHCND:USC00052557,EDGEWATER CO US,19080608,-9999,-9999,-9999,-9999,0.00,-9999,0.0,78,38,75
GHCND:USC00052557,EDGEWATER CO US,19080609,-9999,-9999,-9999,-9999,0.00,-9999,0.0,80,42,66
GHCND:USC00052557,EDGEWATER CO US,19080610,-9999,-9999,-9999,-9999,0.00,-9999,0.0,83,43,70
GHCND:USC00052557,EDGEWATER CO US,19080611,-9999,-9999,-9999,-9999,0.00,-9999,0.0,89,46,83
GHCND:USC00052557,EDGEWATER CO US,19080612,-9999,-9999,-9999,-9999,0.03,-9999,0.0,83,48,66
GHCND:USC00052557,EDGEWATER CO US,19080613,-9999,-9999,-9999,-9999,0.00,-9999,0.0,73,47,64
GHCND:USC00052557,EDGEWATER CO US,19080614,-9999,-9999,-9999,-9999,0.02,-9999,0.0,80,47,64
GHCND:USC00052557,EDGEWATER CO US,19080615,-9999,-9999,-9999,-9999,0.80,-9999,0.0,72,48,57
GHCND:USC00052557,EDGEWATER CO US,19080616,-9999,-9999,-9999,-9999,0.00,-9999,0.0,80,46,69
GHCND:USC00052557,EDGEWATER CO US,19080617,-9999,-9999,-9999,-9999,0.00,-9999,0.0,71,48,58
GHCND:USC00052557,EDGEWATER CO US,19080618,-9999,-9999,-9999,-9999,0.00,-9999,0.0,72,44,59
