Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
SURVEY,2019,YEAR,,STATE,MICHIGAN,26,,,,,,,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"959,560,000",
SURVEY,2018,YEAR,,STATE,MICHIGAN,26,,,,,,,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"1,075,712,000",
SURVEY,2017,YEAR,,STATE,MICHIGAN,26,,,,,,,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"1,039,765,000",
SURVEY,2016,YEAR,,STATE,MICHIGAN,26,,,,,,,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"1,101,763,000",
SURVEY,2015,YEAR,,STATE,MICHIGAN,26,,,,,,,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"1,217,284,000",
SURVEY,2014,YEAR,,STATE,MICHIGAN,26,,,,,,,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"1,298,707,000",
SURVEY,2013,YEAR,,STATE,MICHIGAN,26,,,,,,,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"1,444,817,000",
SURVEY,2012,YEAR,,STATE,MICHIGAN,26,,,,,,,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"2,101,730,000",
SURVEY,2011,YEAR,,STATE,MICHIGAN,26,,,,,,,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"2,057,330,000",
SURVEY,2010,YEAR,,STATE,MICHIGAN,26,,,,,,,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"1,739,724,000",
SURVEY,2009,YEAR,,STATE,MICHIGAN,26,,,,,,,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"1,091,900,000",
SURVEY,2008,YEAR,,STATE,MICHIGAN,26,,,,,,,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"1,134,029,000",
SURVEY,2007,YEAR,,STATE,MICHIGAN,26,,,,,,,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"1,257,773,000",
SURVEY,2006,YEAR,,STATE,MICHIGAN,26,,,,,,,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"888,615,000",
SURVEY,2005,YEAR,,STATE,MICHIGAN,26,,,,,,,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"540,368,000",
SURVEY,2004,YEAR,,STATE,MICHIGAN,26,,,,,,,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"506,842,000",
SURVEY,2003,YEAR,,STATE,MICHIGAN,26,,,,,,,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"615,821,000",
SURVEY,2002,YEAR,,STATE,MICHIGAN,26,,,,,,,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"547,560,000",
SURVEY,2001,YEAR,,STATE,MICHIGAN,26,,,,,,,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"393,015,000",
SURVEY,2000,YEAR,,STATE,MICHIGAN,26,,,,,,,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"459,420,000",
SURVEY,1999,YEAR,,STATE,MICHIGAN,26,,,,,,,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"451,230,000",
SURVEY,1998,YEAR,,STATE,MICHIGAN,26,,,,,,,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"432,345,000",
SURVEY,1997,YEAR,,STATE,MICHIGAN,26,,,,,,,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"612,144,000",
SURVEY,1996,YEAR,,STATE,MICHIGAN,26,,,,,,,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"562,590,000",
SURVEY,1995,YEAR,,STATE,MICHIGAN,26,,,,,,,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"798,560,000",
SURVEY,1994,YEAR,,STATE,MICHIGAN,26,,,,,,,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"568,784,000",
SURVEY,1993,YEAR,,STATE,MICHIGAN,26,,,,,,,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"554,730,000",
SURVEY,1992,YEAR,,STATE,MICHIGAN,26,,,,,,,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"470,925,000",
SURVEY,1991,YEAR,,STATE,MICHIGAN,26,,,,,,,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"592,020,000",
SURVEY,1990,YEAR,,STATE,MICHIGAN,26,,,,,,,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"526,091,000",
SURVEY,1989,YEAR,,STATE,MICHIGAN,26,,,,,,,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"507,551,000",
SURVEY,1988,YEAR,,STATE,MICHIGAN,26,,,,,,,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"283,360,000",
SURVEY,1987,YEAR,,STATE,MICHIGAN,26,,,,,,,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"378,358,000",
SURVEY,1986,YEAR,,STATE,MICHIGAN,26,,,,,,,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"367,868,000",
SURVEY,1985,YEAR,,STATE,MICHIGAN,26,,,,,,,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"613,431,000",
SURVEY,1984,YEAR,,STATE,MICHIGAN,26,,,,,,,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"563,405,000",
SURVEY,1983,YEAR,,STATE,MICHIGAN,26,,,,,,,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"529,920,000",
SURVEY,1982,YEAR,,STATE,MICHIGAN,26,,,,,,,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"727,086,000",
SURVEY,1981,YEAR,,STATE,MICHIGAN,26,,,,,,,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"642,432,000",
