STATION,STATION_NAME,DATE,TMAX,TMIN
GHCND:USC00444128,HOT SPRINGS VA US,18930101,8.3,-1.7
GHCND:USC00444128,HOT SPRINGS VA US,18930102,6.1,-2.8
GHCND:USC00444128,HOT SPRINGS VA US,18930103,-1.7,-11.1
GHCND:USC00444128,HOT SPRINGS VA US,18930104,-7.2,-13.3
GHCND:USC00444128,HOT SPRINGS VA US,18930105,-3.9,-11.7
GHCND:USC00444128,HOT SPRINGS VA US,18930106,-4.4,-16.1
GHCND:USC00444128,HOT SPRINGS VA US,18930107,-3.3,-15.6
GHCND:USC00444128,HOT SPRINGS VA US,18930108,2.2,-13.9
GHCND:USC00444128,HOT SPRINGS VA US,18930109,-2.8,-15
GHCND:USC00444128,HOT SPRINGS VA US,18930110,-5,-18.9
GHCND:USC00444128,HOT SPRINGS VA US,18930111,-5,-22.2
GHCND:USC00444128,HOT SPRINGS VA US,18930112,-4.4,-12.2
GHCND:USC00444128,HOT SPRINGS VA US,18930113,-10,-12.2
GHCND:USC00444128,HOT SPRINGS VA US,18930114,-9.4,-21.1
GHCND:USC00444128,HOT SPRINGS VA US,18930115,-6.1,-16.1
GHCND:USC00444128,HOT SPRINGS VA US,18930116,-8.9,-22.8
GHCND:USC00444128,HOT SPRINGS VA US,18930117,-3.9,-23.9
GHCND:USC00444128,HOT SPRINGS VA US,18930118,-8.3,-21.1
GHCND:USC00444128,HOT SPRINGS VA US,18930119,2.2,-11.7
GHCND:USC00444128,HOT SPRINGS VA US,18930120,2.2,-22.2
GHCND:USC00444128,HOT SPRINGS VA US,18930121,-3.3,-18.3
GHCND:USC00444128,HOT SPRINGS VA US,18930122,2.8,-7.2
GHCND:USC00444128,HOT SPRINGS VA US,18930123,8.3,-7.2
GHCND:USC00444128,HOT SPRINGS VA US,18930124,7.8,-5
GHCND:USC00444128,HOT SPRINGS VA US,18930125,17.2,-5
GHCND:USC00444128,HOT SPRINGS VA US,18930126,13.9,-6.1
GHCND:USC00444128,HOT SPRINGS VA US,18930127,15.6,-2.2
GHCND:USC00444128,HOT SPRINGS VA US,18930128,11.1,-2.2
GHCND:USC00444128,HOT SPRINGS VA US,18930129,13.9,4.4
GHCND:USC00444128,HOT SPRINGS VA US,18930130,5,-5
GHCND:USC00444128,HOT SPRINGS VA US,18930131,8.3,-0.6
GHCND:USC00444128,HOT SPRINGS VA US,18930201,16.7,2.8
GHCND:USC00444128,HOT SPRINGS VA US,18930202,14.4,3.9
GHCND:USC00444128,HOT SPRINGS VA US,18930203,14.4,0
GHCND:USC00444128,HOT SPRINGS VA US,18930204,6.7,-6.7
GHCND:USC00444128,HOT SPRINGS VA US,18930205,6.7,-7.8
GHCND:USC00444128,HOT SPRINGS VA US,18930206,5.6,-5
GHCND:USC00444128,HOT SPRINGS VA US,18930207,11.1,-2.8
GHCND:USC00444128,HOT SPRINGS VA US,18930208,2.8,-10.6
GHCND:USC00444128,HOT SPRINGS VA US,18930209,1.7,-7.2
GHCND:USC00444128,HOT SPRINGS VA US,18930210,11.7,0.6
GHCND:USC00444128,HOT SPRINGS VA US,18930211,8.3,-1.7
GHCND:USC00444128,HOT SPRINGS VA US,18930212,-0.6,-3.3
GHCND:USC00444128,HOT SPRINGS VA US,18930213,3.9,-2.8
GHCND:USC00444128,HOT SPRINGS VA US,18930214,11.7,-0.6
GHCND:USC00444128,HOT SPRINGS VA US,18930215,12.8,0.6
GHCND:USC00444128,HOT SPRINGS VA US,18930216,12.8,5
GHCND:USC00444128,HOT SPRINGS VA US,18930217,7.8,-5
GHCND:USC00444128,HOT SPRINGS VA US,18930218,-0.6,-5
GHCND:USC00444128,HOT SPRINGS VA US,18930219,5,-6.1
GHCND:USC00444128,HOT SPRINGS VA US,18930220,4.4,-6.7
GHCND:USC00444128,HOT SPRINGS VA US,18930221,-1.1,-9.4
GHCND:USC00444128,HOT SPRINGS VA US,18930222,0.6,-6.1
GHCND:USC00444128,HOT SPRINGS VA US,18930223,9.4,-11.7
GHCND:USC00444128,HOT SPRINGS VA US,18930224,6.1,-2.2
GHCND:USC00444128,HOT SPRINGS VA US,18930225,8.9,-2.8
GHCND:USC00444128,HOT SPRINGS VA US,18930226,8.3,-5.6
GHCND:USC00444128,HOT SPRINGS VA US,18930227,3.9,-3.3
GHCND:USC00444128,HOT SPRINGS VA US,18930228,9.4,0
GHCND:USC00444128,HOT SPRINGS VA US,18930301,8.9,-3.9
GHCND:USC00444128,HOT SPRINGS VA US,18930302,13.3,-2.2
GHCND:USC00444128,HOT SPRINGS VA US,18930303,13.9,-2.8
GHCND:USC00444128,HOT SPRINGS VA US,18930304,13.3,-10
GHCND:USC00444128,HOT SPRINGS VA US,18930305,13.9,-10.6
GHCND:USC00444128,HOT SPRINGS VA US,18930306,6.7,-8.9
GHCND:USC00444128,HOT SPRINGS VA US,18930307,6.7,-3.9
GHCND:USC00444128,HOT SPRINGS VA US,18930308,11.7,-0.6
GHCND:USC00444128,HOT SPRINGS VA US,18930309,11.7,2.8
GHCND:USC00444128,HOT SPRINGS VA US,18930310,13.3,5
GHCND:USC00444128,HOT SPRINGS VA US,18930311,8.9,1.1
GHCND:USC00444128,HOT SPRINGS VA US,18930312,8.9,0.6
GHCND:USC00444128,HOT SPRINGS VA US,18930313,16.1,-4.4
GHCND:USC00444128,HOT SPRINGS VA US,18930314,13.9,0.6
GHCND:USC00444128,HOT SPRINGS VA US,18930315,5.6,-3.3
GHCND:USC00444128,HOT SPRINGS VA US,18930316,5.6,-8.9
GHCND:USC00444128,HOT SPRINGS VA US,18930317,2.2,-6.1
GHCND:USC00444128,HOT SPRINGS VA US,18930318,1.7,-4.4
GHCND:USC00444128,HOT SPRINGS VA US,18930319,5.6,-12.8
GHCND:USC00444128,HOT SPRINGS VA US,18930320,12.2,-4.4
GHCND:USC00444128,HOT SPRINGS VA US,18930321,10,3.9
GHCND:USC00444128,HOT SPRINGS VA US,18930322,20.6,3.9
GHCND:USC00444128,HOT SPRINGS VA US,18930323,16.7,6.7
GHCND:USC00444128,HOT SPRINGS VA US,18930324,20,8.3
GHCND:USC00444128,HOT SPRINGS VA US,18930325,17.2,3.9
GHCND:USC00444128,HOT SPRINGS VA US,18930326,15,-2.2
GHCND:USC00444128,HOT SPRINGS VA US,18930327,7.8,1.1
GHCND:USC00444128,HOT SPRINGS VA US,18930328,7.8,-1.1
GHCND:USC00444128,HOT SPRINGS VA US,18930329,11.1,-3.3
GHCND:USC00444128,HOT SPRINGS VA US,18930330,16.7,-5
GHCND:USC00444128,HOT SPRINGS VA US,18930331,21.7,1.7
GHCND:USC00444128,HOT SPRINGS VA US,18930401,20.6,10
GHCND:USC00444128,HOT SPRINGS VA US,18930402,17.2,5
GHCND:USC00444128,HOT SPRINGS VA US,18930403,20.6,2.2
GHCND:USC00444128,HOT SPRINGS VA US,18930404,21.1,5
GHCND:USC00444128,HOT SPRINGS VA US,18930405,18.3,NA
GHCND:USC00444128,HOT SPRINGS VA US,18930406,22.2,NA
GHCND:USC00444128,HOT SPRINGS VA US,18930407,16.1,3.3
GHCND:USC00444128,HOT SPRINGS VA US,18930408,30.6,6.7
GHCND:USC00444128,HOT SPRINGS VA US,18930409,23.3,12.2
GHCND:USC00444128,HOT SPRINGS VA US,18930410,17.2,8.3
GHCND:USC00444128,HOT SPRINGS VA US,18930412,9.4,7.8
GHCND:USC00444128,HOT SPRINGS VA US,18930413,20,12.2
GHCND:USC00444128,HOT SPRINGS VA US,18930414,20,8.3
GHCND:USC00444128,HOT SPRINGS VA US,18930415,15,1.7
GHCND:USC00444128,HOT SPRINGS VA US,18930416,13.3,-3.3
GHCND:USC00444128,HOT SPRINGS VA US,18930417,15,1.1
GHCND:USC00444128,HOT SPRINGS VA US,18930418,15,-1.7
GHCND:USC00444128,HOT SPRINGS VA US,18930419,20,11.7
