STATION,STATION_NAME,DATE,TMAX,TMIN,TOBS
GHCND:USC00090430,ATHENS GA US,18570310,48,22,-9999
GHCND:USC00090430,ATHENS GA US,18570311,45,39,-9999
GHCND:USC00090430,ATHENS GA US,18570312,-9999,31,-9999
GHCND:USC00090430,ATHENS GA US,18570314,38,31,-9999
GHCND:USC00090430,ATHENS GA US,18570315,50,29,-9999
GHCND:USC00090430,ATHENS GA US,18570316,56,37,-9999
GHCND:USC00090430,ATHENS GA US,18570317,-1000,32,-9999
GHCND:USC00090430,ATHENS GA US,18570318,58,44,-9999
GHCND:USC00090430,ATHENS GA US,18570319,57,35,-9999
GHCND:USC00090430,ATHENS GA US,18570320,-9999,30,-9999
GHCND:USC00090430,ATHENS GA US,18570322,67,49,-9999
GHCND:USC00090430,ATHENS GA US,18570323,72,50,-9999
GHCND:USC00090430,ATHENS GA US,18570324,81,47,-9999
GHCND:USC00090430,ATHENS GA US,18570325,86,51,-9999
GHCND:USC00090430,ATHENS GA US,18570326,71,-9999,-9999
GHCND:USC00090430,ATHENS GA US,18570327,71,50,-9999
GHCND:USC00090430,ATHENS GA US,18570328,87,43,-9999
GHCND:USC00090430,ATHENS GA US,18570329,69,-1000,-9999
GHCND:USC00090430,ATHENS GA US,18570330,74,40,-9999
GHCND:USC00090430,ATHENS GA US,18570331,71,33,-9999
GHCND:USC00090430,ATHENS GA US,18570401,72,47,-9999
GHCND:USC00090430,ATHENS GA US,18570402,69,45,-9999
GHCND:USC00090430,ATHENS GA US,18570406,54,24,-9999
GHCND:USC00090430,ATHENS GA US,18570409,64,40,-9999
GHCND:USC00090430,ATHENS GA US,18570410,67,35,-9999
GHCND:USC00090430,ATHENS GA US,18570411,66,38,-9999
GHCND:USC00090430,ATHENS GA US,18570412,48,38,-9999
GHCND:USC00090430,ATHENS GA US,18570413,65,38,-9999
GHCND:USC00090430,ATHENS GA US,18570414,55,39,-9999
GHCND:USC00090430,ATHENS GA US,18570415,67,37,-9999
GHCND:USC00090430,ATHENS GA US,18570416,53,-9999,-9999
GHCND:USC00090430,ATHENS GA US,18570417,66,30,-9999
GHCND:USC00090430,ATHENS GA US,18570418,61,48,-9999
GHCND:USC00090430,ATHENS GA US,18570419,62,52,-9999
GHCND:USC00090430,ATHENS GA US,18570420,65,37,-9999
GHCND:USC00090430,ATHENS GA US,18570421,72,-9999,-9999
GHCND:USC00090430,ATHENS GA US,18570422,53,36,-9999
GHCND:USC00090430,ATHENS GA US,18570423,64,31,-9999
GHCND:USC00090430,ATHENS GA US,18570424,69,42,-9999
GHCND:USC00090430,ATHENS GA US,18570425,77,37,-9999
GHCND:USC00090430,ATHENS GA US,18570426,77,58,-9999
GHCND:USC00090430,ATHENS GA US,18570427,71,58,-9999
GHCND:USC00090430,ATHENS GA US,18570428,73,51,-9999
GHCND:USC00090430,ATHENS GA US,18570429,77,44,-9999
GHCND:USC00090430,ATHENS GA US,18570430,77,56,-9999
GHCND:USC00090430,ATHENS GA US,18570501,69,56,-9999
GHCND:USC00090430,ATHENS GA US,18570502,79,63,-9999
GHCND:USC00090430,ATHENS GA US,18570503,71,63,-9999
GHCND:USC00090430,ATHENS GA US,18570504,68,62,-9999
GHCND:USC00090430,ATHENS GA US,18570505,77,47,-9999
GHCND:USC00090430,ATHENS GA US,18570506,70,41,-9999
GHCND:USC00090430,ATHENS GA US,18570507,-9999,49,-9999
GHCND:USC00090430,ATHENS GA US,18570508,80,48,-9999
GHCND:USC00090430,ATHENS GA US,18570509,79,52,-9999
GHCND:USC00090430,ATHENS GA US,18570510,89,50,-9999
GHCND:USC00090430,ATHENS GA US,18570511,81,56,-9999
GHCND:USC00090430,ATHENS GA US,18570512,81,55,-9999
GHCND:USC00090430,ATHENS GA US,18570513,71,60,-9999
GHCND:USC00090430,ATHENS GA US,18570514,83,60,-9999
GHCND:USC00090430,ATHENS GA US,18570515,82,60,-9999
GHCND:USC00090430,ATHENS GA US,18570516,-9999,52,-9999
GHCND:USC00090430,ATHENS GA US,18570517,76,61,-9999
GHCND:USC00090430,ATHENS GA US,18570518,75,52,-9999
GHCND:USC00090430,ATHENS GA US,18570519,76,49,-9999
GHCND:USC00090430,ATHENS GA US,18570520,66,42,-9999
GHCND:USC00090430,ATHENS GA US,18570521,70,39,-9999
GHCND:USC00090430,ATHENS GA US,18570522,73,45,-9999
GHCND:USC00090430,ATHENS GA US,18570523,81,44,-9999
GHCND:USC00090430,ATHENS GA US,18570524,85,48,-9999
GHCND:USC00090430,ATHENS GA US,18570525,83,53,-9999
GHCND:USC00090430,ATHENS GA US,18570526,79,59,-9999
GHCND:USC00090430,ATHENS GA US,18570527,81,61,-9999
GHCND:USC00090430,ATHENS GA US,18570528,81,51,-9999
GHCND:USC00090430,ATHENS GA US,18570529,80,53,-9999
GHCND:USC00090430,ATHENS GA US,18570530,89,48,-9999
GHCND:USC00090430,ATHENS GA US,18570531,89,-9999,-9999
GHCND:USC00090430,ATHENS GA US,18570601,81,67,-9999
GHCND:USC00090430,ATHENS GA US,18570602,80,63,-9999
GHCND:USC00090430,ATHENS GA US,18570603,83,53,-9999
GHCND:USC00090430,ATHENS GA US,18570604,87,55,-9999
GHCND:USC00090430,ATHENS GA US,18570605,85,57,-9999
GHCND:USC00090430,ATHENS GA US,18570606,76,-9999,-9999
GHCND:USC00090430,ATHENS GA US,18570607,87,54,-9999
GHCND:USC00090430,ATHENS GA US,18570608,94,66,-9999
GHCND:USC00090430,ATHENS GA US,18570609,95,67,-9999
GHCND:USC00090430,ATHENS GA US,18570610,90,68,-9999
GHCND:USC00090430,ATHENS GA US,18570611,85,67,-9999
GHCND:USC00090430,ATHENS GA US,18570612,89,56,-9999
GHCND:USC00090430,ATHENS GA US,18570613,94,58,-9999
GHCND:USC00090430,ATHENS GA US,18570614,94,67,-9999
GHCND:USC00090430,ATHENS GA US,18570615,93,67,-9999
GHCND:USC00090430,ATHENS GA US,18570616,91,66,-9999
GHCND:USC00090430,ATHENS GA US,18570617,-9999,68,-9999
GHCND:USC00090430,ATHENS GA US,18570618,85,-1000,-9999
GHCND:USC00090430,ATHENS GA US,18570619,76,49,-9999
GHCND:USC00090430,ATHENS GA US,18570620,87,53,-9999
GHCND:USC00090430,ATHENS GA US,18570622,83,63,-9999
GHCND:USC00090430,ATHENS GA US,18570623,-9999,51,-9999
GHCND:USC00090430,ATHENS GA US,18570624,81,67,-9999
GHCND:USC00090430,ATHENS GA US,18570625,85,67,-9999
GHCND:USC00090430,ATHENS GA US,18570626,-9999,65,-9999
GHCND:USC00090430,ATHENS GA US,18570628,87,65,-9999
GHCND:USC00090430,ATHENS GA US,18570629,88,65,-9999
GHCND:USC00090430,ATHENS GA US,18570630,88,57,-9999
GHCND:USC00090430,ATHENS GA US,18570701,88,62,-9999
GHCND:USC00090430,ATHENS GA US,18570702,88,52,-9999
GHCND:USC00090430,ATHENS GA US,18570703,74,55,-9999
GHCND:USC00090430,ATHENS GA US,18570704,73,57,-9999
GHCND:USC00090430,ATHENS GA US,18570705,76,56,-9999
GHCND:USC00090430,ATHENS GA US,18570706,-9999,52,-9999
GHCND:USC00090430,ATHENS GA US,18570707,89,-9999,-9999
GHCND:USC00090430,ATHENS GA US,18570708,81,-9999,-9999
GHCND:USC00090430,ATHENS GA US,18570709,87,61,-9999
GHCND:USC00090430,ATHENS GA US,18570710,83,63,-9999
GHCND:USC00090430,ATHENS GA US,18570711,94,65,-9999
GHCND:USC00090430,ATHENS GA US,18570712,-9999,65,-9999
GHCND:USC00090430,ATHENS GA US,18570713,-9999,62,-9999
GHCND:USC00090430,ATHENS GA US,18570714,89,66,-9999
GHCND:USC00090430,ATHENS GA US,18570715,80,67,-9999
GHCND:USC00090430,ATHENS GA US,18570716,87,65,-9999
GHCND:USC00090430,ATHENS GA US,18570717,85,66,-9999
GHCND:USC00090430,ATHENS GA US,18570718,87,65,-9999
GHCND:USC00090430,ATHENS GA US,18570719,-9999,67,-9999
GHCND:USC00090430,ATHENS GA US,18570720,-9999,66,-9999
GHCND:USC00090430,ATHENS GA US,18570721,91,66,-9999
GHCND:USC00090430,ATHENS GA US,18570722,84,67,-9999
GHCND:USC00090430,ATHENS GA US,18570723,86,58,-9999
GHCND:USC00090430,ATHENS GA US,18570724,86,56,-9999
GHCND:USC00090430,ATHENS GA US,18570725,80,66,-9999
GHCND:USC00090430,ATHENS GA US,18570726,89,67,-9999
GHCND:USC00090430,ATHENS GA US,18570728,83,-9999,-9999
GHCND:USC00090430,ATHENS GA US,18570729,83,67,-9999
GHCND:USC00090430,ATHENS GA US,18570730,83,68,-9999
GHCND:USC00090430,ATHENS GA US,18570731,81,68,-9999
GHCND:USC00090430,ATHENS GA US,18571201,62,36,-9999
GHCND:USC00090430,ATHENS GA US,18571202,62,31,-9999
GHCND:USC00090430,ATHENS GA US,18571203,64,32,-9999
GHCND:USC00090430,ATHENS GA US,18571204,63,31,-9999
GHCND:USC00090430,ATHENS GA US,18571205,59,47,-9999
GHCND:USC00090430,ATHENS GA US,18571206,73,56,-9999
GHCND:USC00090430,ATHENS GA US,18571207,70,54,-9999
GHCND:USC00090430,ATHENS GA US,18571208,68,57,-9999
GHCND:USC00090430,ATHENS GA US,18571209,71,61,-9999
GHCND:USC00090430,ATHENS GA US,18571210,-9999,38,-9999
GHCND:USC00090430,ATHENS GA US,18571211,-9999,29,-9999
GHCND:USC00090430,ATHENS GA US,18571212,54,31,-9999
GHCND:USC00090430,ATHENS GA US,18571213,58,31,-9999
GHCND:USC00090430,ATHENS GA US,18571214,60,30,-9999
GHCND:USC00090430,ATHENS GA US,18571215,63,31,-9999
GHCND:USC00090430,ATHENS GA US,18571216,-9999,44,-9999
GHCND:USC00090430,ATHENS GA US,18571217,53,47,-9999
GHCND:USC00090430,ATHENS GA US,18571218,63,-9999,-9999
GHCND:USC00090430,ATHENS GA US,18571219,62,35,-9999
GHCND:USC00090430,ATHENS GA US,18571220,56,38,-9999
GHCND:USC00090430,ATHENS GA US,18571221,56,38,-9999
GHCND:USC00090430,ATHENS GA US,18571222,51,38,-9999
GHCND:USC00090430,ATHENS GA US,18571223,49,34,-9999
GHCND:USC00090430,ATHENS GA US,18571224,42,36,-9999
GHCND:USC00090430,ATHENS GA US,18571225,52,32,-9999
GHCND:USC00090430,ATHENS GA US,18571226,53,31,-9999
GHCND:USC00090430,ATHENS GA US,18571227,47,24,-9999
GHCND:USC00090430,ATHENS GA US,18571228,54,28,-9999
GHCND:USC00090430,ATHENS GA US,18571229,55,-9999,-9999
GHCND:USC00090430,ATHENS GA US,18571230,-9999,39,-9999
GHCND:USC00090430,ATHENS GA US,18571231,53,39,-9999
GHCND:USC00090430,ATHENS GA US,18580101,58,29,-9999
GHCND:USC00090430,ATHENS GA US,18580102,-9999,33,-9999
GHCND:USC00090430,ATHENS GA US,18580103,56,42,-9999
GHCND:USC00090430,ATHENS GA US,18580104,47,31,-9999
GHCND:USC00090430,ATHENS GA US,18580105,57,44,-9999
GHCND:USC00090430,ATHENS GA US,18580106,60,40,-9999
GHCND:USC00090430,ATHENS GA US,18580107,63,35,-9999
GHCND:USC00090430,ATHENS GA US,18580108,42,40,-9999
GHCND:USC00090430,ATHENS GA US,18580109,47,33,-9999
GHCND:USC00090430,ATHENS GA US,18580110,54,41,-9999
GHCND:USC00090430,ATHENS GA US,18580111,67,41,-9999
GHCND:USC00090430,ATHENS GA US,18580112,60,36,-9999
GHCND:USC00090430,ATHENS GA US,18580113,51,44,-9999
GHCND:USC00090430,ATHENS GA US,18580114,53,44,-9999
GHCND:USC00090430,ATHENS GA US,18580115,53,44,-9999
GHCND:USC00090430,ATHENS GA US,18580116,56,43,-9999
GHCND:USC00090430,ATHENS GA US,18580117,56,29,-9999
GHCND:USC00090430,ATHENS GA US,18580118,55,27,-9999
GHCND:USC00090430,ATHENS GA US,18580119,56,29,-9999
GHCND:USC00090430,ATHENS GA US,18580120,59,28,-9999
GHCND:USC00090430,ATHENS GA US,18580121,58,31,-9999
GHCND:USC00090430,ATHENS GA US,18580122,60,30,-9999
GHCND:USC00090430,ATHENS GA US,18580123,45,30,-9999
GHCND:USC00090430,ATHENS GA US,18580124,45,38,-9999
GHCND:USC00090430,ATHENS GA US,18580125,62,42,-9999
GHCND:USC00090430,ATHENS GA US,18580126,62,46,-9999
GHCND:USC00090430,ATHENS GA US,18580127,58,44,-9999
GHCND:USC00090430,ATHENS GA US,18580128,51,35,-9999
GHCND:USC00090430,ATHENS GA US,18580129,51,31,-9999
GHCND:USC00090430,ATHENS GA US,18580130,51,35,-9999
GHCND:USC00090430,ATHENS GA US,18580131,64,38,-9999
GHCND:USC00090430,ATHENS GA US,18580201,54,38,-9999
GHCND:USC00090430,ATHENS GA US,18580202,44,36,-9999
GHCND:USC00090430,ATHENS GA US,18580203,47,29,-9999
GHCND:USC00090430,ATHENS GA US,18580204,41,35,-9999
GHCND:USC00090430,ATHENS GA US,18580205,47,35,-9999
GHCND:USC00090430,ATHENS GA US,18580206,49,22,-9999
GHCND:USC00090430,ATHENS GA US,18580207,54,24,-9999
GHCND:USC00090430,ATHENS GA US,18580208,52,26,-9999
GHCND:USC00090430,ATHENS GA US,18580209,62,26,-9999
GHCND:USC00090430,ATHENS GA US,18580210,53,48,-9999
GHCND:USC00090430,ATHENS GA US,18580211,45,24,-9999
GHCND:USC00090430,ATHENS GA US,18580212,34,31,-9999
GHCND:USC00090430,ATHENS GA US,18580213,35,31,-9999
GHCND:USC00090430,ATHENS GA US,18580214,54,31,-9999
GHCND:USC00090430,ATHENS GA US,18580215,62,28,-9999
GHCND:USC00090430,ATHENS GA US,18580216,65,31,-9999
GHCND:USC00090430,ATHENS GA US,18580217,67,38,-9999
GHCND:USC00090430,ATHENS GA US,18580218,55,36,-9999
GHCND:USC00090430,ATHENS GA US,18580219,66,39,-9999
GHCND:USC00090430,ATHENS GA US,18580220,49,31,-9999
GHCND:USC00090430,ATHENS GA US,18580221,65,28,-9999
GHCND:USC00090430,ATHENS GA US,18580222,58,52,-9999
GHCND:USC00090430,ATHENS GA US,18580223,37,33,-9999
GHCND:USC00090430,ATHENS GA US,18580224,47,26,-9999
GHCND:USC00090430,ATHENS GA US,18580225,56,27,-9999
GHCND:USC00090430,ATHENS GA US,18580226,49,33,-9999
GHCND:USC00090430,ATHENS GA US,18580227,64,32,-9999
