STATION,STATION_NAME,DATE,MDPR,DAPR,PRCP,SNWD,SNOW
GHCND:USC00096407,NORCROSS GA US,19100501,-9999,-9999,0.00,-9999,-9999
GHCND:USC00096407,NORCROSS GA US,19100502,-9999,-9999,0.00,-9999,-9999
GHCND:USC00096407,NORCROSS GA US,19100503,-9999,-9999,0.00,-9999,-9999
GHCND:USC00096407,NORCROSS GA US,19100504,-9999,-9999,0.00,-9999,-9999
GHCND:USC00096407,NORCROSS GA US,19100505,-9999,-9999,0.00,-9999,-9999
GHCND:USC00096407,NORCROSS GA US,19100506,-9999,-9999,0.00,-9999,-9999
GHCND:USC00096407,NORCROSS GA US,19100507,-9999,-9999,0.08,-9999,-9999
GHCND:USC00096407,NORCROSS GA US,19100508,-9999,-9999,0.14,-9999,-9999
GHCND:USC00096407,NORCROSS GA US,19100509,-9999,-9999,0.54,-9999,-9999
GHCND:USC00096407,NORCROSS GA US,19100510,-9999,-9999,0.00,-9999,-9999
GHCND:USC00096407,NORCROSS GA US,19100511,-9999,-9999,0.00,-9999,-9999
GHCND:USC00096407,NORCROSS GA US,19100512,-9999,-9999,0.00,-9999,-9999
GHCND:USC00096407,NORCROSS GA US,19100513,-9999,-9999,0.12,-9999,-9999
GHCND:USC00096407,NORCROSS GA US,19100514,-9999,-9999,0.00,-9999,-9999
GHCND:USC00096407,NORCROSS GA US,19100515,-9999,-9999,0.00,-9999,-9999
GHCND:USC00096407,NORCROSS GA US,19100516,-9999,-9999,0.12,-9999,-9999
GHCND:USC00096407,NORCROSS GA US,19100517,-9999,-9999,0.54,-9999,-9999
GHCND:USC00096407,NORCROSS GA US,19100518,-9999,-9999,0.08,-9999,-9999
GHCND:USC00096407,NORCROSS GA US,19100519,-9999,-9999,0.00,-9999,-9999
GHCND:USC00096407,NORCROSS GA US,19100520,-9999,-9999,0.78,-9999,-9999
GHCND:USC00096407,NORCROSS GA US,19100521,-9999,-9999,0.88,-9999,-9999
GHCND:USC00096407,NORCROSS GA US,19100522,-9999,-9999,0.00,-9999,-9999
GHCND:USC00096407,NORCROSS GA US,19100523,-9999,-9999,0.86,-9999,-9999
GHCND:USC00096407,NORCROSS GA US,19100524,-9999,-9999,0.62,-9999,-9999
GHCND:USC00096407,NORCROSS GA US,19100525,-9999,-9999,0.76,-9999,-9999
GHCND:USC00096407,NORCROSS GA US,19100526,-9999,-9999,0.00,-9999,-9999
GHCND:USC00096407,NORCROSS GA US,19100527,-9999,-9999,0.00,-9999,-9999
GHCND:USC00096407,NORCROSS GA US,19100528,-9999,-9999,0.00,-9999,-9999
GHCND:USC00096407,NORCROSS GA US,19100529,-9999,-9999,0.00,-9999,-9999
GHCND:USC00096407,NORCROSS GA US,19100530,-9999,-9999,0.00,-9999,-9999
GHCND:USC00096407,NORCROSS GA US,19100531,-9999,-9999,0.00,-9999,-9999
GHCND:USC00096407,NORCROSS GA US,19100601,-9999,-9999,0.00,-9999,-9999
GHCND:USC00096407,NORCROSS GA US,19100602,-9999,-9999,0.00,-9999,-9999
GHCND:USC00096407,NORCROSS GA US,19100603,-9999,-9999,0.08,-9999,-9999
GHCND:USC00096407,NORCROSS GA US,19100604,-9999,-9999,0.00,-9999,-9999
GHCND:USC00096407,NORCROSS GA US,19100605,-9999,-9999,0.10,-9999,-9999
GHCND:USC00096407,NORCROSS GA US,19100606,-9999,-9999,0.74,-9999,-9999
GHCND:USC00096407,NORCROSS GA US,19100607,-9999,-9999,0.00,-9999,-9999
GHCND:USC00096407,NORCROSS GA US,19100608,-9999,-9999,0.00,-9999,-9999
GHCND:USC00096407,NORCROSS GA US,19100609,-9999,-9999,0.00,-9999,-9999
GHCND:USC00096407,NORCROSS GA US,19100610,-9999,-9999,0.40,-9999,-9999
GHCND:USC00096407,NORCROSS GA US,19100611,-9999,-9999,0.00,-9999,-9999
GHCND:USC00096407,NORCROSS GA US,19100612,-9999,-9999,1.42,-9999,-9999
GHCND:USC00096407,NORCROSS GA US,19100613,-9999,-9999,1.68,-9999,-9999
GHCND:USC00096407,NORCROSS GA US,19100614,-9999,-9999,0.00,-9999,-9999
GHCND:USC00096407,NORCROSS GA US,19100615,-9999,-9999,0.00,-9999,-9999
GHCND:USC00096407,NORCROSS GA US,19100616,-9999,-9999,0.04,-9999,-9999
GHCND:USC00096407,NORCROSS GA US,19100617,-9999,-9999,0.00,-9999,-9999
GHCND:USC00096407,NORCROSS GA US,19100618,-9999,-9999,0.00,-9999,-9999
GHCND:USC00096407,NORCROSS GA US,19100619,-9999,-9999,0.00,-9999,-9999
GHCND:USC00096407,NORCROSS GA US,19100620,-9999,-9999,0.00,-9999,-9999
GHCND:USC00096407,NORCROSS GA US,19100621,-9999,-9999,0.00,-9999,-9999
GHCND:USC00096407,NORCROSS GA US,19100622,-9999,-9999,0.06,-9999,-9999
GHCND:USC00096407,NORCROSS GA US,19100623,-9999,-9999,0.00,-9999,-9999
GHCND:USC00096407,NORCROSS GA US,19100624,-9999,-9999,0.00,-9999,-9999
GHCND:USC00096407,NORCROSS GA US,19100625,-9999,-9999,0.24,-9999,-9999
GHCND:USC00096407,NORCROSS GA US,19100626,-9999,-9999,0.00,-9999,-9999
GHCND:USC00096407,NORCROSS GA US,19100627,-9999,-9999,0.00,-9999,-9999
GHCND:USC00096407,NORCROSS GA US,19100628,-9999,-9999,0.00,-9999,-9999
GHCND:USC00096407,NORCROSS GA US,19100629,-9999,-9999,1.18,-9999,-9999
GHCND:USC00096407,NORCROSS GA US,19100630,-9999,-9999,1.72,-9999,-9999
GHCND:USC00096407,NORCROSS GA US,19100701,-9999,-9999,0.86,-9999,-9999
GHCND:USC00096407,NORCROSS GA US,19100702,-9999,-9999,0.42,-9999,-9999
GHCND:USC00096407,NORCROSS GA US,19100703,-9999,-9999,0.42,-9999,-9999
