STATION,NAME,DATE,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",9/1/36,,,,24.5,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",9/2/36,,,,22.4,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",9/3/36,,,,23.3,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",9/4/36,,,,23.9,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",9/5/36,,,,23.3,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",9/6/36,,,,22.8,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",9/7/36,,,,24.8,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",9/8/36,,,,28.2,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",9/9/36,,,,29.9,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",9/10/36,,,,25.6,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",9/11/36,,,,27.1,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",9/12/36,,,,29.2,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",9/13/36,,,,29.2,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",9/14/36,,,,24.2,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",9/15/36,,,,24.3,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",9/16/36,,,,26.4,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",9/17/36,,,,24.8,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",9/18/36,,,,20.3,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",9/19/36,,,,23.9,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",9/20/36,,,,20.7,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",9/21/36,,,,25.1,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",9/22/36,,,,27.7,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",9/23/36,,,,26.8,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",9/24/36,,,,24,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",9/25/36,,,,16.2,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",9/26/36,,,,18.3,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",9/27/36,,,,20.9,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",9/28/36,,,,23.7,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",9/29/36,,,,14.3,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",9/30/36,,,,12.1,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",10/1/36,,,,18.8,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",10/2/36,,,,19.2,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",10/3/36,,,,18.2,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",10/4/36,,,,16.4,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",10/5/36,,,,17.8,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",10/6/36,,,,19.9,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",10/7/36,,,,22.3,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",10/8/36,,,,25,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",10/9/36,,,,21.1,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",10/10/36,,,,24.2,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",10/11/36,,,,18.9,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",10/12/36,,,,19.1,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",10/13/36,,,,15.2,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",10/14/36,,,,19.9,,
