Year,Leaves Starting,Peak Season Start,Peak Season End,Almost Gone,Range
1975,9/5,9/21,10/6,10/16,41
1976,9/5,9/29,10/5,10/16,41
1977,9/11,9/27,10/5,10/10,29
1978,9/10,9/26,10/4,10/10,30
1979,9/16,9/27,10/1,10/7,21
1980,9/10,10/1,10/5,10/13,33
1981,9/11,9/26,10/1,10/11,30
1982,9/6,9/26,10/6,10/19,43
1983,9/8,10/1,10/18,10/26,48
1984,9/4,9/24,10/12,10/18,44
1985,9/1,9/25,10/10,10/19,48
1986,8/28,9/22,9/28,10/5,38
1987,8/25,9/22,10/2,10/10,46
1988,8/27,9/27,10/7,10/16,50
1989,8/25,10/2,10/9,10/16,52
1990,8/28,9/26,10/5,10/12,45
1991,8/26,9/26,10/6,10/10,45
1992,8/20,9/28,10/7,10/13,54
1993,8/24,9/28,10/6,10/10,47
1994,8/25,9/22,10/2,10/10,46
1995,8/25,9/28,10/8,10/11,47
1996,8/21,10/2,10/10,10/13,53
1997,8/22,9/29,10/7,10/12,51
1998,8/20,9/24,10/3,10/13,54
1999,8/18,9/28,10/16,10/25,68
2000,8/20,10/7,10/11,10/15,56
2001,8/16,9/26,10/14,10/15,60
2002,8/20,9/29,10/13,10/18,59
2003,8/28,10/2,10/14,10/19,52
2004,8/20,9/27,10/13,10/17,58
2005,8/20,10/3,10/5,10/15,56
2006,8/18,9/28,10/22,10/23,66
2007,8/19,9/24,10/8,10/24,66
2008,8/10,9/19,10/6,10/10,61
2009,8/17,9/20,10/10,10/18,62
2010,8/16,9/21,10/4,10/19,64
2011,8/15,10/5,10/10,10/22,68
2012,8/18,9/27,10/9,10/10,53
2013,8/20,9/26,10/7,10/8,49
2014,8/24,9/29,10/4,10/8,45
2015,8/25,10/10,10/14,10/19,55
2016,9/1,10/7,10/10,10/18,47
2017,8/18,10/6,10/16,10/22,65
