"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"USW00094745","WESTCHESTER CO AIRPORT, NY US","2020-01-01","0.0","3.3","-1.0"
"USW00094745","WESTCHESTER CO AIRPORT, NY US","2020-01-02","0.0","8.9","-2.1"
"USW00094745","WESTCHESTER CO AIRPORT, NY US","2020-01-03","2.8","7.2","5.0"
"USW00094745","WESTCHESTER CO AIRPORT, NY US","2020-01-04","3.6","8.9","3.9"
"USW00094745","WESTCHESTER CO AIRPORT, NY US","2020-01-05","0.3","4.4","-0.5"
"USW00094745","WESTCHESTER CO AIRPORT, NY US","2020-01-06","0.0","6.1","-1.6"
"USW00094745","WESTCHESTER CO AIRPORT, NY US","2020-01-07","0.0","5.0","0.0"
"USW00094745","WESTCHESTER CO AIRPORT, NY US","2020-01-08","0.0","5.0","-3.2"
"USW00094745","WESTCHESTER CO AIRPORT, NY US","2020-01-09","0.0","-0.5","-6.6"
"USW00094745","WESTCHESTER CO AIRPORT, NY US","2020-01-10","0.0","11.7","-2.7"
"USW00094745","WESTCHESTER CO AIRPORT, NY US","2020-01-11","0.0","18.3","7.2"
"USW00094745","WESTCHESTER CO AIRPORT, NY US","2020-01-12","1.8","18.9","2.8"
"USW00094745","WESTCHESTER CO AIRPORT, NY US","2020-01-13","0.0","6.1","-0.5"
"USW00094745","WESTCHESTER CO AIRPORT, NY US","2020-01-14","0.5","5.6","1.1"
"USW00094745","WESTCHESTER CO AIRPORT, NY US","2020-01-15","0.0","9.4","0.6"
"USW00094745","WESTCHESTER CO AIRPORT, NY US","2020-01-16","2.8","8.3","-0.5"
"USW00094745","WESTCHESTER CO AIRPORT, NY US","2020-01-17","0.0","-0.5","-8.8"
"USW00094745","WESTCHESTER CO AIRPORT, NY US","2020-01-18","8.6","1.7","-8.8"
"USW00094745","WESTCHESTER CO AIRPORT, NY US","2020-01-19","0.3","5.0","-3.8"
"USW00094745","WESTCHESTER CO AIRPORT, NY US","2020-01-20","0.0","-2.1","-8.2"
"USW00094745","WESTCHESTER CO AIRPORT, NY US","2020-01-21","0.0","-1.0","-10.5"
"USW00094745","WESTCHESTER CO AIRPORT, NY US","2020-01-22","0.0","2.2","-9.3"
"USW00094745","WESTCHESTER CO AIRPORT, NY US","2020-01-23","0.0","6.1","-6.6"
"USW00094745","WESTCHESTER CO AIRPORT, NY US","2020-01-24","0.0","8.9","-2.7"
"USW00094745","WESTCHESTER CO AIRPORT, NY US","2020-01-25","30.5","6.7","1.7"
"USW00094745","WESTCHESTER CO AIRPORT, NY US","2020-01-26","0.0","6.7","-0.5"
"USW00094745","WESTCHESTER CO AIRPORT, NY US","2020-01-27","0.0","5.6","0.6"
"USW00094745","WESTCHESTER CO AIRPORT, NY US","2020-01-28","0.0","4.4","0.6"
"USW00094745","WESTCHESTER CO AIRPORT, NY US","2020-01-29","0.0","3.3","-3.8"
"USW00094745","WESTCHESTER CO AIRPORT, NY US","2020-01-30","0.0","0.6","-6.6"
"USW00094745","WESTCHESTER CO AIRPORT, NY US","2020-01-31","0.0","11.1","-4.3"
"USW00094745","WESTCHESTER CO AIRPORT, NY US","2020-02-01","0.0","3.9","0.0"
"USW00094745","WESTCHESTER CO AIRPORT, NY US","2020-02-02","1.0","5.6","0.0"
"USW00094745","WESTCHESTER CO AIRPORT, NY US","2020-02-03","0.0","11.7","-0.5"
"USW00094745","WESTCHESTER CO AIRPORT, NY US","2020-02-04","0.3","12.8","2.2"
"USW00094745","WESTCHESTER CO AIRPORT, NY US","2020-02-05","0.0","7.2","2.2"
"USW00094745","WESTCHESTER CO AIRPORT, NY US","2020-02-06","7.9","3.9","1.1"
"USW00094745","WESTCHESTER CO AIRPORT, NY US","2020-02-07","8.6","11.1","-1.0"
"USW00094745","WESTCHESTER CO AIRPORT, NY US","2020-02-08","0.0","3.3","-3.2"
"USW00094745","WESTCHESTER CO AIRPORT, NY US","2020-02-09","0.0","3.9","-4.3"
"USW00094745","WESTCHESTER CO AIRPORT, NY US","2020-02-10","6.9","6.7","2.8"
"USW00094745","WESTCHESTER CO AIRPORT, NY US","2020-02-11","7.4","7.2","3.9"
"USW00094745","WESTCHESTER CO AIRPORT, NY US","2020-02-12","1.5","6.7","1.7"
"USW00094745","WESTCHESTER CO AIRPORT, NY US","2020-02-13","12.4","4.4","1.1"
"USW00094745","WESTCHESTER CO AIRPORT, NY US","2020-02-14","0.0","2.2","-9.9"
"USW00094745","WESTCHESTER CO AIRPORT, NY US","2020-02-15","0.0","-2.7","-12.7"
"USW00094745","WESTCHESTER CO AIRPORT, NY US","2020-02-16","0.0","4.4","-3.2"
"USW00094745","WESTCHESTER CO AIRPORT, NY US","2020-02-17","0.0","8.9","0.0"
"USW00094745","WESTCHESTER CO AIRPORT, NY US","2020-02-18","0.0","5.0","0.0"
"USW00094745","WESTCHESTER CO AIRPORT, NY US","2020-02-19","0.0","7.2","-2.1"
"USW00094745","WESTCHESTER CO AIRPORT, NY US","2020-02-20","0.0","1.1","-5.5"
"USW00094745","WESTCHESTER CO AIRPORT, NY US","2020-02-21","0.0","0.6","-8.2"
"USW00094745","WESTCHESTER CO AIRPORT, NY US","2020-02-22","0.0","8.9","-3.2"
"USW00094745","WESTCHESTER CO AIRPORT, NY US","2020-02-23","0.0","12.2","-4.3"
"USW00094745","WESTCHESTER CO AIRPORT, NY US","2020-02-24","0.0","15.0","-1.6"
"USW00094745","WESTCHESTER CO AIRPORT, NY US","2020-02-25","2.0","10.6","3.9"
"USW00094745","WESTCHESTER CO AIRPORT, NY US","2020-02-26","0.8","7.2","5.0"
"USW00094745","WESTCHESTER CO AIRPORT, NY US","2020-02-27","13.5","6.7","-2.1"
"USW00094745","WESTCHESTER CO AIRPORT, NY US","2020-02-28","0.0","3.3","-3.2"
"USW00094745","WESTCHESTER CO AIRPORT, NY US","2020-02-29","0.0","1.7","-5.5"
"USW00094745","WESTCHESTER CO AIRPORT, NY US","2020-03-01","0.0","4.4","-6.0"
"USW00094745","WESTCHESTER CO AIRPORT, NY US","2020-03-02","0.0","12.8","-2.7"
"USW00094745","WESTCHESTER CO AIRPORT, NY US","2020-03-03","7.1","13.3","6.7"
"USW00094745","WESTCHESTER CO AIRPORT, NY US","2020-03-04","0.0","12.2","5.0"
"USW00094745","WESTCHESTER CO AIRPORT, NY US","2020-03-05","0.0","9.4","0.6"
