STATION,NAME,DATE,PRCP,SNWD,TMAX,TMIN
PL000012120,"LEBA, PL",1/1/66,10,,1.3,-2.9
PL000012120,"LEBA, PL",1/2/66,8,,5.5,-2
PL000012120,"LEBA, PL",1/3/66,7,,3.5,0.4
PL000012120,"LEBA, PL",1/4/66,2,,1.2,-3.8
PL000012120,"LEBA, PL",1/5/66,0,,-2.5,-4.8
PL000012120,"LEBA, PL",1/6/66,0,,0.4,-6.7
PL000012120,"LEBA, PL",1/7/66,0,,0.2,-6.4
PL000012120,"LEBA, PL",1/8/66,0,,0.5,-6.3
PL000012120,"LEBA, PL",1/9/66,0,,1.2,-4.4
PL000012120,"LEBA, PL",1/10/66,0,,0,-4.4
PL000012120,"LEBA, PL",1/11/66,0,,-1.8,-5.2
PL000012120,"LEBA, PL",1/12/66,1,,-2.4,-7.2
PL000012120,"LEBA, PL",1/13/66,1,,-1.4,-3.6
PL000012120,"LEBA, PL",1/14/66,2,,-1.4,-3.9
PL000012120,"LEBA, PL",1/15/66,0,,-2.5,-4.5
PL000012120,"LEBA, PL",1/16/66,0,,-3.7,-8.7
PL000012120,"LEBA, PL",1/17/66,1,,-6.2,-11.9
PL000012120,"LEBA, PL",1/18/66,0,,-3.8,-7.5
PL000012120,"LEBA, PL",1/19/66,1,,0.2,-5.1
PL000012120,"LEBA, PL",1/20/66,0,,0,-8.3
PL000012120,"LEBA, PL",1/21/66,0,,-3.3,-6.9
PL000012120,"LEBA, PL",1/22/66,0,,-3.2,-4.7
PL000012120,"LEBA, PL",1/23/66,0,,-1.2,-5.1
PL000012120,"LEBA, PL",1/24/66,0,,0.4,-1.7
PL000012120,"LEBA, PL",1/25/66,0,,-0.8,-2.7
PL000012120,"LEBA, PL",1/26/66,0,,-1.5,-7.9
PL000012120,"LEBA, PL",1/27/66,0,,-5.5,-10.7
PL000012120,"LEBA, PL",1/28/66,0,,-5.2,-8.7
PL000012120,"LEBA, PL",1/29/66,0,,0.6,-5.7
PL000012120,"LEBA, PL",1/30/66,0,,4.4,-4.1
PL000012120,"LEBA, PL",1/31/66,0,,4.7,2.7
PL000012120,"LEBA, PL",2/1/66,0,,3.2,0.3
PL000012120,"LEBA, PL",2/2/66,0,,1.7,-2.9
PL000012120,"LEBA, PL",2/3/66,3,,-2.5,-5.7
PL000012120,"LEBA, PL",2/4/66,2,,-5.4,-8
PL000012120,"LEBA, PL",2/5/66,4,,2.8,-7.3
PL000012120,"LEBA, PL",2/6/66,0,,6.8,0.6
PL000012120,"LEBA, PL",2/7/66,2,,4.4,-6.2
PL000012120,"LEBA, PL",2/8/66,1,,-5.6,-8.9
PL000012120,"LEBA, PL",2/9/66,0,,-6.4,-12.4
PL000012120,"LEBA, PL",2/10/66,0,,-3.8,-15.4
PL000012120,"LEBA, PL",2/11/66,0,,-4.3,-11.3
PL000012120,"LEBA, PL",2/12/66,0,,-4.4,-7.5
PL000012120,"LEBA, PL",2/13/66,2,,-3.9,-6.9
PL000012120,"LEBA, PL",2/14/66,0,,-1.4,-4.3
PL000012120,"LEBA, PL",2/15/66,1,,0.1,-3.1
PL000012120,"LEBA, PL",2/16/66,1,,-1.3,-4.1
