STATION,NAME,DATE,DAPR,DASF,MDPR,MDSF,PRCP,SNOW,SNWD,TMAX,TMIN
USW00094745,"WESTCHESTER CO AIRPORT, NY US",4/1/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",4/2/46,,,,,3.6,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",4/3/46,,,,,5.1,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",4/4/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",4/5/46,,,,,0.5,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",4/6/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",4/7/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",4/8/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",4/9/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",4/10/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",4/11/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",4/12/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",4/13/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",4/14/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",4/15/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",4/16/46,,,,,7.1,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",4/17/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",4/18/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",4/19/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",4/20/46,,,,,2.5,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",4/21/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",4/22/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",4/23/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",4/24/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",4/25/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",4/26/46,,,,,12.7,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",4/27/46,,,,,2.5,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",4/28/46,,,,,1.3,,,,
