"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2001","69","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","18",".","21","69","."
"01/02/2001","23","PM2.5","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS","23",".","11","23","."
"01/03/2001","70","PM2.5","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS","40",".","22","70","."
"01/04/2001","93","PM2.5","VACANT LOT SURROUNDED BY RESIDENCES","41-067-1003","AQS","38",".","22","93","."
"01/05/2001","36","CO","HAZELDELL/7701 NE HIGHWAY 99","53-011-0016","AQS","36",".","19","32","."
"01/06/2001","36","CO","HAZELDELL/7701 NE HIGHWAY 99","53-011-0016","AQS","36",".","9","33","."
"01/07/2001","32","CO","HAZELDELL/7701 NE HIGHWAY 99","53-011-0016","AQS","32",".","10","31","."
"01/08/2001","67","PM2.5","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS","35",".","21","67","."
"01/09/2001","64","PM2.5","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS","38",".","19","64","."
"01/10/2001","53","PM2.5","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS","27",".","12","53","."
"01/11/2001","43","PM2.5","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS","33",".","15","43","."
"01/12/2001","74","PM2.5","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS","36",".","26","74","."
"01/13/2001","35","PM2.5","VACANT LOT SURROUNDED BY RESIDENCES","41-067-1003","AQS","24",".","8","35","."
"01/14/2001","60","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","27",".","17","60","."
