"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25","NO2"
"01/01/2009","26","Ozone","Portland - SE Lafayette","41-051-0080","AQS","6","26","1","4","23","15"
"01/02/2009","54","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","13","20","1",".","54","34"
"01/03/2009","69","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","13","19","3",".","69","27"
"01/04/2009","58","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","13","25","3","15","58","22"
"01/05/2009","33","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","11","24","1",".","33","15"
"01/06/2009","25","Ozone","Portland - SE Lafayette","41-051-0080","AQS","9","25","0",".","13","9"
"01/07/2009","25","Ozone","Portland - SE Lafayette","41-051-0080","AQS","8","25","0","4","10","5"
"01/08/2009","36","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","8","27","1",".","36","30"
"01/09/2009","81","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","22","6","7",".","81","32"
"01/10/2009","82","PM2.5","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS","26","15","7","26","82","23"
"01/11/2009","64","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","9","19","3",".","64","25"
"01/12/2009","56","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","8","9","7",".","56","24"
"01/13/2009","59","PM2.5","VANCOUVER - MACARTHUR BLVD","53-011-0019","AQS","9","6","3","33","59","24"
"01/14/2009","71","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","15","5","4",".","71","20"
"01/15/2009","102","PM2.5","YACOLT - YACOLT RD","53-011-0022","AQS","16","17","4",".","102","19"
"01/16/2009","103","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","10","14","3","10","103","14"
"01/17/2009","75","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","6","16","1",".","75","8"
"01/18/2009","46","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","5","17","1",".","46","6"
"01/19/2009","82","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","5","17","1","33","82","7"
