"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM25","NO2"
"01/01/1981","62","SO2","","41-051-0015","AQS","55","6","62",".","36"
"01/02/1981","62","SO2","","41-051-0015","AQS","62","6","62",".","28"
"01/03/1981","40","CO","","41-051-0075","AQS","40","6","20",".","19"
"01/04/1981","41","CO","","41-051-0075","AQS","41","6","27",".","36"
"01/05/1981","67","SO2","","41-051-0015","AQS","66","7","67",".","27"
"01/06/1981","70","CO","","53-011-0008","AQS","70","7","27",".","31"
"01/07/1981","63","CO","","41-051-0075","AQS","63","3","20",".","25"
"01/08/1981","71","CO","","41-051-1002","AQS","71","3","6",".","25"
"01/09/1981","80","CO","","41-051-0075","AQS","80","6","27",".","25"
"01/10/1981","71","CO","","53-011-0008","AQS","71","9","20",".","21"
"01/11/1981","33","CO","","53-011-0008","AQS","33","10","16",".","21"
"01/12/1981","70","CO","","41-051-0075","AQS","70","9","13",".","25"
"01/13/1981","60","CO","","53-011-0008","AQS","60","11","20",".","27"
"01/14/1981","48","CO","","41-051-1002","AQS","48","10","11",".","25"
"01/15/1981","61","CO","","53-011-0008","AQS","61","9","13",".","23"
"01/16/1981","56","CO","","41-051-0075","AQS","56","6","13",".","23"
"01/17/1981","57","CO","","41-051-0075","AQS","57","5","6",".","19"
"01/18/1981","38","CO","","53-011-0008","AQS","38","9","9",".","19"
"01/19/1981","79","CO","","41-051-1002","AQS","79","8","13",".","27"
"01/20/1981","52","CO","","41-051-1002","AQS","52","12","16",".","26"
"01/21/1981","54","CO","","53-011-0008","AQS","54","14","17",".","24"
"01/22/1981","83","CO","","41-051-0075","AQS","83","17","39",".","31"
"01/23/1981","76","CO","","41-051-0075","AQS","76","20","33",".","36"
"01/24/1981","50","CO","","41-051-0075","AQS","50","20","36",".","34"
"01/25/1981","49","CO","","41-051-0075","AQS","49","20","17",".","37"
"01/26/1981","78","CO","","41-051-0075","AQS","78","8","29",".","37"
"01/27/1981","80","CO","","41-051-1002","AQS","80","9","43",".","29"
"01/28/1981","79","CO","","41-051-1002","AQS","79","11","62",".","37"
"01/29/1981","77","CO","","41-051-0078","AQS","77","10","46",".","57"
"01/30/1981","68","CO","","41-051-1002","AQS","68","7","56",".","36"
"01/31/1981","68","CO","","41-051-0075","AQS","68","16","50",".","45"
"02/01/1981","106","SO2","","41-051-0074","AQS","68","8","106",".","46"
"02/02/1981","101","CO","","41-051-0078","AQS","101","5","79",".","60"
"02/03/1981","99","SO2","","41-051-0015","AQS","83","13","99",".","36"
"02/04/1981","79","CO","","41-051-1002","AQS","79","9","29",".","35"
"02/05/1981","56","CO","","41-051-0075","AQS","56","15","27",".","37"
"02/06/1981","107","SO2","","41-051-0074","AQS","76","16","107",".","38"
"02/07/1981","67","CO","","41-051-0075","AQS","67","15","60",".","33"
"02/08/1981","74","SO2","","41-051-0074","AQS","67","7","74",".","58"
"02/09/1981","79","CO","","41-051-0078","AQS","79","23","66",".","32"
"02/10/1981","48","CO","","41-051-0075","AQS","48","25","16",".","36"
"02/11/1981","95","CO","","41-051-0075","AQS","95","22","57",".","42"
"02/12/1981","107","SO2","","41-051-0074","AQS","84","22","107",".","39"
"02/13/1981","123","CO","","41-051-1002","AQS","123","27","36",".","35"
"02/14/1981","73","CO","","41-051-1002","AQS","73","30","23",".","35"
"02/15/1981","36","CO","","41-051-1002","AQS","36","31","6",".","31"
"02/16/1981","42","CO","","41-051-1002","AQS","42","30","23",".","33"
"02/17/1981","63","CO","","41-051-1002","AQS","63","28","16",".","39"
"02/18/1981","99","SO2","","41-051-0074","AQS","94","25","99",".","28"
"02/19/1981","42","CO","","41-051-1002","AQS","42","33","40",".","40"
"02/20/1981","48","CO","","41-051-1002","AQS","48","29","23",".","."
"02/21/1981","64","CO","","41-051-0075","AQS","64","19","60",".","43"
"02/22/1981","66","CO","","41-051-0075","AQS","66","17","50",".","57"
"02/23/1981","73","CO","","41-051-1002","AQS","73","30","50",".","54"
"02/24/1981","86","CO","","41-051-1002","AQS","86","27","30",".","56"
"02/25/1981","64","CO","","41-051-0075","AQS","64","19","52",".","49"
"02/26/1981","82","CO","","41-051-1002","AQS","82","16","72",".","67"
"02/27/1981","72","CO","","41-051-0075","AQS","72","20","34",".","45"
"02/28/1981","59","SO2","","41-051-0015","AQS","52","28","59",".","45"
"03/01/1981","60","SO2","","41-051-0074","AQS","39","24","60",".","44"
"03/02/1981","79","CO","","41-051-1002","AQS","79","26","52",".","73"
"03/03/1981","104","SO2","","41-051-0074","AQS","79","28","104",".","50"
"03/04/1981","66","CO","","41-051-0075","AQS","66","28","40",".","49"
"03/05/1981","82","SO2","","41-051-0074","AQS","71","28","82",".","63"
"03/06/1981","107","SO2","","41-051-0074","AQS","66","26","107",".","52"
"03/07/1981","53","CO","","41-051-1002","AQS","53","19","16",".","45"
"03/08/1981","62","SO2","","41-051-0074","AQS","48","19","62",".","46"
"03/09/1981","77","SO2","","41-051-0074","AQS","52","25","77",".","53"
"03/10/1981","68","NO2","","41-051-1002","AQS","63","27","67",".","68"
"03/11/1981","94","SO2","","41-051-0074","AQS","63","26","94",".","46"
"03/12/1981","66","SO2","","41-051-0074","AQS","63","28","66",".","54"
