"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25"
"01/01/1983","38","CO","","53-011-0008","AQS","38","19","4",".","."
"01/02/1983","45","CO","","41-051-0075","AQS","45","22","23",".","."
"01/03/1983","106","CO","","41-051-0075","AQS","106","24","65",".","."
"01/04/1983","31","CO","","41-051-0075","AQS","31","26","10",".","."
"01/05/1983","88","CO","","41-051-0075","AQS","88","26","39",".","."
"01/06/1983","63","CO","","41-051-0075","AQS","63","28","17","9","."
"01/07/1983","52","CO","","41-051-1002","AQS","52","29","1",".","."
"01/08/1983","31","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","28","31","1",".","."
"01/09/1983","28","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","26","28","1",".","."
"01/10/1983","50","CO","","41-051-1002","AQS","50","27","1",".","."
"01/11/1983","195","CO","","41-051-0075","AQS","195","13","66",".","."
"01/12/1983","197","CO","","41-051-0075","AQS","197","4","20","60","."
"01/13/1983","87","CO","","41-051-0078","AQS","87","6","56",".","."
"01/14/1983","96","CO","","53-011-0008","AQS","96","5","84","83","."
"01/15/1983","85","CO","","53-011-0008","AQS","85","15","60",".","."
"01/16/1983","35","CO","","41-051-0075","AQS","35","11","17",".","."
"01/17/1983","54","CO","","41-051-0075","AQS","54","13","30",".","."
"01/18/1983","55","CO","","41-051-1002","AQS","55","19","7",".","."
"01/19/1983","57","CO","","41-051-1002","AQS","57","20","20",".","."
"01/20/1983","103","CO","","41-051-0075","AQS","103","18","33",".","."
"01/21/1983","106","CO","","41-051-1002","AQS","106","5","34",".","."
"01/22/1983","51","CO","","41-051-1002","AQS","51","28","19",".","."
"01/23/1983","27","Ozone","","41-005-2001","AQS","27","27","17",".","."
"01/24/1983","56","CO","","41-051-1002","AQS","56","23","11","19","."
"01/25/1983","72","CO","","41-051-1002","AQS","72","16","30",".","."
"01/26/1983","81","CO","","41-051-1002","AQS","81","25","29",".","."
"01/27/1983","61","CO","","41-051-1002","AQS","61","27","17",".","."
"01/28/1983","72","CO","","53-011-0008","AQS","72","21","43",".","."
"01/29/1983","41","CO","","41-051-0075","AQS","41","23","10",".","."
"01/30/1983","43","SO2","","41-051-0015","AQS","42","20","43","26","."
"01/31/1983","61","CO","","41-051-0075","AQS","61","17","24",".","."
"02/01/1983","51","CO","","53-011-0008","AQS","51","19","49",".","."
"02/02/1983","34","CO","","41-051-0078","AQS","34","20","9","12","."
"02/03/1983","45","CO","","41-051-0075","AQS","45","22","11",".","."
"02/04/1983","67","CO","","41-051-0075","AQS","67","18","16",".","."
"02/05/1983","55","CO","","53-011-0008","AQS","55","19","11","15","."
"02/06/1983","43","CO","","41-051-0075","AQS","43","25","16",".","."
"02/07/1983","51","CO","","41-051-1002","AQS","51","24","23",".","."
"02/08/1983","104","CO","","41-051-1002","AQS","104","31","17",".","."
"02/09/1983","54","CO","","41-051-1002","AQS","54","27","6",".","."
"02/10/1983","76","CO","","41-051-0075","AQS","76","24","13",".","."
"02/11/1983","106","CO","","41-051-0078","AQS","106","15","39",".","."
"02/12/1983","74","CO","","41-051-0078","AQS","74","29","19",".","."
"02/13/1983","38","CO","","41-051-0075","AQS","38","25","9",".","."
"02/14/1983","80","CO","","41-051-1002","AQS","80","16","27",".","."
"02/15/1983","74","CO","","41-051-1002","AQS","74","26","36",".","."
"02/16/1983","55","CO","","41-051-1002","AQS","55","26","17",".","."
"02/17/1983","56","CO","","41-051-1002","AQS","56","30","13",".","."
"02/18/1983","59","CO","","41-051-0078","AQS","59","23","17",".","."
"02/19/1983","48","CO","","41-051-1002","AQS","48","23","14",".","."
"02/20/1983","39","CO","","41-051-1002","AQS","39","26","13",".","."
