"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25","NO2"
"01/01/2015","152","PM2.5","Vancouver-NE 84th Ave","53-011-0024","AQS","2","26","3",".","152","8"
"01/02/2015","134","PM2.5","Vancouver-NE 84th Ave","53-011-0024","AQS","7","14","1",".","134","27"
"01/03/2015","103","PM2.5","Vancouver-NE 84th Ave","53-011-0024","AQS","9","2","1","29","103","29"
"01/04/2015","55","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","9","25","0",".","55","15"
"01/05/2015","43","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","13","24","3",".","43","24"
"01/06/2015","68","PM2.5","Tualatin Bradbury Court (TBC) - Near Road Site","41-067-0005","AQS","14","1","4","20","68","22"
"01/07/2015","64","PM2.5","Vancouver-NE 84th Ave","53-011-0024","AQS","11","1","3",".","64","18"
"01/08/2015","59","PM2.5","Vancouver-NE 84th Ave","53-011-0024","AQS","9","15","1",".","59","22"
"01/09/2015","70","PM2.5","Vancouver-NE 84th Ave","53-011-0024","AQS","9","14","0","4","70","21"
"01/10/2015","71","PM2.5","Vancouver-NE 84th Ave","53-011-0024","AQS","11","1","3",".","71","13"
"01/11/2015","64","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","8","6","1",".","64","11"
"01/12/2015","41","PM2.5","Vancouver-NE 84th Ave","53-011-0024","AQS","5","8","0","8","41","13"
"01/13/2015","56","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","5","21","1",".","56","18"
"01/14/2015","56","PM2.5","Vancouver-NE 84th Ave","53-011-0024","AQS","3","21","0",".","56","15"
"01/15/2015","60","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","7","16","0","5","60","20"
"01/16/2015","55","PM2.5","Vancouver-NE 84th Ave","53-011-0024","AQS","8","18","3",".","55","29"
"01/17/2015","42","PM2.5","Vancouver-NE 84th Ave","53-011-0024","AQS","8","31","0",".","42","22"
"01/18/2015","33","Ozone","Portland - SE Lafayette","41-051-0080","AQS","6","33","0","8","22","22"
"01/19/2015","46","PM2.5","Vancouver-NE 84th Ave","53-011-0024","AQS","13","15","4",".","46","28"
"01/20/2015","60","PM2.5","Vancouver-NE 84th Ave","53-011-0024","AQS","13","24","1",".","60","23"
"01/21/2015","70","PM2.5","Vancouver-NE 84th Ave","53-011-0024","AQS","7","19","0","4","70","23"
"01/22/2015","49","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","8","11","3",".","49","24"
"01/23/2015","59","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","8","2","4",".","59","15"
"01/24/2015","77","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","19","6","11","27","77","22"
"01/25/2015","62","PM2.5","Vancouver-NE 84th Ave","53-011-0024","AQS","23","3","9",".","62","16"
"01/26/2015","53","PM2.5","Vancouver-NE 84th Ave","53-011-0024","AQS","9","2","3",".","53","14"
"01/27/2015","60","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","8","2","3","15","60","17"
"01/28/2015","56","PM2.5","Vancouver-NE 84th Ave","53-011-0024","AQS","9","10","3",".","56","18"
"01/29/2015","52","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","8","12","0",".","52","21"
"01/30/2015","68","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","5","10","4","21","68","16"
"01/31/2015","80","PM2.5","Vancouver-NE 84th Ave","53-011-0024","AQS","7","12","3",".","80","14"
"02/01/2015","73","PM2.5","Vancouver-NE 84th Ave","53-011-0024","AQS","9","11","4",".","73","13"
"02/02/2015","59","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","11","26","7","18","59","32"
"02/03/2015","64","PM2.5","Vancouver-NE 84th Ave","53-011-0024","AQS","14","13","4",".","64","24"
"02/04/2015","40","PM2.5","Vancouver-NE 84th Ave","53-011-0024","AQS","8","18","1",".","40","19"
"02/05/2015","26","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","5","11","1","6","26","21"
"02/06/2015","32","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","7","15","3",".","32","23"
"02/07/2015","31","Ozone","Portland - SE Lafayette","41-051-0080","AQS","6","31","0",".","25","21"
"02/08/2015","23","Ozone","Portland - SE Lafayette","41-051-0080","AQS","5","23","0","5","22","17"
"02/09/2015","31","Ozone","Portland - SE Lafayette","41-051-0080","AQS","3","31","0",".","11","19"
"02/10/2015","31","NO2","Portland - SE Lafayette","41-051-0080","AQS","9","27","1",".","18","31"
"02/11/2015","54","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","9","4","3","19","54","18"
"02/12/2015","62","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","14","4","4",".","62","23"
"02/13/2015","67","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","17","2","4",".","67","14"
"02/14/2015","58","PM2.5","Vancouver-NE 84th Ave","53-011-0024","AQS","10","24","3","14","58","20"
"02/15/2015","30","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","9","27","1",".","30","18"
"02/16/2015","32","Ozone","Tualatin Bradbury Court (TBC) - Near Road Site","41-067-0005","AQS","2","32","0",".","19","15"
"02/17/2015","28","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","5","28","0","18","28","25"
"02/18/2015","52","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","8","18","3",".","52","25"
"02/19/2015","55","PM2.5","Vancouver-NE 84th Ave","53-011-0024","AQS","8","16","4",".","55","28"
"02/20/2015","27","Ozone","Portland - SE Lafayette","41-051-0080","AQS","9","27","3","7","26","25"
"02/21/2015","31","Ozone","Portland - SE Lafayette","41-051-0080","AQS","6","31","3",".","30","27"
"02/22/2015","37","Ozone","Tualatin Bradbury Court (TBC) - Near Road Site","41-067-0005","AQS","3","37",".",".","16","9"
