"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/1999","114","PM2.5","Beaverton - Highland Park","41-067-0111","AQS","39",".","40","114","."
"01/02/1999","72","PM2.5","Beaverton - Highland Park","41-067-0111","AQS","38",".","16","72","."
"01/03/1999","63","CO","","53-011-0010","AQS","63",".","11","60","."
"01/04/1999","149","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","72",".","54","149","."
"01/05/1999","159","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","108",".","61","159","."
"01/06/1999","111","CO","","53-011-0010","AQS","111",".","44","94","."
"01/07/1999","70","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","48",".","19","70","."
"01/08/1999","69","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","48",".","21","69","."
"01/09/1999","78","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","41",".","25","78","."
"01/10/1999","142","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","65",".","48","142","."
"01/11/1999","82","PM2.5","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS","61",".","26","82","."
"01/12/1999","55","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","55",".","19","55","."
"01/13/1999","63","PM2.5","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS","38",".","18","63","."
"01/14/1999","31","CO","","41-051-0087","AQS","31",".","9","30","."
"01/15/1999","38","CO","","41-051-0087","AQS","38",".","10","28","."
"01/16/1999","22","CO","","41-051-0087","AQS","22",".","7","20","."
"01/17/1999","22","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","17",".","6","22","."
"01/18/1999","23","CO","","41-051-0087","AQS","23",".","12","15","."
"01/19/1999","35","CO","","41-051-0087","AQS","35",".",".","21","."
"01/20/1999","36","CO","","41-051-0087","AQS","36",".","6","17","."
"01/21/1999","27","CO","","41-051-0087","AQS","27",".",".","24","."
"01/22/1999","36","CO","HAZELDELL/7701 NE HIGHWAY 99","53-011-0016","AQS","36",".",".","27","."
"01/23/1999","55","PM2.5","Beaverton - Highland Park","41-067-0111","AQS","36",".","12","55","."
"01/24/1999","103","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","53",".","35","103","."
"01/25/1999","72","PM2.5","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS","57",".","29","72","."
"01/26/1999","71","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","36",".","20","71","."
"01/27/1999","43","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","25",".","14","43","."
"01/28/1999","24","CO","","41-051-0087","AQS","24",".","3","11","."
"01/29/1999","24","CO","","41-051-0087","AQS","24",".","5","12","."
"01/30/1999","61","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","35",".","16","61","."
"01/31/1999","60","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","35",".","18","60","."
"02/01/1999","30","CO","","41-051-0087","AQS","30",".","7","17","."
"02/02/1999","26","CO","","41-051-0087","AQS","26",".","11","23","."
"02/03/1999","35","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","32",".","16","35","."
"02/04/1999","26","CO","","41-051-0087","AQS","26",".","7","19","."
"02/05/1999","25","CO","","41-051-0087","AQS","25",".","21","24","."
"02/06/1999","16","CO","","41-051-0087","AQS","16",".","5","11","."
"02/07/1999","15","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","15",".","6","15","."
"02/08/1999","28","CO","","41-051-0087","AQS","28",".","5","22","."
"02/09/1999","32","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","30",".","8","32","."
"02/10/1999","35","CO","","41-051-0087","AQS","35",".","7","22","."
"02/11/1999","36","PM10","","41-051-0009","AQS","26",".","36","23","."
"02/12/1999","25","PM2.5","SAUVIE ISLAND-SIS","41-009-0004","AQS","25",".","9","25","."
"02/13/1999","55","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","30",".","18","55","."
"02/14/1999","83","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","34",".","30","83","."
"02/15/1999","56","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","31",".","18","56","."
"02/16/1999","40","CO","","41-051-0087","AQS","40",".","15","38","."
"02/17/1999","27","CO","","41-051-0087","AQS","27",".","19","25","."
"02/18/1999","26","CO","","41-051-0087","AQS","26",".","5","17","."
"02/19/1999","41","CO","","53-011-0010","AQS","41",".","11","24","."
"02/20/1999","63","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","47",".","6","63","."
"02/21/1999","16","CO","","41-051-0087","AQS","16",".","6","10","."
"02/22/1999","23","CO","","41-051-0087","AQS","23",".","5","12","."
"02/23/1999","41","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","33",".","11","41","."
"02/24/1999","26","CO","","41-051-0087","AQS","26",".","5","13","."
"02/25/1999","24","CO","","41-051-0087","AQS","24",".","6","15","."
"02/26/1999","48","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","39",".","9","48","."
"02/27/1999","27","CO","","41-051-0087","AQS","27",".","6","25","."
"02/28/1999","17","CO","","41-051-0087","AQS","17",".","6","15","."
"03/01/1999","30","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","30",".","16","30","."
"03/02/1999","29","PM2.5","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS","28",".","7","29","."
"03/03/1999","25","CO","","41-051-0087","AQS","25",".","6","19","."
"03/04/1999","41","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","24",".","6","41","."
"03/05/1999","59","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","36",".","19","59","."
"03/06/1999","57","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","34",".","19","57","."
"03/07/1999","61","PM2.5","Beaverton - Highland Park","41-067-0111","AQS","33",".","26","61","."
"03/08/1999","28","PM2.5","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS","28",".","7","28","."
"03/09/1999","26","CO","","41-051-0087","AQS","26",".","6","15","."
"03/10/1999","34","CO","","53-011-0010","AQS","34",".","10","33","."
"03/11/1999","50","PM2.5","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS","47",".","16","50","."
"03/12/1999","50","CO","","41-051-0087","AQS","50",".","12","42","."
"03/13/1999","35","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","31",".","17","35","."
"03/14/1999","36","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","32",".","9","36","."
"03/15/1999","34","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","34",".","11","34","."
"03/16/1999","43","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","33",".","13","43","."
"03/17/1999","38","CO","","41-051-0087","AQS","38",".","13","35","."
