STATION,NAME,DATE,PRCP,SNOW,TMAX,TMIN
USC00203858,"HOLLAND, MI US",6/1/1905,,0,,
USC00203858,"HOLLAND, MI US",6/2/1905,,0,,
USC00203858,"HOLLAND, MI US",6/3/1905,,0,,
USC00203858,"HOLLAND, MI US",6/4/1905,,0,,
USC00203858,"HOLLAND, MI US",6/5/1905,,0,,
USC00203858,"HOLLAND, MI US",6/6/1905,,0,,
USC00203858,"HOLLAND, MI US",6/7/1905,,0,,
USC00203858,"HOLLAND, MI US",6/8/1905,,0,,
USC00203858,"HOLLAND, MI US",6/9/1905,,0,,
USC00203858,"HOLLAND, MI US",6/10/1905,,0,,
USC00203858,"HOLLAND, MI US",6/11/1905,,0,,
USC00203858,"HOLLAND, MI US",6/12/1905,,0,,
USC00203858,"HOLLAND, MI US",6/13/1905,,0,,
USC00203858,"HOLLAND, MI US",6/14/1905,,0,,
USC00203858,"HOLLAND, MI US",6/15/1905,,0,,
USC00203858,"HOLLAND, MI US",6/16/1905,,0,,
USC00203858,"HOLLAND, MI US",6/17/1905,,0,,
USC00203858,"HOLLAND, MI US",6/18/1905,,0,,
USC00203858,"HOLLAND, MI US",6/19/1905,,0,,
USC00203858,"HOLLAND, MI US",6/20/1905,,0,,
USC00203858,"HOLLAND, MI US",6/21/1905,,0,,
USC00203858,"HOLLAND, MI US",6/22/1905,,0,,
USC00203858,"HOLLAND, MI US",6/23/1905,,0,,
USC00203858,"HOLLAND, MI US",6/24/1905,,0,26.1,12.2
USC00203858,"HOLLAND, MI US",6/25/1905,2.5,0,29.4,15
USC00203858,"HOLLAND, MI US",6/26/1905,5.8,0,23.9,12.8
USC00203858,"HOLLAND, MI US",6/27/1905,0,0,21.1,5.6
USC00203858,"HOLLAND, MI US",6/28/1905,0,0,31.1,12.2
USC00203858,"HOLLAND, MI US",6/29/1905,0,0,24.4,11.7
USC00203858,"HOLLAND, MI US",6/30/1905,0,0,28.3,15
USC00203858,"HOLLAND, MI US",7/1/1905,13,0,24.4,16.7
USC00203858,"HOLLAND, MI US",7/2/1905,0,0,26.1,15.6
USC00203858,"HOLLAND, MI US",7/3/1905,3.6,0,25.6,18.9
USC00203858,"HOLLAND, MI US",7/4/1905,19.8,0,25.6,16.1
USC00203858,"HOLLAND, MI US",7/5/1905,0,0,25,18.9
USC00203858,"HOLLAND, MI US",7/6/1905,1.8,0,27.2,16.7
USC00203858,"HOLLAND, MI US",7/7/1905,10.4,0,22.8,17.8
