STATION,NAME,DATE,DAPR,MDPR,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS
US1TXOR0001,"BRIDGE CITY 1.3 NW, TX US",10/3/2007,,,0,0,,,,
US1TXOR0001,"BRIDGE CITY 1.3 NW, TX US",10/4/2007,,,0,0,,,,
US1TXOR0001,"BRIDGE CITY 1.3 NW, TX US",10/5/2007,,,0,0,,,,
US1TXOR0001,"BRIDGE CITY 1.3 NW, TX US",10/6/2007,,,1.5,0,,,,
US1TXOR0001,"BRIDGE CITY 1.3 NW, TX US",10/7/2007,,,0,0,,,,
US1TXOR0001,"BRIDGE CITY 1.3 NW, TX US",10/8/2007,,,7.4,0,,,,
US1TXOR0001,"BRIDGE CITY 1.3 NW, TX US",10/9/2007,,,0,0,,,,
US1TXOR0001,"BRIDGE CITY 1.3 NW, TX US",10/10/2007,,,0,0,,,,
US1TXOR0001,"BRIDGE CITY 1.3 NW, TX US",10/11/2007,,,0,0,,,,
US1TXOR0001,"BRIDGE CITY 1.3 NW, TX US",10/12/2007,,,0,0,,,,
US1TXOR0001,"BRIDGE CITY 1.3 NW, TX US",10/13/2007,,,0,0,,,,
US1TXOR0001,"BRIDGE CITY 1.3 NW, TX US",10/14/2007,,,0,0,,,,
US1TXOR0001,"BRIDGE CITY 1.3 NW, TX US",10/15/2007,,,0,0,,,,
US1TXOR0001,"BRIDGE CITY 1.3 NW, TX US",10/16/2007,,,6.4,0,,,,
US1TXOR0001,"BRIDGE CITY 1.3 NW, TX US",10/17/2007,,,0,0,,,,
US1TXOR0001,"BRIDGE CITY 1.3 NW, TX US",10/18/2007,,,3,0,,,,
US1TXOR0001,"BRIDGE CITY 1.3 NW, TX US",10/19/2007,,,0,0,,,,
US1TXOR0001,"BRIDGE CITY 1.3 NW, TX US",10/20/2007,,,0,0,,,,
US1TXOR0001,"BRIDGE CITY 1.3 NW, TX US",10/21/2007,,,0,0,,,,
US1TXOR0001,"BRIDGE CITY 1.3 NW, TX US",10/22/2007,,,0,0,,,,
US1TXOR0001,"BRIDGE CITY 1.3 NW, TX US",10/23/2007,,,12.4,0,,,,
US1TXOR0001,"BRIDGE CITY 1.3 NW, TX US",10/24/2007,,,0,0,,,,
US1TXOR0001,"BRIDGE CITY 1.3 NW, TX US",10/25/2007,,,0,0,,,,
US1TXOR0001,"BRIDGE CITY 1.3 NW, TX US",10/26/2007,,,0,0,,,,
US1TXOR0001,"BRIDGE CITY 1.3 NW, TX US",10/27/2007,,,0,0,,,,
US1TXOR0001,"BRIDGE CITY 1.3 NW, TX US",10/28/2007,,,0,0,,,,
US1TXOR0001,"BRIDGE CITY 1.3 NW, TX US",10/29/2007,,,0,0,,,,
US1TXOR0001,"BRIDGE CITY 1.3 NW, TX US",10/30/2007,,,0,0,,,,
US1TXOR0001,"BRIDGE CITY 1.3 NW, TX US",10/31/2007,,,0,0,,,,
US1TXOR0001,"BRIDGE CITY 1.3 NW, TX US",11/1/2007,,,0,0,,,,
US1TXOR0001,"BRIDGE CITY 1.3 NW, TX US",11/2/2007,,,0,0,,,,
US1TXOR0001,"BRIDGE CITY 1.3 NW, TX US",11/3/2007,,,0,0,,,,
US1TXOR0001,"BRIDGE CITY 1.3 NW, TX US",11/4/2007,,,0,0,,,,
US1TXOR0001,"BRIDGE CITY 1.3 NW, TX US",11/5/2007,,,0,0,,,,
US1TXOR0001,"BRIDGE CITY 1.3 NW, TX US",11/6/2007,,,0,0,,,,
US1TXOR0001,"BRIDGE CITY 1.3 NW, TX US",11/7/2007,,,0,0,,,,
US1TXOR0001,"BRIDGE CITY 1.3 NW, TX US",11/8/2007,,,0,0,,,,
US1TXOR0001,"BRIDGE CITY 1.3 NW, TX US",11/9/2007,,,0,0,,,,
US1TXOR0001,"BRIDGE CITY 1.3 NW, TX US",11/10/2007,,,6.1,0,,,,
US1TXOR0001,"BRIDGE CITY 1.3 NW, TX US",11/11/2007,,,7.4,0,,,,
US1TXOR0001,"BRIDGE CITY 1.3 NW, TX US",11/12/2007,,,4.6,0,,,,
US1TXOR0001,"BRIDGE CITY 1.3 NW, TX US",11/13/2007,,,1.8,0,,,,
US1TXOR0001,"BRIDGE CITY 1.3 NW, TX US",11/14/2007,,,0,0,,,,
US1TXOR0001,"BRIDGE CITY 1.3 NW, TX US",11/15/2007,,,0,0,,,,
US1TXOR0001,"BRIDGE CITY 1.3 NW, TX US",11/16/2007,,,0,0,,,,
US1TXOR0001,"BRIDGE CITY 1.3 NW, TX US",11/17/2007,,,0,0,,,,
US1TXOR0001,"BRIDGE CITY 1.3 NW, TX US",11/18/2007,,,36.3,0,,,,
US1TXOR0001,"BRIDGE CITY 1.3 NW, TX US",11/19/2007,,,0,0,,,,
US1TXOR0001,"BRIDGE CITY 1.3 NW, TX US",11/20/2007,,,0,0,,,,
US1TXOR0001,"BRIDGE CITY 1.3 NW, TX US",11/21/2007,,,0,0,,,,
US1TXOR0001,"BRIDGE CITY 1.3 NW, TX US",11/22/2007,,,13.5,0,,,,
US1TXOR0001,"BRIDGE CITY 1.3 NW, TX US",11/23/2007,,,3.3,0,,,,
US1TXOR0001,"BRIDGE CITY 1.3 NW, TX US",11/24/2007,,,0.5,0,,,,
US1TXOR0001,"BRIDGE CITY 1.3 NW, TX US",11/25/2007,,,71.9,0,,,,
US1TXOR0001,"BRIDGE CITY 1.3 NW, TX US",11/26/2007,,,26.2,0,,,,
US1TXOR0001,"BRIDGE CITY 1.3 NW, TX US",11/27/2007,,,0,0,,,,
US1TXOR0001,"BRIDGE CITY 1.3 NW, TX US",11/28/2007,,,0,0,,,,
US1TXOR0001,"BRIDGE CITY 1.3 NW, TX US",11/29/2007,,,0,0,,,,
US1TXOR0001,"BRIDGE CITY 1.3 NW, TX US",11/30/2007,,,0,0,,,,
US1TXOR0001,"BRIDGE CITY 1.3 NW, TX US",12/1/2007,,,0,0,,,,
US1TXOR0001,"BRIDGE CITY 1.3 NW, TX US",12/2/2007,,,0,0,,,,
US1TXOR0001,"BRIDGE CITY 1.3 NW, TX US",12/3/2007,,,3.6,0,,,,
US1TXOR0001,"BRIDGE CITY 1.3 NW, TX US",12/4/2007,,,0,0,,,,
US1TXOR0001,"BRIDGE CITY 1.3 NW, TX US",12/5/2007,,,0,0,,,,
US1TXOR0001,"BRIDGE CITY 1.3 NW, TX US",12/6/2007,,,0,0,,,,
US1TXOR0001,"BRIDGE CITY 1.3 NW, TX US",12/7/2007,,,0,0,,,,
US1TXOR0001,"BRIDGE CITY 1.3 NW, TX US",12/8/2007,,,0,0,,,,
US1TXOR0001,"BRIDGE CITY 1.3 NW, TX US",12/9/2007,,,0,0,,,,
US1TXOR0001,"BRIDGE CITY 1.3 NW, TX US",12/10/2007,,,0,0,,,,
US1TXOR0001,"BRIDGE CITY 1.3 NW, TX US",12/11/2007,,,0,0,,,,
US1TXOR0001,"BRIDGE CITY 1.3 NW, TX US",12/12/2007,,,0,0,,,,
US1TXOR0001,"BRIDGE CITY 1.3 NW, TX US",12/13/2007,,,1,0,,,,
US1TXOR0001,"BRIDGE CITY 1.3 NW, TX US",12/14/2007,,,1,0,,,,
US1TXOR0001,"BRIDGE CITY 1.3 NW, TX US",12/15/2007,,,13.7,0,,,,
US1TXOR0001,"BRIDGE CITY 1.3 NW, TX US",12/16/2007,,,10.7,0,,,,
US1TXOR0001,"BRIDGE CITY 1.3 NW, TX US",12/17/2007,,,0,0,,,,
US1TXOR0001,"BRIDGE CITY 1.3 NW, TX US",12/18/2007,,,0,0,,,,
US1TXOR0001,"BRIDGE CITY 1.3 NW, TX US",12/19/2007,,,0,0,,,,
US1TXOR0001,"BRIDGE CITY 1.3 NW, TX US",12/20/2007,,,1,0,,,,
US1TXOR0001,"BRIDGE CITY 1.3 NW, TX US",12/21/2007,,,13.7,0,,,,
US1TXOR0001,"BRIDGE CITY 1.3 NW, TX US",12/22/2007,,,0,0,,,,
US1TXOR0001,"BRIDGE CITY 1.3 NW, TX US",12/23/2007,,,6.1,0,,,,
US1TXOR0001,"BRIDGE CITY 1.3 NW, TX US",12/24/2007,,,0,0,,,,
US1TXOR0001,"BRIDGE CITY 1.3 NW, TX US",12/25/2007,,,0,0,,,,
US1TXOR0001,"BRIDGE CITY 1.3 NW, TX US",12/26/2007,,,0,0,,,,
US1TXOR0001,"BRIDGE CITY 1.3 NW, TX US",12/27/2007,,,36.1,0,,,,
US1TXOR0001,"BRIDGE CITY 1.3 NW, TX US",12/28/2007,,,17,0,,,,
US1TXOR0001,"BRIDGE CITY 1.3 NW, TX US",12/29/2007,,,0,0,,,,
US1TXOR0001,"BRIDGE CITY 1.3 NW, TX US",12/30/2007,,,0,0,,,,
US1TXOR0001,"BRIDGE CITY 1.3 NW, TX US",12/31/2007,,,0,0,,,,
US1TXOR0001,"BRIDGE CITY 1.3 NW, TX US",1/1/2008,,,0,0,,,,
US1TXOR0001,"BRIDGE CITY 1.3 NW, TX US",1/2/2008,,,0,0,,,,
US1TXOR0001,"BRIDGE CITY 1.3 NW, TX US",1/3/2008,,,0,0,,,,
US1TXOR0001,"BRIDGE CITY 1.3 NW, TX US",1/4/2008,,,0,0,,,,
US1TXOR0001,"BRIDGE CITY 1.3 NW, TX US",1/5/2008,,,0.8,0,,,,
US1TXOR0001,"BRIDGE CITY 1.3 NW, TX US",1/6/2008,,,0,0,,,,
US1TXOR0001,"BRIDGE CITY 1.3 NW, TX US",1/7/2008,,,0.8,0,,,,
US1TXOR0001,"BRIDGE CITY 1.3 NW, TX US",1/8/2008,,,0,0,,,,
US1TXOR0001,"BRIDGE CITY 1.3 NW, TX US",1/9/2008,,,2.5,0,,,,
