DATE,TMAX
20060101,58.1
20060202,59
20060303,54.7
20060404,59.4
20060505,64.4
20060606,69.2
20060707,74.2
20060808,70.8
20060909,68.8
20061010,65.9
20061111,63.6
20061212,57.3
20070101,54.5
20070202,57.5
20070303,60
20070404,60.1
20070505,62.1
20070606,64.8
20070707,69.9
20070808,71.3
20070909,68.3
20071010,66.3
20071111,61.5
20071212,55.8
20080101,55.9
20080202,56.8
20080303,60.1
20080404,62.7
20080505,64.1
20080606,68.4
20080707,69.8
20080808,70
20080909,68.6
20081010,68.9
20081111,64
20081212,54.9
20090101,60.1
20090202,56.2
20090303,57.7
20090404,60.2
20090505,63.9
20090606,65
20090707,68.4
20090808,68.8
20090909,69.9
20091010,65
20091111,61.5
20091212,56.2
20100101,58.4
20100202,57.5
20100303,59.8
20100404,58.5
20100505,61
20100606,64.6
20100707,65.7
20100808,65.8
20100909,66.8
20101010,65.6
20101111,61.4
20101212,58.2
20110101,59.2
20110202,55.3
20110303,57.9
20110404,61.8
20110505,62.4
20110606,63.8
20110707,68.3
20110808,67.6
20110909,66.9
20111010,64.5
20111111,59.1
20111212,55
20120101,59.4
20120202,57.1
20120303,57.1
20120404,59.7
20120505,63.1
20120606,65.3
20120707,66.6
20120808,72.2
20120909,72.2
20121010,69
20121111,62.7
20121212,56.6
20130101,56.5
20130202,56.1
20130303,59.2
20130404,62.1
20130505,66.5
20130606,67.9
20130707,69
20130808,68.6
20130909,70.1
20131010,65.7
20131111,64.1
20131212,59
20140101,61.3
20140202,59.7
20140303,62.3
20140404,62.6
20140505,68.9
20140606,67.6
20140707,71.8
20140808,71.2
20140909,73
20141010,70
20141111,64.9
20141212,58.2
20150101,59.8
20150202,61
20150303,64.5
20150404,62.2
20150505,61
20150606,66.3
20150707,70.3
20150808,72.8
20150909,75.1
20151010,74
20151111,62.2
20151212,57.3
20160101,57
20160202,63
20160303,60.5
20160404,63.5
20160505,62.8
20160606,66.9
20160707,71.6
20160808,70.6
20160909,71.1
20161010,68.3
20161111,65.3
