Admission Date,0 to 18,19 to 24,25 to 64,65+
07-10-15,NA,NA,93,23
07-10-16,NA,NA,82,18
07-10-17,NA,NA,84,27
07-10-18,13,13,91,18
07-10-19,NA,NA,85,28
07-10-20,12,21,93,26
07-10-21,12,22,94,17
07-10-22,NA,NA,113,32
07-10-23,21,23,97,19
07-10-24,NA,NA,114,15
07-10-25,12,21,95,27
07-10-26,NA,NA,72,40
07-10-27,NA,NA,85,26
07-10-28,NA,20,98,NA
07-10-29,NA,NA,88,32
07-10-30,12,15,77,22
07-10-31,NA,NA,84,21
07-11-01,NA,20,85,NA
07-11-02,12,11,96,25
07-11-03,11,23,77,19
07-11-04,NA,NA,91,21
07-11-05,NA,NA,101,21
07-11-06,NA,NA,93,23
07-11-07,12,11,71,22
07-11-08,NA,NA,88,18
07-11-09,11,14,90,20
07-11-10,15,18,91,17
07-11-11,NA,NA,89,18
07-11-12,NA,NA,89,30
07-11-13,NA,NA,81,25
07-11-14,11,20,100,27
07-11-15,11,15,85,27
07-11-16,NA,NA,88,33
07-11-17,13,22,90,25
07-11-18,NA,20,89,NA
07-11-19,NA,NA,91,30
07-11-20,NA,NA,101,24
,,,,
