Admission Date,0 to 18,19 to 24,25 to 64,65+
07-10-15,39,13,90,45
07-10-16,40,24,80,33
07-10-17,34,20,88,38
07-10-18,28,16,85,38
07-10-19,36,22,89,39
07-10-20,59,25,87,37
07-10-21,41,19,77,31
07-10-22,53,14,94,59
07-10-23,34,17,89,52
07-10-24,36,21,94,41
07-10-25,38,15,93,34
07-10-26,38,20,83,40
07-10-27,49,NA,89,NA
07-10-28,51,20,77,34
07-10-29,47,23,95,28
07-10-30,40,26,93,35
07-10-31,27,16,85,34
07-11-01,36,19,80,39
07-11-02,36,14,71,34
07-11-03,36,14,85,38
07-11-04,32,23,90,39
07-11-05,26,12,82,39
07-11-06,39,19,77,42
07-11-07,32,20,89,34
07-11-08,36,19,94,36
07-11-09,31,14,72,40
07-11-10,30,NA,90,NA
07-11-11,39,15,85,46
07-11-12,25,21,87,41
07-11-13,28,21,89,32
07-11-14,37,23,94,36
07-11-15,41,21,90,45
07-11-16,36,14,91,45
07-11-17,49,15,72,36
07-11-18,46,24,70,41
07-11-19,31,22,101,38
07-11-20,43,15,84,41
