Admission Date,Unknown/Invalid/Blank,White,Black,Hispanic,Asian/Pacific Islander,Native American/Eskimo/Aleut,Other,All
7/10/15,**,97,14,56,NA,0,14,187
7/10/16,2,93,NA,56,NA,0,14,177
7/10/17,0,97,12,57,NA,0,NA,180
7/10/18,2,97,NA,44,NA,0,NA,167
7/10/19,2,101,NA,59,NA,0,NA,186
7/10/20,1,103,NA,70,12,NA,12,208
7/10/21,2,88,NA,50,NA,0,12,168
7/10/22,4,125,NA,66,NA,0,13,220
7/10/23,1,106,NA,59,NA,0,11,192
7/10/24,3,117,NA,46,NA,0,12,192
7/10/25,4,99,NA,51,NA,0,14,180
7/10/26,2,106,NA,49,NA,NA,11,181
7/10/27,0,108,NA,58,NA,0,NA,185
7/10/28,NA,95,13,53,NA,0,13,182
7/10/29,1,108,NA,58,NA,0,11,193
7/10/30,2,104,NA,57,NA,0,13,194
7/10/31,2,94,NA,49,NA,0,NA,162
7/11/01,0,98,NA,50,NA,0,NA,174
7/11/02,0,92,NA,40,NA,0,NA,155
7/11/03,2,104,NA,40,NA,0,NA,173
7/11/04,1,112,NA,42,NA,0,12,184
7/11/05,1,91,NA,45,NA,NA,NA,159
7/11/06,0,96,14,53,NA,0,NA,177
7/11/07,1,99,NA,50,NA,0,NA,175
7/11/08,0,106,NA,55,11,0,NA,185
7/11/09,0,86,NA,41,13,NA,12,157
7/11/10,0,92,NA,51,NA,0,16,173
7/11/11,4,111,NA,49,NA,0,NA,185
7/11/12,2,97,NA,53,NA,NA,NA,174
7/11/13,3,94,NA,45,NA,0,NA,170
7/11/14,0,94,NA,61,NA,0,17,190
7/11/15,1,114,15,51,NA,0,NA,197
7/11/16,1,106,NA,51,NA,0,12,186
7/11/17,1,85,NA,62,NA,0,NA,172
7/11/18,NA,98,11,52,NA,0,11,181
7/11/19,3,100,NA,57,NA,0,16,192
7/11/20,NA,101,11,54,NA,0,12,183
