Admission Date,White,Hispanic
07-10-15,72,38
07-10-16,58,39
07-10-17,68,38
07-10-18,67,33
07-10-19,69,36
07-10-20,72,46
07-10-21,73,37
07-10-22,100,36
07-10-23,82,45
07-10-24,80,43
07-10-25,86,36
07-10-26,82,28
07-10-27,69,43
07-10-28,72,47
07-10-29,82,31
07-10-30,72,27
07-10-31,66,24
07-11-01,67,38
07-11-02,67,39
07-11-03,75,29
07-11-04,65,34
07-11-05,76,33
07-11-06,67,41
07-11-07,54,26
07-11-08,75,31
07-11-09,69,27
07-11-10,78,38
07-11-11,61,36
07-11-12,74,27
07-11-13,76,30
07-11-14,77,44
07-11-15,72,37
07-11-16,79,30
07-11-17,78,37
07-11-18,66,25
07-11-19,70,29
07-11-20,78,33
