Date,AQS_SITE_ID,POC,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/3/2007,60730001,1,9.2,ug/m3 LC,38,1,100,88101,PM2.5 - Local Conditions,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631231,-117.059075
1/6/2007,60730001,1,12.9,ug/m3 LC,53,1,100,88101,PM2.5 - Local Conditions,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631231,-117.059075
1/9/2007,60730001,1,8.1,ug/m3 LC,34,1,100,88101,PM2.5 - Local Conditions,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631231,-117.059075
1/12/2007,60730001,1,7.8,ug/m3 LC,33,1,100,88101,PM2.5 - Local Conditions,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631231,-117.059075
1/15/2007,60730001,1,9.5,ug/m3 LC,40,1,100,88101,PM2.5 - Local Conditions,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631231,-117.059075
1/18/2007,60730001,1,9.4,ug/m3 LC,39,1,100,88101,PM2.5 - Local Conditions,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631231,-117.059075
1/21/2007,60730001,1,11.4,ug/m3 LC,48,1,100,88101,PM2.5 - Local Conditions,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631231,-117.059075
1/24/2007,60730001,1,10.3,ug/m3 LC,43,1,100,88101,PM2.5 - Local Conditions,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631231,-117.059075
1/27/2007,60730001,1,7.8,ug/m3 LC,33,1,100,88101,PM2.5 - Local Conditions,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631231,-117.059075
1/30/2007,60730001,1,12,ug/m3 LC,50,1,100,88101,PM2.5 - Local Conditions,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631231,-117.059075
2/2/2007,60730001,1,11.8,ug/m3 LC,49,1,100,88101,PM2.5 - Local Conditions,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631231,-117.059075
