location,acres burned,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,totals,number
Santa Barbara,"1,014",172,110,77,113,60,258,,,START HERE,,,,,,,,,,,,"1,804",7
Shasta County/Trinity,155,76,13,"46,150",35,51,"229,621",63,31,11,1678,1751,300,,,,,,,,,277884,14
Kern County,155,155,200,114,"2,950",993,62,293,95,,,,,,,,,,,,,5017,9
Contra Costa,30,247,56,45,23,268,40,25,,,,,,,,,,,,,,734,8
San Luis Obispo,80,51,30,37,14,60,60,12,25,100,260,2.8,1500,,,,,,,,,2231.8,13
Madera,360,12,56,"4,064",,,,,,,,,,,,,,,,,,4492,4
Lassen,53,167,32,89,56,14,,,,,,,,,,,,,,,,411,6
"Colusa, Glenn, Mendocino","410,203","48,920",7,,,,,,,,,,,,,,,,,,,"459,130",3
Butte,33,43,962,11,191,40,20,,,,,,,,,,,,,,,1280,7
Santa Clara,30,20,320,56,51,116,16,70,,,,,,,,,,,,,,593,8
El Dorado,12,150,66,67,316,,,,,,,,,,,,,,,,,611,5
Monterey,400,650,"2,225",96,50,10,,,,,,,,,,,,,,,,3421,6
Riverside,25,36,32,23,9.5,35,30,205,40,282,17,11,10,3.2,1261,15,70,73,18,15,21,125.5,21
Marin,152,45,12.6,,,,,,,,,,,,,,,,,136.1129252,,209.6,3
Napa,"2,490",10,135,12,,,,,,,,,,,,,,,,,,"2,647",4
Tuolumne,573,163,,,,,,,,,,,,,,,,,,,,736,2
,,,,,,,,,,,,,,,,,,,,,,0,2
Mono,"6,974",,,,,,,,,,,,,,,,,,,,,"6,974",1
Placer,"1,120",700,,,,,,,,,,,,,,,,,,,,"1,820",2
Lake,24,36,60,103,50,80,32,15185,,,,,,,,,,,,,,273,8
San Bernadino,125,12,1350,100,,,,,,,,,,,,,,,,,,1587,4
Madera,88,289,11,60,300,,,,,,,,,,,,,,,,,748,5
Alameda,48,30,34,640,484,12,20,,,,,,,,,,,,,,,1236,7
Humboldt,"3,674",16,,,,,,,,,,,,,,,,,,,,"3,690",2
Tulare,668,14,100,26,33,,,,,,,,,,,,,,,,,841,5
San Diego,100,207,365,13,28,504,10,265,12.5,5.1,38,59,12,18,300,,,,,,,713,15
Nevada,16,,,,,,,,,,,,,,,,,,,,,16,1
Modoc,"39,389",2100,52,,17028,,,,,,,,,,,,,,,,,"58,569",3
Solano,"2,162",,,,,,,,,,,,,,,,,,,,,"2,162",1
Plumas,117,20,,,,,,,,,,,,,,,,,,,,137,2
Kings,"2,995",,,,,,,,,,,,,,,,,,,,,"2,995",1
Calaveras,290,136,80,,,,,,,,,,,,,,,,,,,506,3
Mariposa,22,40,"96,901",53,115,,,,,,,,,,,,,,,,,97131,5
Mendocino,106,972,67,90,,,,,,,,,,,,,,,,,,1235,4
Sutter,"1,200",,,,,,,,,,,,,,,,,,,,,"1,200",1
Inyo,338,"1,265","2,070",,,,,,,,,,,,,,,,,,,3673,3
Lassen,"18,703",646,441,,8070.888889,,,,,,,,,,,,,,,,,"27,861",3
San Benito,39,116,278,215,64,513,"1,314",35,,,,,,,,,,,,,,2574,8
Los Angeles County,128,20,175,"1,352",62,,,,,,,,,,,,,,,,,1737,4
Yolo County,882,14,,,,,,,,,,,,,,,,,,,,896,2
Siskiyou County,10,224,"38,008",215,12,37,27,127,,,,,,,,,,,,,,38469,8
Tehama County,50,33,856,2956,10,23,103,268,170,328,3716,,,,,,,,,,8513?,3905,11
Amador County,825,17,,,,,,,,,,,,,,,,,,,,842,2
Colousa County,75,,,,,,,,,,,,,,,,,,,,,75,1
Merced,"4,564",200,88,1756,68,185,,,,,,,,,,,,,,,,"6,676",6
Orange,155,175,,,,,,,,,,,,,,,,,,,,330,2
San Joaquin,62,"12,300",,,,,,,,,,,,,,,,,,,,12362,2
Sonoma,10,,,,,,,,,,,,,,,,,,,,,10,1
Fresno,13,108,30,76,,,,,,,,,,,,,,,,,,227,4
Stanislaus,63,,,,,,,,,,,,,,,,,,,,,63,1
Santa Barbara/Ventura,"281,893",,,,,,,,,,,,,,,,,,,,,"281,893",1
Napa County/ Yolo County,"90,288",,,,,,,,,,,,,,,,,,,,,"90,288",1
Sacramento,30,"16,789",,8379.336538,,,,,,,,,,,,,,,,,,25198.00962,1
Glenn only,2290,127,75,,,,,,,,,,,,,,,,,,,2492,3
