Stock,Site,Treatment,Pretreatment,Error,N,Delta,Error,N
Vegetation,Ca-N,Control,56.43,1.16,3,-0.5,1.25,3
Vegetation,Ca-N,Prescribed Fire,53.67,9.86,3,-6.5,2.51,3
Vegetation,Ca-N,Mechanical,124.3,14.15,3,-36.43,7.19,3
Vegetation,Ca-N,Mechanical+Fire,85.37,9.38,3,-35.9,2.78,3
Vegetation,WA,Control,93.35,15.01,4,4.9,1.39,4
Vegetation,WA,Prescribed Fire,121.25,24.35,2,9.35,4.95,2
Vegetation,WA,Mechanical,95.65,16.12,4,-31.55,6.82,4
Vegetation,WA,Mechanical+Fire,116.25,11.85,2,-41.1,4.9,2
Vegetation,Ca-C,Control,144.4,24.42,3,4.6,0.26,3
Vegetation,Ca-C,Prescribed Fire,159.77,26.34,3,-18.23,17.9,3
Vegetation,Ca-C,Mechanical,195.63,34.48,3,-69,28.31,3
Vegetation,Ca-C,Mechanical+Fire,195.4,28.54,3,-55.17,19.63,3
Vegetation,Ca-S,Control,257.98,14.57,3,-3.21,3.29,3
Vegetation,Ca-S,Prescribed Fire,313.37,22.91,6,-13.74,4.17,6
Vegetation,Ca-S,Mechanical,NA,NA,NA,NA,NA,NA
Vegetation,Ca-S,Mechanical+Fire,NA,NA,NA,NA,NA,NA
Vegetation,OR,Control,56.8,11.87,4,6.9,3.77,4
Vegetation,OR,Prescribed Fire,37.15,4.33,4,-1.65,2.81,4
Vegetation,OR,Mechanical,48.7,7.11,4,-13.63,5.64,4
Vegetation,OR,Mechanical+Fire,57.93,17.01,4,-33.75,18.34,4
Vegetation,MT,Control,64.37,12.23,3,0.3,0.06,3
Vegetation,MT,Prescribed Fire,59.7,7.11,3,-3.8,1.93,3
Vegetation,MT,Mechanical,52.57,3.85,3,-23.53,1.49,3
Vegetation,MT,Mechanical+Fire,50.57,6.62,3,-27.3,6.2,3
Vegetation,AZ,Control,59.87,3.3,3,2.4,0.89,3
Vegetation,AZ,Prescribed Fire,60.53,4.18,3,0.17,0.52,3
Vegetation,AZ,Mechanical,69.55,7.55,3,-34.7,6.5,3
Vegetation,AZ,Mechanical+Fire,53.15,5.61,3,-24.28,5.17,3
Vegetation,AL,Control,68.4,5.4,3,5.23,4.41,3
Vegetation,AL,Prescribed Fire,63.97,4.19,3,2.77,4.78,3
Vegetation,AL,Mechanical,72.73,10.05,3,-17.63,2.37,3
Vegetation,AL,Mechanical+Fire,65.9,9.78,3,-5,5.92,3
Vegetation,OH,Control,113.73,2.15,3,1.8,0.46,3
Vegetation,OH,Prescribed Fire,108.9,3.46,3,-0.6,0.8,3
Vegetation,OH,Mechanical,114.2,8.15,3,-31.87,1.59,3
Vegetation,OH,Mechanical+Fire,110.27,11.81,3,-24.73,6.21,3
Vegetation,SC,Control,84.47,17.87,3,-9.3,10.11,3
Vegetation,SC,Prescribed Fire,49.83,5.2,3,-0.1,7.1,3
Vegetation,SC,Mechanical,65.43,17.59,3,-17.53,7.23,3
Vegetation,SC,Mechanical+Fire,60,9.05,3,-2.23,0.7,3
Vegetation,NC,Control,51.53,0.59,3,1.13,0.75,3
Vegetation,NC,Prescribed Fire,53.57,7.23,3,-4.8,1.51,3
Vegetation,NC,Mechanical,51.57,2.43,3,-2.23,1.24,3
Vegetation,NC,Mechanical+Fire,46.8,1.99,3,-7,2.84,3
Vegetation,FL,Control,5.67,NA,1,-0.51,NA,1
Vegetation,FL,Prescribed Fire,14.54,5.71,4,-0.54,0.42,4
Vegetation,FL,Mechanical,9.06,NA,1,-1.98,NA,1
Vegetation,FL,Mechanical+Fire,8.33,1.04,4,-0.44,0.23,4
Forest Floor,Ca-N,Control,17.75,0.44,3,0.08,0.41,3
Forest Floor,Ca-N,Prescribed Fire,14.82,1.61,3,-10.43,1.74,3
Forest Floor,Ca-N,Mechanical,NA,NA,NA,NA,NA,NA
Forest Floor,Ca-N,Mechanical+Fire,NA,NA,NA,NA,NA,NA
Forest Floor,WA,Control,21.68,7.73,4,-4,8.08,4
Forest Floor,WA,Prescribed Fire,15.26,6.03,2,2.44,7.87,2
Forest Floor,WA,Mechanical,15.53,3.69,4,5.27,2.09,3
Forest Floor,WA,Mechanical+Fire,11.04,1.51,2,7.13,7.58,2
Forest Floor,Ca-C,Control,28.39,1.29,3,-4.25,1.5,3
