STATION,NAME,DATE,DAPR,DASF,MDPR,MDSF,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS
USC00116616,"PARK FOREST, IL US",6/1/1952,,,,,,0,0,,,
USC00116616,"PARK FOREST, IL US",6/2/1952,,,,,,0,0,,,
USC00116616,"PARK FOREST, IL US",6/3/1952,,,,,,0,0,,,
USC00116616,"PARK FOREST, IL US",6/4/1952,,,,,,0,0,,,
USC00116616,"PARK FOREST, IL US",6/5/1952,,,,,,0,0,,,
USC00116616,"PARK FOREST, IL US",6/6/1952,,,,,,0,0,,,
USC00116616,"PARK FOREST, IL US",6/7/1952,,,,,,0,0,,,
USC00116616,"PARK FOREST, IL US",6/8/1952,,,,,,0,0,,,
USC00116616,"PARK FOREST, IL US",6/9/1952,,,,,7.6,0,0,30.6,15.6,22.2
USC00116616,"PARK FOREST, IL US",6/10/1952,,,,,0,0,0,30,13.3,27.8
USC00116616,"PARK FOREST, IL US",6/11/1952,,,,,0,0,0,28.3,10,21.1
USC00116616,"PARK FOREST, IL US",6/12/1952,,,,,31.8,0,0,23.9,14.4,23.3
USC00116616,"PARK FOREST, IL US",6/13/1952,,,,,35.1,0,0,29.4,19.4,22.2
USC00116616,"PARK FOREST, IL US",6/14/1952,,,,,15.7,0,0,30.6,19.4,28.3
USC00116616,"PARK FOREST, IL US",6/15/1952,,,,,0,0,0,32.8,20.6,31.1
USC00116616,"PARK FOREST, IL US",6/16/1952,,,,,0,0,0,32.8,24.4,31.7
USC00116616,"PARK FOREST, IL US",6/17/1952,,,,,5.3,0,0,31.7,18.9,27.2
USC00116616,"PARK FOREST, IL US",6/18/1952,,,,,0,0,0,31.1,16.7,28.3
USC00116616,"PARK FOREST, IL US",6/19/1952,,,,,0,0,0,28.3,17.8,17.8
USC00116616,"PARK FOREST, IL US",6/20/1952,,,,,17.3,0,0,18.3,10,17.8
USC00116616,"PARK FOREST, IL US",6/21/1952,,,,,3.8,0,0,29.4,13.9,23.3
USC00116616,"PARK FOREST, IL US",6/22/1952,,,,,0,0,0,27.8,13.9,24.4
USC00116616,"PARK FOREST, IL US",6/23/1952,,,,,,0,0,28.9,16.1,22.2
USC00116616,"PARK FOREST, IL US",6/24/1952,,,,,0,0,0,33.3,21.1,32.2
USC00116616,"PARK FOREST, IL US",6/25/1952,,,,,0,0,0,33.3,22.8,32.2
USC00116616,"PARK FOREST, IL US",6/26/1952,,,,,0,0,0,32.2,21.1,22.8
USC00116616,"PARK FOREST, IL US",6/27/1952,,,,,6.4,0,0,29.4,16.7,27.2
USC00116616,"PARK FOREST, IL US",6/28/1952,,,,,0,0,0,35.6,19.4,34.4
USC00116616,"PARK FOREST, IL US",6/29/1952,,,,,0,0,0,35.6,24.4,30
USC00116616,"PARK FOREST, IL US",6/30/1952,,,,,0,0,0,30,18.3,22.2
USC00116616,"PARK FOREST, IL US",7/1/1952,,,,,0,0,0,29.4,16.7,27.2
USC00116616,"PARK FOREST, IL US",7/2/1952,,,,,0,0,0,34.4,18.3,31.7
USC00116616,"PARK FOREST, IL US",7/3/1952,,,,,2,0,0,31.7,21.7,27.8
USC00116616,"PARK FOREST, IL US",7/4/1952,,,,,0,0,0,30,13.3,27.2
USC00116616,"PARK FOREST, IL US",7/5/1952,,,,,0,0,0,31.1,15.6,28.9
USC00116616,"PARK FOREST, IL US",7/6/1952,,,,,0,0,0,32.2,15.6,30
USC00116616,"PARK FOREST, IL US",7/7/1952,,,,,0,0,0,33.9,21.1,
USC00116616,"PARK FOREST, IL US",7/8/1952,,,,,9.9,0,0,,15.6,18.9
USC00116616,"PARK FOREST, IL US",7/9/1952,,,,,0,0,0,25.6,10.6,25
USC00116616,"PARK FOREST, IL US",7/10/1952,,,,,0,0,0,28.9,15.6,27.8
USC00116616,"PARK FOREST, IL US",7/11/1952,,,,,0,0,0,32.2,18.3,31.1
USC00116616,"PARK FOREST, IL US",7/12/1952,,,,,0,0,0,34.4,18.3,32.2
USC00116616,"PARK FOREST, IL US",7/13/1952,,,,,0,0,0,33.9,18.3,27.8
USC00116616,"PARK FOREST, IL US",7/14/1952,,,,,6.6,0,0,28.3,21.1,27.2
USC00116616,"PARK FOREST, IL US",7/15/1952,,,,,0,0,0,27.2,17.2,23.9
USC00116616,"PARK FOREST, IL US",7/16/1952,,,,,2.5,0,0,30.6,18.9,29.4
USC00116616,"PARK FOREST, IL US",7/17/1952,,,,,1.3,0,0,30,22.8,27.8
USC00116616,"PARK FOREST, IL US",7/18/1952,,,,,4.6,0,0,32.2,22.8,25.6
USC00116616,"PARK FOREST, IL US",7/19/1952,,,,,27.9,0,0,31.1,20.6,30.6
USC00116616,"PARK FOREST, IL US",7/20/1952,,,,,0,0,0,33.9,20.6,32.2
USC00116616,"PARK FOREST, IL US",7/21/1952,,,,,0.8,0,0,32.2,21.7,31.1
USC00116616,"PARK FOREST, IL US",7/22/1952,,,,,0,0,0,34.4,23.9,32.8
USC00116616,"PARK FOREST, IL US",7/23/1952,,,,,5.8,0,0,32.8,20,25.6
USC00116616,"PARK FOREST, IL US",7/24/1952,,,,,0,0,0,27.8,11.7,26.1
USC00116616,"PARK FOREST, IL US",7/25/1952,,,,,0,0,0,31.1,16.1,30.6
USC00116616,"PARK FOREST, IL US",7/26/1952,,,,,0.3,0,0,31.1,20,26.1
USC00116616,"PARK FOREST, IL US",7/27/1952,,,,,0,0,0,32.8,15,31.7
USC00116616,"PARK FOREST, IL US",7/28/1952,,,,,1.8,0,0,32.2,22.2,25
USC00116616,"PARK FOREST, IL US",7/29/1952,,,,,0,0,0,25,15,23.3
USC00116616,"PARK FOREST, IL US",7/30/1952,,,,,0,0,0,27.2,15,24.4
USC00116616,"PARK FOREST, IL US",7/31/1952,,,,,0,0,0,26.1,10.6,22.2
