STATION,NAME,DATE,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WSF2
USW00014745,"CONCORD ASOS, NH US",4/1/1939,0.8,,0,,14.4,-2.8,
USW00014745,"CONCORD ASOS, NH US",4/2/1939,4.8,51,0,,4.4,-6.7,
USW00014745,"CONCORD ASOS, NH US",4/3/1939,,,51,,8.9,-2.8,
USW00014745,"CONCORD ASOS, NH US",4/4/1939,,,0,,5.6,-3.9,
USW00014745,"CONCORD ASOS, NH US",4/5/1939,,,0,,8.3,-4.4,
USW00014745,"CONCORD ASOS, NH US",4/6/1939,10.4,,0,,10,-3.3,
USW00014745,"CONCORD ASOS, NH US",4/7/1939,0,,0,,7.2,-4.4,
USW00014745,"CONCORD ASOS, NH US",4/8/1939,,,,,4.4,-12.2,
USW00014745,"CONCORD ASOS, NH US",4/9/1939,1.3,,,,10,-11.1,
USW00014745,"CONCORD ASOS, NH US",4/10/1939,0,0,,,2.8,-7.8,
USW00014745,"CONCORD ASOS, NH US",4/11/1939,4.8,,,,5,-5.6,
USW00014745,"CONCORD ASOS, NH US",4/12/1939,0.5,3,0,,8.9,-7.2,
USW00014745,"CONCORD ASOS, NH US",4/13/1939,,,,,8.3,-7.8,
USW00014745,"CONCORD ASOS, NH US",4/14/1939,,,,,12.8,-6.1,
USW00014745,"CONCORD ASOS, NH US",4/15/1939,2,,,,11.1,2.8,
USW00014745,"CONCORD ASOS, NH US",4/16/1939,,,,,10,-6.1,
USW00014745,"CONCORD ASOS, NH US",4/17/1939,3.8,,,,12.2,-7.8,
USW00014745,"CONCORD ASOS, NH US",4/18/1939,14,,,,5.6,0.6,
USW00014745,"CONCORD ASOS, NH US",4/19/1939,14.7,,,,8.9,2.2,
USW00014745,"CONCORD ASOS, NH US",4/20/1939,,,,,14.4,2.8,
USW00014745,"CONCORD ASOS, NH US",4/21/1939,,,,,17.8,-2.8,
USW00014745,"CONCORD ASOS, NH US",4/22/1939,0.3,,,,18.9,5.6,
USW00014745,"CONCORD ASOS, NH US",4/23/1939,0,,,,18.9,2.2,
USW00014745,"CONCORD ASOS, NH US",4/24/1939,3.6,,,,13.3,-1.1,
USW00014745,"CONCORD ASOS, NH US",4/25/1939,,,,,20,-0.6,
USW00014745,"CONCORD ASOS, NH US",4/26/1939,3.3,,,,20.6,3.9,
USW00014745,"CONCORD ASOS, NH US",4/27/1939,0,,,,10,2.8,
USW00014745,"CONCORD ASOS, NH US",4/28/1939,0,,,,12.8,-7.2,
USW00014745,"CONCORD ASOS, NH US",4/29/1939,,,,,16.7,1.7,
USW00014745,"CONCORD ASOS, NH US",4/30/1939,,,,,15,-5,
USW00014745,"CONCORD ASOS, NH US",5/1/1939,,,,,15.6,-3.3,
USW00014745,"CONCORD ASOS, NH US",5/2/1939,,,,,18.3,1.7,
USW00014745,"CONCORD ASOS, NH US",5/3/1939,,,,,16.1,-3.3,
USW00014745,"CONCORD ASOS, NH US",5/4/1939,0,,,,17.8,-1.7,
USW00014745,"CONCORD ASOS, NH US",5/5/1939,0,,,,21.1,1.1,
USW00014745,"CONCORD ASOS, NH US",5/6/1939,,,,,24.4,-0.6,
USW00014745,"CONCORD ASOS, NH US",5/7/1939,,,,,27.2,5.6,
USW00014745,"CONCORD ASOS, NH US",5/8/1939,,,,,24.4,6.1,
USW00014745,"CONCORD ASOS, NH US",5/9/1939,,,,,22.2,12.8,
USW00014745,"CONCORD ASOS, NH US",5/10/1939,0.5,,,,26.7,12.8,
USW00014745,"CONCORD ASOS, NH US",5/11/1939,0,,,,23.9,7.2,
USW00014745,"CONCORD ASOS, NH US",5/12/1939,,,,,17.2,0,
USW00014745,"CONCORD ASOS, NH US",5/13/1939,,,,,14.4,-2.2,
USW00014745,"CONCORD ASOS, NH US",5/14/1939,,,,,18.9,-2.2,
USW00014745,"CONCORD ASOS, NH US",5/15/1939,,,,,18.3,-2.2,
USW00014745,"CONCORD ASOS, NH US",5/16/1939,,,,,17.8,-4.4,
USW00014745,"CONCORD ASOS, NH US",5/17/1939,,,,,23.3,-2.8,
USW00014745,"CONCORD ASOS, NH US",5/18/1939,0,,,,16.7,2.2,
USW00014745,"CONCORD ASOS, NH US",5/19/1939,,,,,27.2,1.7,
USW00014745,"CONCORD ASOS, NH US",5/20/1939,,,,,23.9,7.8,
USW00014745,"CONCORD ASOS, NH US",5/21/1939,1.8,,,,18.3,9.4,
USW00014745,"CONCORD ASOS, NH US",5/22/1939,1.3,,,,10,8.3,
USW00014745,"CONCORD ASOS, NH US",5/23/1939,13.5,,,,13.9,7.8,
USW00014745,"CONCORD ASOS, NH US",5/24/1939,16,,,,23.3,7.2,
USW00014745,"CONCORD ASOS, NH US",5/25/1939,,,,,28.9,6.1,
USW00014745,"CONCORD ASOS, NH US",5/26/1939,,,,,24.4,5.6,
USW00014745,"CONCORD ASOS, NH US",5/27/1939,,,,,28.9,4.4,
USW00014745,"CONCORD ASOS, NH US",5/28/1939,0,,,,30.6,19.4,
USW00014745,"CONCORD ASOS, NH US",5/29/1939,16.8,,,,28.9,12.8,
USW00014745,"CONCORD ASOS, NH US",5/30/1939,0.5,,,,28.3,-2.2,
USW00014745,"CONCORD ASOS, NH US",5/31/1939,,,,,28.9,-3.9,
USW00014745,"CONCORD ASOS, NH US",6/1/1939,,,,,26.1,6.1,
USW00014745,"CONCORD ASOS, NH US",6/2/1939,,,,,23.3,3.3,
USW00014745,"CONCORD ASOS, NH US",6/3/1939,,,,,26.1,3.3,
USW00014745,"CONCORD ASOS, NH US",6/4/1939,0.8,,,,26.1,9.4,
USW00014745,"CONCORD ASOS, NH US",6/5/1939,2.8,,,,25.6,5.6,
USW00014745,"CONCORD ASOS, NH US",6/6/1939,,,,,21.1,5.6,
USW00014745,"CONCORD ASOS, NH US",6/7/1939,,,,,26.7,1.7,
USW00014745,"CONCORD ASOS, NH US",6/8/1939,,,,,29.4,3.3,
USW00014745,"CONCORD ASOS, NH US",6/9/1939,1.5,,,,27.2,13.9,
USW00014745,"CONCORD ASOS, NH US",6/10/1939,7.1,,,,31.7,14.4,
USW00014745,"CONCORD ASOS, NH US",6/11/1939,0.3,,,,31.1,16.7,
USW00014745,"CONCORD ASOS, NH US",6/12/1939,,,,,28.9,11.1,
USW00014745,"CONCORD ASOS, NH US",6/13/1939,,,,,28.9,10,
USW00014745,"CONCORD ASOS, NH US",6/14/1939,15.5,,,,24.4,10,
USW00014745,"CONCORD ASOS, NH US",6/15/1939,1.8,,,,26.7,7.8,
USW00014745,"CONCORD ASOS, NH US",6/16/1939,8.1,,,,24.4,10.6,
USW00014745,"CONCORD ASOS, NH US",6/17/1939,17.8,,,,19.4,4.4,
USW00014745,"CONCORD ASOS, NH US",6/18/1939,0.3,,,,25,2.8,
USW00014745,"CONCORD ASOS, NH US",6/19/1939,,,,,24.4,6.7,
USW00014745,"CONCORD ASOS, NH US",6/20/1939,,,,,26.7,15,
USW00014745,"CONCORD ASOS, NH US",6/21/1939,0,,,,30,14.4,
USW00014745,"CONCORD ASOS, NH US",6/22/1939,,,,,28.9,7.8,
USW00014745,"CONCORD ASOS, NH US",6/23/1939,2.8,,,,22.2,12.8,
USW00014745,"CONCORD ASOS, NH US",6/24/1939,3.8,,,,26.1,-3.3,
USW00014745,"CONCORD ASOS, NH US",6/25/1939,15.2,,,,18.3,11.1,
USW00014745,"CONCORD ASOS, NH US",6/26/1939,1,,,,20,9.4,
USW00014745,"CONCORD ASOS, NH US",6/27/1939,,,,,25.6,8.9,
USW00014745,"CONCORD ASOS, NH US",6/28/1939,,,,,29.4,,
USW00014745,"CONCORD ASOS, NH US",6/29/1939,,,,,30,16.7,
USW00014745,"CONCORD ASOS, NH US",6/30/1939,3.8,,,,25,19.4,
USW00014745,"CONCORD ASOS, NH US",7/1/1939,0,,,,28.3,18.9,
USW00014745,"CONCORD ASOS, NH US",7/2/1939,,,,,22.2,9.4,
USW00014745,"CONCORD ASOS, NH US",7/3/1939,,,,,27.8,5.6,
USW00014745,"CONCORD ASOS, NH US",7/4/1939,,,,,32.8,10,
USW00014745,"CONCORD ASOS, NH US",7/5/1939,,,,,33.9,13.3,
USW00014745,"CONCORD ASOS, NH US",7/6/1939,,,,,30.6,19.4,
USW00014745,"CONCORD ASOS, NH US",7/7/1939,,,,,35.6,20.6,
USW00014745,"CONCORD ASOS, NH US",7/8/1939,0.3,,,,36.1,20.6,
USW00014745,"CONCORD ASOS, NH US",7/9/1939,1,,,,33.3,21.1,
USW00014745,"CONCORD ASOS, NH US",7/10/1939,,,,,33.3,15.6,
USW00014745,"CONCORD ASOS, NH US",7/11/1939,,,,,28.3,13.9,
USW00014745,"CONCORD ASOS, NH US",7/12/1939,,,,,27.8,8.3,
USW00014745,"CONCORD ASOS, NH US",7/13/1939,,,,,26.7,2.8,
USW00014745,"CONCORD ASOS, NH US",7/14/1939,9.1,,,,30.6,16.1,
USW00014745,"CONCORD ASOS, NH US",7/15/1939,,,,,26.7,8.9,
USW00014745,"CONCORD ASOS, NH US",7/16/1939,,,,,23.9,5.6,
USW00014745,"CONCORD ASOS, NH US",7/17/1939,,,,,25,7.2,
USW00014745,"CONCORD ASOS, NH US",7/18/1939,,,,,27.8,6.7,
USW00014745,"CONCORD ASOS, NH US",7/19/1939,,,,,29.4,5,
USW00014745,"CONCORD ASOS, NH US",7/20/1939,0.8,,,,29.4,8.3,
USW00014745,"CONCORD ASOS, NH US",7/21/1939,,,,,28.9,7.8,
USW00014745,"CONCORD ASOS, NH US",7/22/1939,,,,,29.4,8.9,
USW00014745,"CONCORD ASOS, NH US",7/23/1939,,,,,28.3,0.6,
