STATION,NAME,DATE,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",4/1/1906,,,,,16.1,8.9,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",4/2/1906,,,,,18.3,6.7,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",4/3/1906,,,,,18.9,8.3,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",4/4/1906,7.6,,,,17.8,11.1,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",4/5/1906,15.2,,,,18.9,10,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",4/6/1906,,,,,15.6,10,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",4/7/1906,,,,,16.7,12.2,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",4/8/1906,,,,,19.4,13.3,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",4/9/1906,,,,,17.8,12.8,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",4/10/1906,,,,,16.7,12.8,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",4/11/1906,,,,,18.3,10,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",4/12/1906,,,,,22.2,14.4,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",4/13/1906,,,,,25,15.6,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",4/14/1906,,,,,21.7,14.4,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",4/15/1906,,,,,22.8,15.6,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",4/16/1906,,,,,21.1,12.8,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",4/17/1906,,,,,15.6,13.3,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",4/18/1906,,,,,21.7,15.6,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",4/19/1906,,,,,27.8,20,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",4/20/1906,,,,,32.2,21.1,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",4/21/1906,,,,,30,18.3,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",4/22/1906,,,,,23.9,15.6,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",4/23/1906,1.3,,,,18.9,12.8,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",4/24/1906,,,,,20.6,12.8,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",4/25/1906,,,,,21.1,14.4,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",4/26/1906,,,,,21.1,14.4,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",4/27/1906,6.4,,,,16.1,10,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",4/28/1906,,,,,16.7,10,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",4/29/1906,,,,,17.8,12.8,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",4/30/1906,,,,,22.2,12.8,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",5/1/1906,,,,,23.3,14.4,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",5/2/1906,,,,,26.1,12.8,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",5/3/1906,,,,,22.2,14.4,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",5/4/1906,,,,,20,14.4,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",5/5/1906,,,,,16.7,12.8,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",5/6/1906,,,,,17.2,14.4,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",5/7/1906,,,,,16.7,14.4,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",5/8/1906,,,,,21.1,13.9,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",5/9/1906,,,,,22.2,14.4,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",5/10/1906,,,,,21.7,13.9,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",5/11/1906,,,,,20,12.8,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",5/12/1906,,,,,21.7,14.4,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",5/13/1906,,,,,21.1,12.8,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",5/14/1906,,,,,22.2,15,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",5/15/1906,,,,,22.2,15.6,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",5/16/1906,,,,,22.8,15.6,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",5/17/1906,,,,,22.8,15.6,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",5/18/1906,,,,,22.2,15.6,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",5/19/1906,,,,,21.7,15.6,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",5/20/1906,,,,,22.2,15.6,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",5/21/1906,,,,,21.7,15.6,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",5/22/1906,,,,,22.8,14.4,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",5/23/1906,,,,,21.7,13.9,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",5/24/1906,,,,,16.1,14.4,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",5/25/1906,11.4,,,,16.1,12.8,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",5/26/1906,,,,,16.7,13.3,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",5/27/1906,13.7,,,,17.8,13.9,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",5/28/1906,,,,,17.8,12.8,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",5/29/1906,,,,,20,13.3,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",5/30/1906,,,,,20.6,10,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",5/31/1906,,,,,15.6,15,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",6/1/1906,,,,,17.2,14.4,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",6/2/1906,,,,,20,15.6,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",6/3/1906,,,,,20.6,15.6,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",6/4/1906,,,,,23.3,15.6,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",6/5/1906,,,,,22.2,15.6,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",6/6/1906,,,,,22.2,15.6,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",6/7/1906,,,,,27.8,15.6,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",6/8/1906,,,,,30,19.4,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",6/9/1906,,,,,32.2,20.6,
