STATION,NAME,DATE,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS
USC00041194,"BURBANK VALLEY PUMP PLANT, CA US",12/1/1939,0,0,0,28.9,4.4,
USC00041194,"BURBANK VALLEY PUMP PLANT, CA US",12/2/1939,0,0,0,28.3,8.9,
USC00041194,"BURBANK VALLEY PUMP PLANT, CA US",12/3/1939,0,0,0,31.7,7.2,
USC00041194,"BURBANK VALLEY PUMP PLANT, CA US",12/4/1939,0,0,0,31.1,6.7,
USC00041194,"BURBANK VALLEY PUMP PLANT, CA US",12/5/1939,0,0,0,26.7,7.8,
USC00041194,"BURBANK VALLEY PUMP PLANT, CA US",12/6/1939,0,0,0,24.4,12.2,
USC00041194,"BURBANK VALLEY PUMP PLANT, CA US",12/7/1939,0,0,0,25,7.2,
USC00041194,"BURBANK VALLEY PUMP PLANT, CA US",12/8/1939,0,0,0,21.7,8.3,
USC00041194,"BURBANK VALLEY PUMP PLANT, CA US",12/9/1939,0,0,0,21.1,8.9,
USC00041194,"BURBANK VALLEY PUMP PLANT, CA US",12/10/1939,0,0,0,21.7,5.6,
USC00041194,"BURBANK VALLEY PUMP PLANT, CA US",12/11/1939,2.5,0,0,20.6,10,
USC00041194,"BURBANK VALLEY PUMP PLANT, CA US",12/12/1939,0,0,0,26.7,4.4,
USC00041194,"BURBANK VALLEY PUMP PLANT, CA US",12/13/1939,0,0,0,25.6,5.6,
USC00041194,"BURBANK VALLEY PUMP PLANT, CA US",12/14/1939,0,0,0,27.8,5,
USC00041194,"BURBANK VALLEY PUMP PLANT, CA US",12/15/1939,0,0,0,28.9,5,
USC00041194,"BURBANK VALLEY PUMP PLANT, CA US",12/16/1939,0,0,0,27.8,4.4,
USC00041194,"BURBANK VALLEY PUMP PLANT, CA US",12/17/1939,0,0,0,26.1,3.3,
USC00041194,"BURBANK VALLEY PUMP PLANT, CA US",12/18/1939,0,0,0,28.9,4.4,
USC00041194,"BURBANK VALLEY PUMP PLANT, CA US",12/19/1939,0,0,0,29.4,6.1,
USC00041194,"BURBANK VALLEY PUMP PLANT, CA US",12/20/1939,0,0,0,26.7,6.1,
USC00041194,"BURBANK VALLEY PUMP PLANT, CA US",12/21/1939,0,0,0,23.9,3.9,
USC00041194,"BURBANK VALLEY PUMP PLANT, CA US",12/22/1939,0,0,0,19.4,5,
USC00041194,"BURBANK VALLEY PUMP PLANT, CA US",12/23/1939,11.9,0,0,15.6,3.3,
USC00041194,"BURBANK VALLEY PUMP PLANT, CA US",12/24/1939,0,0,0,17.2,1.7,
USC00041194,"BURBANK VALLEY PUMP PLANT, CA US",12/25/1939,0,0,0,18.3,6.7,
USC00041194,"BURBANK VALLEY PUMP PLANT, CA US",12/26/1939,0,0,0,18.9,0.6,
USC00041194,"BURBANK VALLEY PUMP PLANT, CA US",12/27/1939,0,0,0,18.3,0,
USC00041194,"BURBANK VALLEY PUMP PLANT, CA US",12/28/1939,0,0,0,20,6.1,
USC00041194,"BURBANK VALLEY PUMP PLANT, CA US",12/29/1939,0,0,0,22.8,4.4,
USC00041194,"BURBANK VALLEY PUMP PLANT, CA US",12/30/1939,0,0,0,23.9,5.6,
USC00041194,"BURBANK VALLEY PUMP PLANT, CA US",12/31/1939,0,0,0,16.7,7.2,
USC00041194,"BURBANK VALLEY PUMP PLANT, CA US",1/1/1940,0.3,0,0,17.8,5.6,
USC00041194,"BURBANK VALLEY PUMP PLANT, CA US",1/2/1940,1.3,0,0,15.6,8.9,
USC00041194,"BURBANK VALLEY PUMP PLANT, CA US",1/3/1940,0,0,0,17.8,11.1,
USC00041194,"BURBANK VALLEY PUMP PLANT, CA US",1/4/1940,9.4,0,0,18.3,9.4,
USC00041194,"BURBANK VALLEY PUMP PLANT, CA US",1/5/1940,0,0,0,18.3,4.4,
USC00041194,"BURBANK VALLEY PUMP PLANT, CA US",1/6/1940,3,0,0,16.1,6.7,
USC00041194,"BURBANK VALLEY PUMP PLANT, CA US",1/7/1940,26.2,0,0,13.9,10,
USC00041194,"BURBANK VALLEY PUMP PLANT, CA US",1/8/1940,30,0,0,15.6,10,
USC00041194,"BURBANK VALLEY PUMP PLANT, CA US",1/9/1940,8.6,0,0,16.1,11.7,
USC00041194,"BURBANK VALLEY PUMP PLANT, CA US",1/10/1940,8.1,0,0,15,12.2,
USC00041194,"BURBANK VALLEY PUMP PLANT, CA US",1/11/1940,7.4,0,0,16.7,12.8,
USC00041194,"BURBANK VALLEY PUMP PLANT, CA US",1/12/1940,0.8,0,0,18.9,11.1,
USC00041194,"BURBANK VALLEY PUMP PLANT, CA US",1/13/1940,0,0,0,18.9,2.2,
USC00041194,"BURBANK VALLEY PUMP PLANT, CA US",1/14/1940,0,0,0,21.1,0.6,
USC00041194,"BURBANK VALLEY PUMP PLANT, CA US",1/15/1940,0,0,0,23.3,1.7,
USC00041194,"BURBANK VALLEY PUMP PLANT, CA US",1/16/1940,0,0,0,25.6,1.1,
USC00041194,"BURBANK VALLEY PUMP PLANT, CA US",1/17/1940,0,0,0,22.8,1.1,
USC00041194,"BURBANK VALLEY PUMP PLANT, CA US",1/18/1940,0,0,0,18.3,0,
USC00041194,"BURBANK VALLEY PUMP PLANT, CA US",1/19/1940,0,0,0,20.6,0,
USC00041194,"BURBANK VALLEY PUMP PLANT, CA US",1/20/1940,0,0,0,21.7,1.7,
USC00041194,"BURBANK VALLEY PUMP PLANT, CA US",1/21/1940,0,0,0,21.1,1.1,
USC00041194,"BURBANK VALLEY PUMP PLANT, CA US",1/22/1940,0,0,0,18.3,3.9,
USC00041194,"BURBANK VALLEY PUMP PLANT, CA US",1/23/1940,19.3,0,0,15,6.7,
USC00041194,"BURBANK VALLEY PUMP PLANT, CA US",1/24/1940,0,0,0,18.3,1.7,
USC00041194,"BURBANK VALLEY PUMP PLANT, CA US",1/25/1940,0.3,0,0,18.3,7.8,
USC00041194,"BURBANK VALLEY PUMP PLANT, CA US",1/26/1940,0,0,0,22.8,8.3,
USC00041194,"BURBANK VALLEY PUMP PLANT, CA US",1/27/1940,0,0,0,26.7,5.6,
USC00041194,"BURBANK VALLEY PUMP PLANT, CA US",1/28/1940,0,0,0,28.3,5,
USC00041194,"BURBANK VALLEY PUMP PLANT, CA US",1/29/1940,0,0,0,26.1,10.6,
USC00041194,"BURBANK VALLEY PUMP PLANT, CA US",1/30/1940,0,0,0,17.8,9.4,
USC00041194,"BURBANK VALLEY PUMP PLANT, CA US",1/31/1940,3.8,0,0,18.3,10.6,
USC00041194,"BURBANK VALLEY PUMP PLANT, CA US",2/1/1940,60.5,0,0,13.3,8.9,
USC00041194,"BURBANK VALLEY PUMP PLANT, CA US",2/2/1940,25.4,0,0,14.4,8.3,
USC00041194,"BURBANK VALLEY PUMP PLANT, CA US",2/3/1940,15.5,0,0,13.3,9.4,
USC00041194,"BURBANK VALLEY PUMP PLANT, CA US",2/4/1940,0,0,0,20,6.7,
USC00041194,"BURBANK VALLEY PUMP PLANT, CA US",2/5/1940,0,0,0,22.2,6.1,
USC00041194,"BURBANK VALLEY PUMP PLANT, CA US",2/6/1940,0,0,0,21.7,5.6,
