,Average
Cardenas U.B. #1,10
Cardenas U.B. #2,33.25
Cardenas B. #1,79.75
Cardenas B. #2,35.25
El Super U.B. #1,36.75
El Super U.B. #2,37.5
El Super B. #1,34.25
El Super B. #2,49
Sprouts U.B. #1,29
Sprouts U.B. #2,38.75
Sprouts B. #1,46
Sprouts B. #2,25.25
Stater Bros U.B. #1,41.5
Stater Bros U.B. #2,33.5
Stater Bros B. #1,31.75
Stater Bros B. #2,28.25
Super King U.B. #1,23.25
Super King U.B. #2,44.25
Super King B. #1,24.75
Super King B. #2,42.75
Blank #1,28.5
Blank #2,18.75
Blank #3,27
