NAME,LIA,1966,1998,2005,2015
Agassiz,4246977.56,1600559.73,1174485.68,1039612.34,736669.75
Ahern,765116.39,589185.63,516658.66,511939.47,511589.79
Baby,136133.57,117171.13,80880.38,76006.47,75562.6
Blackfoot,4970064.26,1832451.35,1625124.38,1630173.41,1498505.92
Boulder,829577.99,231017.73,48774.13,45803.63,35298.01
Carter,708091.34,355743.44,269013.88,234414.36,224773.89
Chaney,1078922.83,563819.03,430372.02,359686.58,334484.9
Dixon,671001.22,291142.05,166983.6,162669.91,125831.13
Gem,24364.74,29140.12,23756.51,23527.27,22156.68
Grinnell,1976494.97,1020200.39,715907.79,615568.81,563720.29
Harris,79286.24,148501.6,40263.73,38969.1,34260.89
Harrison,3470484.89,2059376.84,1846232.52,1697714.47,1661456.75
Herbst,343244.32,170234.16,50794.78,40856.01,31886.02
Hudson,132164.98,90213.45,55762.11,52269.76,52167.62
Ipasha,594065.79,328608.6,228254.45,195800.97,194738.75
Jackson,3094285.19,1280508.24,811857.45,803342.15,756864.1
Kintla,2780343.02,1309016.2,972884.73,931213.7,877726.05
Logan,694335.54,503361.09,387547.07,367936.17,219016.92
Lupfer,171200.25,126375.83,66661.16,63843.53,73274.68
MicheWabun,263262.3,204468.79,111127.26,107464.55,103616.92
North Swiftcurrent,227306.21,116675.97,84546.1,90181.52,86305.3
Old Sun,499662.38,421347.41,349137.54,346751.63,341077.95
Piegan,311173.34,280151.62,265084.78,250768.05,244307.08
Pumpelly,1978996.13,1006469.53,910631.86,908834.15,902787.3
Rainbow,1910417.47,1430411.36,1120814.92,1089977.46,1053376.03
Red Eagle,477070.9,134709.82,77923.58,77923.53,63685.24
Salamander,250056.48,229028.19,181688.65,173617.99,176108.77
Sexton,528179.2,400493.53,324011.87,312762.43,298681.73
Shepard,497244.16,250678.82,91584.19,75248.66,70739.49
Siyeh,378010.17,306295.75,214597.44,214663.2,205386.48
Sperry,3793322.12,1339531.54,953104.43,888095.13,801670.14
Swiftcurrent,594231.7,221786,188681.39,176239.36,170348.1
Thunderbird,1075097.51,135074.71,121885.69,115978.22,107012.09
Two Ocean,1076919.16,429001.73,193677.91,189199.44,75172.89
Vulture,811528.41,408034.38,336924.77,329180.45,296786.09
Weasel Collar,809813.09,558088.21,507418.42,506575.45,499734.76
Whitecrow,741530.93,242488.01,124759.84,112799.23,103824.86
