Year,Fire Name,Acres Burned
1922,Kellye Ranch,59600
1923,Oso Canyon,70000
1928,Aliso Canyon,42880
1933,Indian Canyon,30800
1950,San Marcos,9500
1953,Big Dalton,73450
1955,Refugio,84770
1964,Coyote,67000
1966,Wellman,93600
1971,Romero,14538
1977,Sycamore Canyon,805
1977,Hondo Canyon,8087
1979,Spanish Ranch,1190
1979,Eagle Canyon,3765
1990,Paint,4424
1993,marre,43864
1994,Oak Hill,2130
1997,Santa Rosa,3074
1999,Spanish Ranch,22296
1999,Camuesa,180
2000,Harris ,8684
2002,Sudden,7500
2004,Gaviota,7197
2006,Perkins,14923
2007,Zaca,240807
2008,Gap,9443
2008,Tea,1940
2009,Jususita,8733
2009,La Brea,89489
2010,Bear Creek,1252
2011,Figueroa,698
2013,White ,1984
2015,Miguelito,632
2016,Sherpa,7474
2018,Thomas,281893
