"STATION","NAME","DATE","PRCP","SNOW"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-04-10","0.0","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-04-11","12.7","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-04-12","2.5","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-04-13","6.1","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-04-14","0.0","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-04-15","0.0","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-04-16","0.0","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-04-17","0.0","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-04-18","0.0","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-04-19","0.3","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-04-20","7.1","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-04-21","0.0","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-04-22","0.0","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-04-23","0.0","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-04-24","0.0","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-04-25","5.6","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-04-26","12.2","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-04-27","0.0","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-04-28","0.0","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-04-29","7.9","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-04-30","0.0","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-05-01","0.0","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-05-02","0.0","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-05-03","14.2","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-05-04","0.0","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-05-05","0.0","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-05-06","0.0","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-05-07","0.0","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-05-08","14.0","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-05-09","0.0","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-05-10","0.0","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-05-11","15.2","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-05-12","30.7","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-05-13","0.0","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-05-14","4.6","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-05-15","0.0","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-05-16","0.0","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-05-17","0.0","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-05-18","4.8","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-05-19","0.0","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-05-21","0.0","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-05-22","0.0","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-05-23","0.0","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-05-24","0.0","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-05-25","0.0","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-05-26","15.5","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-05-27","0.0","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-05-29","0.0","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-05-30","1.3","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-05-31","6.4","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-06-01","0.0","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-06-09","37.1","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-06-10","1.0","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-06-11","0.0","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-06-12","0.0","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-06-13","1.0","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-06-14","0.0","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-06-15","0.0","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-06-16","4.6","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-06-17","0.0","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-06-18","0.0","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-06-19","0.0","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-06-20","0.0","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-06-21","0.5","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-06-22","4.3","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-06-23","2.3","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-06-24","0.0","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-06-25","2.3","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-06-26","3.3","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-06-27","0.0","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-06-28","1.5","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-06-29","1.0","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-06-30","0.5","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-07-01","0.0","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-07-02","0.0","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-07-03","17.3","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-07-04","0.0","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-07-05","0.0","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-07-06","0.0","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-07-07","0.0","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-07-08","3.8","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-07-09","8.4","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-07-21","0.0","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-07-22","3.0","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-07-23","0.0","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-07-24","0.0","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-07-25","0.0","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-07-26","0.0","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-07-27","0.0","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-07-28","0.0","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-07-29","0.0","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-07-30","3.8","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-07-31","0.0","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-08-01","12.2","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-08-02","0.0","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-08-03","0.0","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-08-04","0.0","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-08-05","35.6","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-08-06","0.0","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-08-07","0.0","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-08-08","0.0","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-08-09","0.0","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-08-10","4.6","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-08-11","0.0","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-08-12","0.0","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-08-13","0.0","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-08-14","0.3","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-08-15","0.0","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-08-16","0.0","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-08-18","0.0","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-08-19","0.0","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-08-20","0.0","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-08-21","0.0","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-08-22","0.0","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-08-23","0.0","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-08-24","1.8","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-08-25","0.0","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-08-26","0.0","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-08-27","0.0","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-08-28","0.0","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-08-29","0.5","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-08-30","0.0","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-08-31","0.0","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-09-01","0.0","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-09-02","0.0","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-09-03","0.3","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-09-04","5.6","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-09-05","79.2","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-09-06","0.0","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-09-07","0.0","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-09-08","0.0","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-09-09","30.5","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-09-10","0.0","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-09-11","0.0","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-09-13","80.5","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-09-14","48.0","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-09-17","0.0","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-09-18","0.0","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-09-19","0.0","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-09-20","0.0","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-09-21","0.0","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-09-22","0.0","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-09-23","0.0","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-09-24","0.0","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-09-25","0.0","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-09-26","0.0","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-09-27","0.0","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-09-28","0.0","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-09-29","0.0","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-09-30","2.0","0.0"
"US1ILCK0108","BEVERLY 0.3 N, IL US","2008-10-01","0.0","0.0"
